TX,TY,TZ,rot
-751.1465140984864,-552.6868974821897,1580.1112689371334,5.031805942389128
-727.1772757011616,-555.1278318679687,1584.1757506794481,5.030590949984843
-616.0758439982078,-567.506799235275,1602.332063642632,5.03552419930017
-595.2953851167902,-570.2065848404726,1605.6795888865968,5.033493830586971
-575.429559952711,-572.651575444564,1608.941477173564,5.037972054383561
-555.9956535914256,-575.3594390907479,1612.0343831601112,5.037171967074583
-537.0874381837912,-577.8677690007311,1614.1237270300985,5.0384251051304245
-518.5537394451013,-580.4404051062506,1614.3330065352598,5.040739159697793
-500.5271212822151,-582.8136446827272,1611.8588705483155,5.044990002661095
-483.0174618708485,-585.0887697673479,1606.0807608936093,5.051243609824044
-465.8565363447954,-587.302324231793,1596.9578729540547,5.056880307006615
-448.9930155124692,-589.5933989181424,1584.531704865836,5.064936238937706
-432.5984873567047,-591.771180466545,1569.1516293100506,5.073396661914287
-416.66486981554357,-593.8161017646586,1551.439058788253,5.080859318303955
-401.2643445700778,-595.7661763555222,1531.771831403222,5.092679577988037
-385.98477664784446,-598.0357129792679,1510.2712817557451,5.101177430179643
-371.35156841490533,-599.9810823074675,1487.7948999168175,5.109349317180014
-357.5165534329323,-601.76195616512,1464.4039312119728,5.123426463987405
-343.58813427284673,-604.39779491183,1440.1853208490293,5.132242005553778
-330.8714608637522,-606.2444274147849,1415.2296241873266,5.143168962784568
-317.95889608402047,-608.775373223558,1389.552867879133,5.152690263642436
-305.740762726116,-611.1431749241844,1363.5308629373362,5.166633788358017
-294.4366121678901,-613.7143986409872,1337.2175568364098,5.176573073666953
-283.39164731290344,-616.1327409770292,1310.2475910050118,5.191083825936619
-272.8046675536357,-619.0941570993699,1283.0878095837259,5.198555402231753
-262.7860412966518,-621.7041338491584,1255.3850785247057,5.212515511649537
-253.30984443099302,-624.7105179664665,1227.4732769592238,5.22080065796021
-244.43423296885237,-627.4047355933114,1199.1262881355003,5.235316602337974
-236.05537201770838,-630.3500265523207,1170.945745313655,5.245434404836264
-228.48716539416634,-633.2410965102512,1143.5285248398536,5.25765373470915
-221.17881564975718,-635.94641092387,1116.870715212295,5.270770607506554
-214.89515910316342,-638.7289578064184,1091.7242030454677,5.282277128887923
-208.86340234802853,-641.4056736478606,1067.818068625434,5.295086543860792
-203.6020318458565,-644.0089593320002,1045.4684182341448,5.30653682897879
-198.71950010509795,-646.5369329412684,1024.1892583954407,5.317168536346772
-194.54439443901688,-648.9842781101323,1003.7270908430733,5.326982831217464
-190.83490547578452,-651.2393932183143,983.9500877992558,5.3391084147438646
-187.75222238485958,-653.2583598069754,965.1282718363505,5.350549315896014
-185.08572556439364,-654.9810175112883,946.9170757893431,5.36299245785526
-182.66557128506915,-656.6173980356837,929.9542778369824,5.373681235870938
-180.96102315480658,-658.1230451648705,914.9059300404697,5.385712688567937
-179.60967318718295,-659.3742281341049,902.2243912821231,5.396284946031953
-178.8847524200477,-660.5275395400623,892.7078931133198,5.404269730438206
-178.53343267267346,-661.2498745129649,886.2180084875196,5.413002284900475
-178.6714367766819,-661.9360828130336,883.5994088848757,5.417846660361569
-179.27509565700822,-662.4437146964189,884.5915063013082,5.422714352993711
-180.2658651908922,-662.9145982555888,889.1349522370286,5.427462815383472
-181.69496059394157,-663.1888803508126,896.9175379152038,5.42698893163095
-183.41741325925935,-663.1725539146388,907.6705601371409,5.428697825503961
-185.4631940943448,-663.0806400439229,921.189930220952,5.425236042303581
-187.9638106400472,-662.8226300686966,937.2548272103145,5.421607737063853
-190.59647306897932,-662.4285690246803,955.5737611506268,5.414931757975554
-193.70569944361534,-661.8701772769809,975.6251221205503,5.40817418151484
-196.9515467664871,-661.071128267468,996.7107666817428,5.400408714773555
-200.58784706841882,-660.1900591694318,1018.925294272549,5.3905723643698735
-204.2915665321307,-659.2920363097661,1041.4678290664694,5.381514785804877
-208.23894975410758,-658.1845862167308,1064.3815027027201,5.370301173208587
-212.7395794464331,-657.1494313167367,1087.3377273099816,5.359014703513946
-217.16734710479932,-655.8963811861461,1110.1277614898281,5.348794226104818
-221.97067982200153,-654.7467568069233,1132.8106943429946,5.343942028592199
-227.1067687811022,-653.479451511586,1155.495428298714,5.339825403810999
-232.36779863261648,-652.3747302212897,1177.871652800181,5.335072311562421
-237.7903437668987,-651.1919768409276,1199.4996966363387,5.3321175759740935
-243.71077721588452,-649.9997499974107,1219.6918470061153,5.331377632439876
-249.38377469749213,-648.9237873345971,1237.9434889635231,5.329669751390036
-255.6711568838022,-647.6932077171441,1254.1476330826722,5.331591546941326
-262.0103117247504,-646.8262165301597,1268.6517984402096,5.328091532240126
-268.70836138760023,-645.6621748712205,1280.9911266051265,5.3331409358961945
-275.0254165481633,-644.8702440679393,1291.6981471555357,5.334948939931571
-282.1885563626896,-643.9265643519526,1300.9670576095111,5.342696278317386
-289.26889634065174,-643.3501478066402,1309.2064321007745,5.346693943030378
-296.51502304453487,-642.6333334412244,1316.1972431545807,5.354972961915744
-303.983082267899,-642.1273075805882,1322.377365430582,5.363011846638387
-311.5305814187713,-641.7266021636083,1327.6892102922636,5.368918045602515
-319.5469000201905,-641.3800357549596,1332.0660026276257,5.376541928673026
-327.55893030999744,-641.3027379862219,1335.7355253625567,5.380400630077204
-335.89301119669744,-641.3722750361137,1338.7099832918254,5.3828851194563265
-344.1905693924357,-641.2966432967263,1340.9610555141664,5.387350180323575
-352.8637564344665,-641.3794236376639,1342.7971297082215,5.3909097290270385
-361.6694939701515,-641.5947875870831,1344.6154836672833,5.3920519654592685
-370.6026527381031,-641.830900354394,1345.6744884729978,5.392603752334207
-379.46222234474584,-642.0646061798566,1345.8907994268445,5.392984185935118
-388.74508135755775,-642.1174376170142,1344.5477295977157,5.394479323538207
-398.0891632943376,-642.405865983001,1341.0126764411443,5.393425465390784
-407.70736903573817,-642.450009455345,1334.572992979579,5.395174481595139
