Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,3.16572,-0.473977,0.185132,-935.013,1476.33,-73.7976
2,0,3.16549,-0.47335,0.185251,-935.028,1476.31,-73.7976
3,0,3.16571,-0.473457,0.184843,-935.035,1476.31,-73.7973
4,0,3.16574,-0.473627,0.184631,-935.014,1476.33,-73.7783
5,0,3.16533,-0.473798,0.184766,-935.039,1476.3,-73.7821
6,0,3.16561,-0.473562,0.184324,-935.034,1476.31,-73.7943
7,0,3.16549,-0.473507,0.184997,-935.027,1476.3,-73.8046
8,0,3.16571,-0.473732,0.184153,-935.041,1476.29,-73.8137
9,0,3.16556,-0.473537,0.185087,-935.014,1476.33,-73.8134
10,0,3.16577,-0.473763,0.184667,-935.023,1476.31,-73.7927
11,0,3.16543,-0.473823,0.185425,-935.026,1476.31,-73.791
12,0,3.16563,-0.473376,0.185159,-935.027,1476.32,-73.8177
13,0,3.16533,-0.473281,0.184911,-935.042,1476.31,-73.8107
14,0,3.16563,-0.473651,0.185598,-935.029,1476.34,-73.7983
15,0,3.16559,-0.473692,0.184478,-935.017,1476.31,-73.7957
16,0,3.16568,-0.473555,0.184837,-935.028,1476.31,-73.8047
17,0,3.1658,-0.473502,0.18434,-935.029,1476.31,-73.8224
18,0,3.16568,-0.473772,0.184016,-935.019,1476.31,-73.7984
19,0,-0.418183,-3.03991,0.23784,-921.453,1483.76,-66.8634
20,0,-0.418413,-3.04056,0.237769,-921.457,1483.75,-66.9073
21,0,-0.41861,-3.04079,0.23791,-921.468,1483.76,-66.8881
22,0,-0.418464,-3.03982,0.238591,-921.434,1483.78,-66.8896
23,0,-0.419109,-3.04076,0.237065,-921.442,1483.82,-66.8831
24,0,-0.418961,-3.04047,0.238117,-921.459,1483.76,-66.9088
25,0,-0.419062,-3.04035,0.237927,-921.448,1483.77,-66.91
26,0,-0.419012,-3.04086,0.238527,-921.397,1483.75,-66.9251
27,0,-0.419982,-3.04209,0.239437,-921.385,1483.73,-66.9645
28,0,-0.421357,-3.0416,0.240119,-921.35,1483.73,-66.9546
29,0,-0.422164,-3.04238,0.240914,-921.304,1483.72,-66.9965
30,0,-0.423464,-3.04209,0.241711,-921.284,1483.71,-67.0426
31,0,-0.425,-3.04242,0.241651,-921.233,1483.73,-67.0583
32,0,-0.425273,-3.0419,0.24275,-921.204,1483.7,-67.0691
33,0,-0.426314,-3.04241,0.243164,-921.175,1483.72,-67.074
34,0,-0.426957,-3.04282,0.243053,-921.17,1483.73,-67.1083
35,0,-0.427608,-3.04297,0.243559,-921.157,1483.73,-67.1205
36,0,-0.427701,-3.04312,0.243704,-921.139,1483.74,-67.1221
37,0,-0.427766,-3.04379,0.243895,-921.119,1483.73,-67.1351
38,0,-0.428349,-3.04308,0.243753,-921.137,1483.71,-67.1439
39,0,-0.428742,-3.04307,0.243704,-921.089,1483.74,-67.1598
40,0,-0.428348,-3.04309,0.244375,-921.105,1483.72,-67.131
41,0,-0.42813,-3.04405,0.244736,-921.114,1483.69,-67.155
42,0,-0.428066,-3.04354,0.244605,-921.111,1483.69,-67.1386
43,0,-0.428271,-3.04363,0.243882,-921.1,1483.73,-67.1532
44,0,-0.427293,-3.04341,0.245013,-921.11,1483.67,-67.1382
45,0,-0.428125,-3.04335,0.244558,-921.083,1483.69,-67.1289
46,0,-0.428764,-3.04427,0.244434,-921.112,1483.72,-67.1528
47,0,-0.429017,-3.04373,0.243878,-921.106,1483.72,-67.1646
48,0,-0.427837,-3.04231,0.244005,-921.123,1483.7,-67.1145
49,0,-0.428772,-3.04453,0.244355,-921.123,1483.7,-67.1664
50,0,-0.428614,-3.04336,0.243893,-921.121,1483.72,-67.1422
51,0,-0.428596,-3.04394,0.244028,-921.114,1483.73,-67.1629
52,0,-0.427834,-3.0431,0.244316,-921.131,1483.69,-67.1191
53,0,-0.42855,-3.04389,0.244057,-921.111,1483.72,-67.1516
54,0,-0.428783,-3.04422,0.244085,-921.129,1483.69,-67.1651
55,0,-0.428139,-3.04308,0.243689,-921.105,1483.74,-67.1356
56,0,-0.428977,-3.04319,0.243849,-921.093,1483.75,-67.1411
57,0,-0.42782,-3.04496,0.244707,-921.116,1483.69,-67.1564
58,0,-0.428659,-3.04417,0.2437,-921.125,1483.7,-67.1621
59,0,-0.42874,-3.04368,0.243913,-921.122,1483.71,-67.1729
60,0,-0.428482,-3.04352,0.244595,-921.132,1483.71,-67.1621
61,0,-0.428484,-3.04365,0.243733,-921.111,1483.73,-67.1495
62,0,-0.428411,-3.04351,0.243761,-921.087,1483.73,-67.1289
63,0,-0.428877,-3.04289,0.244222,-921.133,1483.72,-67.1694
64,0,-0.428496,-3.044,0.244664,-921.109,1483.69,-67.1608
