Objects
30
,,Global Angle drone:drone,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0201796,-0.0737557,-1.55987,-1044.5,-59.9458,71.4852
2,0,-0.0203792,-0.0739762,-1.55989,-1044.5,-59.939,71.5067
3,0,-0.0205002,-0.0737935,-1.55986,-1044.5,-59.9364,71.4719
4,0,-0.0206702,-0.0741884,-1.56008,-1044.51,-59.9485,71.4844
5,0,-0.0204782,-0.0735552,-1.5601,-1044.52,-59.9521,71.4881
6,0,-0.0205799,-0.0726406,-1.56001,-1044.52,-59.9471,71.4596
7,0,-0.0207901,-0.0741028,-1.55997,-1044.5,-59.9468,71.4982
8,0,-0.0207421,-0.0735809,-1.56008,-1044.51,-59.9585,71.4986
9,0,-0.0208333,-0.0739377,-1.56031,-1044.51,-59.9626,71.4832
10,0,-0.0205012,-0.0739104,-1.55968,-1044.47,-59.9406,71.4826
11,0,-0.0205207,-0.0736667,-1.55987,-1044.51,-59.944,71.4854
12,0,-0.0206218,-0.0741983,-1.55985,-1044.49,-59.9313,71.4906
13,0,-0.0206944,-0.0755798,-1.56005,-1044.48,-59.9436,71.5374
14,0,-0.0207872,-0.074327,-1.55984,-1044.48,-59.9451,71.494
15,0,-0.0201079,-0.0734687,-1.5598,-1044.49,-59.9296,71.4705
16,0,-0.0202955,-0.0742711,-1.55989,-1044.49,-59.9379,71.4954
17,0,-0.0207033,-0.0738805,-1.56012,-1044.52,-59.9613,71.4937
18,0,-0.0205094,-0.0740029,-1.55988,-1044.5,-59.9523,71.4919
19,0,-0.0207394,-0.073821,-1.56001,-1044.49,-59.94,71.4765
20,0,-0.020467,-0.0744847,-1.55988,-1044.49,-59.9436,71.4938
21,0,-0.0203038,-0.0736567,-1.55996,-1044.49,-59.9545,71.49
22,0,-0.0204112,-0.0742427,-1.55989,-1044.48,-59.9473,71.4823
23,0,-0.020376,-0.0746301,-1.55989,-1044.47,-59.9284,71.5056
24,0,-0.0203475,-0.0747453,-1.55999,-1044.48,-59.9585,71.5061
25,0,-0.0207039,-0.0741463,-1.55996,-1044.49,-59.939,71.5043
26,0,-0.0203489,-0.0737955,-1.55984,-1044.5,-59.9395,71.4955
27,0,-0.0207466,-0.0730183,-1.56006,-1044.51,-59.9518,71.4672
28,0,-0.020898,-0.0745407,-1.56001,-1044.49,-59.9513,71.4922
29,0,-0.0202632,-0.0734139,-1.55999,-1044.49,-59.9477,71.4852
30,0,-0.0206556,-0.0739707,-1.55993,-1044.49,-59.9466,71.4921
31,0,-0.0204964,-0.0738925,-1.56006,-1044.49,-59.9531,71.4795
32,0,-0.0201201,-0.0740282,-1.55972,-1044.48,-59.9335,71.4883
33,0,-0.020645,-0.0733753,-1.56021,-1044.52,-59.9486,71.4802
34,0,-0.0205354,-0.0740266,-1.56004,-1044.5,-59.9456,71.5026
35,0,-0.0204318,-0.0740683,-1.56013,-1044.49,-59.9448,71.4988
36,0,-0.0206232,-0.0743391,-1.56005,-1044.48,-59.9566,71.5016
37,0,-0.0201342,-0.0738148,-1.56015,-1044.5,-59.9459,71.4867
38,0,-0.0207339,-0.0740546,-1.56019,-1044.48,-59.9457,71.492
39,0,-0.0206458,-0.0745595,-1.56002,-1044.49,-59.9393,71.5187
40,0,-0.0204488,-0.0734369,-1.55985,-1044.5,-59.9428,71.4761
41,0,-0.0204029,-0.0746054,-1.56014,-1044.48,-59.9577,71.516
42,0,-0.0206404,-0.0739304,-1.55987,-1044.49,-59.9449,71.5047
43,0,-0.0206045,-0.0744003,-1.55999,-1044.49,-59.9495,71.5053
44,0,-0.0205502,-0.0741729,-1.55996,-1044.48,-59.95,71.4831
45,0,-0.0203533,-0.074102,-1.55996,-1044.48,-59.935,71.4975
