Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1
2
3
4
5
6
7,0,-0.0660668,-0.446167,2.18693,-372.009,-323.281,691.641
8,0,-0.0713598,-0.435923,2.18505,-354.925,-356.469,693.691
9,0,-0.0699499,-0.436317,2.18262,-336.668,-389.932,695.779
10,0,-0.0675846,-0.43238,2.18202,-318.343,-423.778,697.619
11,0,-0.067761,-0.430853,2.18013,-299.469,-458.254,699.733
12,0,-0.0712211,-0.429545,2.17724,-280.012,-493.135,701.933
13,0,-0.06698,-0.427793,2.1751,-260.393,-528.546,703.997
14,0,-0.0712603,-0.430659,2.17161,-240.468,-564.275,706.276
15,0,-0.0653399,-0.429366,2.17325,-219.47,-600.206,708.289
16,0,-0.0673348,-0.417173,2.16829,-199.247,-637.299,710.318
17,0,-0.0606514,-0.424574,2.16949,-177.551,-674.068,711.993
18,0,-0.0801366,-0.415048,2.15808,-156.125,-712.136,714.967
19,0,-0.140865,0.39064,4.75771,-200.279,-667.769,687.25
20,0,-0.127488,0.436951,4.75309,-178.897,-705.104,688.373
21,0,-0.162396,0.347515,4.75092,-153.475,-745.991,690.327
22,0,-0.118129,0.335064,4.73882,-128.306,-787.4,691.715
23,0,-0.137371,0.346107,4.7366,-104.85,-826.586,693.338
24,0,-0.149014,0.345019,4.73262,-81.1399,-866.612,694.035
25,0,-0.110478,0.384443,4.73105,-56.5395,-906.886,695.054
26,0,-0.08498,0.41098,4.72803,-31.8706,-947.571,695.364
27,0,-0.133396,0.433383,4.7164,-6.86372,-988.521,695.285
28,0,-0.16275,0.416734,4.70898,17.9056,-1030.4,695.259
29,0,-0.21126,0.39613,4.70033,43.103,-1072.78,695.452
30,0,-0.211372,0.390892,4.70633,69.6703,-1114.71,695.842
31,0,-0.231901,0.387216,4.69717,95.6596,-1157.94,696.107
32,0,-0.252541,0.378723,4.69095,122.414,-1201.61,696.675
33,0,-0.301366,0.369349,4.67081,148.655,-1246.28,697.132
34,0,-0.276249,0.355665,4.68521,176.683,-1289.1,696.834
35,0,-0.331745,0.335518,4.66272,203.653,-1334.91,697.058
36,0,-0.221581,0.507717,4.66946,228.096,-1374.84,694.858
37,0,-0.231655,0.505344,4.67015,256.379,-1419.78,694.8
38,0,-0.215643,0.559762,4.6616,283.022,-1464.08,694.043
39,0,-0.202589,0.598561,4.65148,309.909,-1509.19,693.35
40,0,-0.189707,0.629135,4.64813,337.641,-1554.42,693.097
41,0,-0.256662,0.639785,4.61538,363.351,-1601.87,692.773
42,0,-0.268428,0.650238,4.61053,390.852,-1647.94,692.334
43,0,-0.275219,0.67557,4.6034,418.3,-1694.32,691.899
44,0,-0.295128,0.685653,4.59854,446.092,-1741.03,691.431
45,0,-0.300057,0.706693,4.59278,473.963,-1788.12,691.021
46,0,-0.317062,0.722218,4.58726,502.143,-1835.56,690.716
47,0,-0.325723,0.733683,4.58432,530.651,-1883.05,690.274
48,0,-0.336477,0.7568,4.57809,559.57,-1930.99,690.157
49,0,-0.334892,0.793828,4.57124,588.795,-1978.99,689.841

