Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1
2
3
4
5
6
7,0,-1.11271,2.23045,-0.536007,-1141.79,593.454,850.217
8,0,-1.17148,2.19502,-0.551279,-1143.41,591.418,850.058
9,0,-1.16499,2.19823,-0.554105,-1145.54,587.34,848.414
10,0,-1.15968,2.20279,-0.554472,-1147.86,583.197,846.738
11,0,-1.17108,2.19698,-0.554983,-1150.92,579.481,844.829
12,0,-1.17184,2.19294,-0.556938,-1154.33,575.59,842.713
13,0,-1.16477,2.19707,-0.56049,-1157.16,571.836,840.733
14,0,-1.16665,2.19772,-0.55854,-1160.14,568.165,838.646
15,0,-1.17088,2.19756,-0.558317,-1163.15,564.921,836.518
16,0,-1.17232,2.19581,-0.558834,-1166.54,561.68,834.216
17,0,-1.1784,2.19424,-0.557034,-1169.54,558.566,832.058
18,0,-1.18842,2.19156,-0.55467,-1172.43,555.708,829.925
19,0,-1.19008,2.19176,-0.556618,-1175.77,552.908,827.649
20,0,-1.18818,2.18957,-0.559448,-1179.99,549.847,824.948
21,0,-1.19001,2.18628,-0.556146,-1183.85,547.027,822.348
22,0,-1.19565,2.18546,-0.554076,-1187.03,544.697,819.692
23,0,-1.1969,2.18765,-0.553468,-1190.28,542.542,816.953
24,0,-1.18999,2.19077,-0.557019,-1193.94,540.123,814.287
25,0,-1.19378,2.18944,-0.554399,-1197.29,537.876,811.712
26,0,-1.19672,2.1848,-0.553662,-1201.5,536.023,808.496
27,0,-1.20651,2.18149,-0.552606,-1205,534.149,805.7
28,0,-1.21161,2.18039,-0.553192,-1208.13,532.215,803.175
29,0,-1.20371,2.17409,-0.55159,-1213.04,530.404,799.894
30,0,-1.22685,2.16339,-0.54809,-1216.11,529.06,797.19
31,0,-1.21203,2.17615,-0.550457,-1219.3,527.467,794.364
32,0,-1.20961,2.17383,-0.550438,-1223.44,525.918,791.569
33,0,-1.23194,2.16079,-0.547512,-1226.64,524.84,789.194
34,0,-1.22355,2.1682,-0.545239,-1229.44,523.554,786.74
35,0,-1.21407,2.16568,-0.541975,-1233.73,522.037,784.291
36,0,-1.16457,2.2017,-0.539681,-1236.23,520.027,782.095
37,0,-1.16933,2.20092,-0.541575,-1239.59,518.662,779.863
38,0,-1.16271,2.204,-0.538686,-1243.09,517.63,777.614
39,0,-1.167,2.20141,-0.539021,-1246.26,516.67,775.535
40,0,-1.16489,2.20148,-0.537166,-1249.54,515.64,773.488
41,0,-1.17011,2.19823,-0.536096,-1252.52,514.492,771.663
42,0,-1.16077,2.20214,-0.532491,-1255.69,513.485,769.785
43,0,-1.16175,2.20094,-0.533629,-1258.87,512.35,767.869
44,0,-1.16419,2.19924,-0.531979,-1261.81,511.636,766.234
45,0,-1.1677,2.19743,-0.532474,-1264.73,510.492,764.656
46,0,-1.16544,2.19769,-0.531964,-1267.55,509.296,763.156
47,0,-1.16527,2.19818,-0.53233,-1270.62,508.389,761.487
48,0,-1.17069,2.19811,-0.534214,-1273.41,507.309,759.878
49,0,-1.15813,2.20112,-0.531941,-1276.55,506.248,758.376
50,0,-1.16169,2.1992,-0.532352,-1279.36,505.246,756.845
51,0,-1.16589,2.19732,-0.533004,-1281.99,504.454,755.418
52,0,-1.16241,2.19848,-0.531396,-1284.79,503.377,753.843
53,0,-1.16713,2.19821,-0.532753,-1287.33,502.057,752.305
54,0,-1.16998,2.19466,-0.532204,-1289.95,501.256,750.887
55,0,-1.16401,2.19616,-0.530563,-1292.75,500.254,749.323
56,0,-1.16725,2.19447,-0.531629,-1295.24,499.072,747.907
57,0,-1.16179,2.19731,-0.52976,-1298.04,498.091,746.297
58,0,-1.1572,2.20328,-0.529912,-1300.68,496.733,744.545
59,0,-1.16505,2.19753,-0.529804,-1302.97,495.831,743.265
60,0,-1.16501,2.19526,-0.529996,-1305.37,494.734,741.862
61,0,-1.16291,2.20064,-0.528954,-1307.82,493.52,740.14
62,0,-1.16786,2.19571,-0.528752,-1310.11,492.447,738.842
63,0,-1.1688,2.19431,-0.527415,-1312.45,491.189,737.517
64,0,-1.16487,2.19983,-0.52876,-1314.9,490.157,735.956
65,0,-1.15874,2.20213,-0.529063,-1317.52,488.895,734.583
66,0,-1.15952,2.20101,-0.530439,-1319.77,487.753,733.546
67,0,-1.16114,2.20146,-0.531676,-1322,486.988,732.402
68,0,-1.15312,2.20525,-0.530208,-1324.53,485.812,731.312
69,0,-1.15597,2.2029,-0.530152,-1326.71,484.834,730.481
70,0,-1.16179,2.20008,-0.532421,-1328.56,484.047,729.835
71,0,-1.15321,2.20632,-0.53175,-1331.06,482.675,728.945
72,0,-1.15817,2.20159,-0.533492,-1333.14,482.09,728.517
73,0,-1.16343,2.19896,-0.534928,-1335.01,480.877,728.162
74,0,-1.16272,2.19888,-0.531876,-1337.12,479.79,727.609
75,0,-1.162,2.19894,-0.532034,-1339.3,479.385,727.031
76,0,-2.82564,0.475382,-0.519693,-1337.05,526.71,674.208
77,0,-2.82804,0.475664,-0.518974,-1339.31,525.835,673.786
78,0,-2.82546,0.47432,-0.518928,-1341.49,525.072,673.447
79,0,-2.8264,0.472465,-0.518538,-1343.72,524.267,673.084
80,0,-2.8243,0.473301,-0.518406,-1345.97,523.677,672.673
81,0,-2.82699,0.470776,-0.51741,-1348.09,522.985,672.407
82,0,-2.82819,0.468934,-0.51662,-1350.45,522.433,672.078
83,0,-2.82538,0.472035,-0.515536,-1352.71,521.938,671.802
84,0,-2.82773,0.470643,-0.515198,-1354.96,521.31,671.584
85,0,-2.8304,0.471368,-0.514606,-1357.23,521.014,671.277
86,0,-2.83003,0.469833,-0.516819,-1359.72,520.606,671.026
87,0,-2.82158,0.464427,-0.531882,-1362.22,519.699,670.608
88,0,-2.81794,0.461481,-0.543801,-1364.68,518.683,670.422
89,0,-2.80953,0.464607,-0.558273,-1367.27,517.717,670.221
90,0,-2.8033,0.461286,-0.569206,-1370.22,516.385,669.882
91,0,-2.79791,0.457267,-0.578982,-1373.22,514.503,669.324
92,0,-2.79531,0.46569,-0.580089,-1376.33,513.126,669.275
93,0,-2.79865,0.462565,-0.580263,-1379.62,510.382,668.65
94,0,-2.79295,0.450772,-0.588416,-1383.94,507.737,668.206
95,0,-2.79488,0.450304,-0.586,-1387.78,504.193,667.482
96,0,-2.7924,0.461056,-0.580013,-1391.88,501.104,667.484
97,0,-2.79337,0.447668,-0.585583,-1396.68,496.443,666.584
98,0,-2.79358,0.456878,-0.583004,-1401.13,492.184,666.47
99,0,-2.78925,0.455402,-0.58676,-1406.14,486.47,665.411
100,0,-2.79171,0.4475,-0.593057,-1411.54,481.021,664.909
101,0,-2.79013,0.443728,-0.593259,-1416.98,474.512,663.876
102,0,-2.79125,0.450201,-0.590084,-1422.64,468.101,663.278
103,0,-2.79087,0.487946,-0.578888,-1427.6,462.095,663.016
104,0,-2.79467,0.488492,-0.579179,-1433.64,454.45,662.174
105,0,-2.79184,0.487815,-0.579464,-1440.11,446.263,661.31
106,0,-1.69812,2.51535,-0.00118939,-1406.55,365.512,669.74
107,0,-1.69974,2.51702,-0.00646966,-1413.45,356.392,669.179
108,0,-1.69562,2.51618,0.00079106,-1420.47,346.769,667.933
109,0,-1.69427,2.51986,-0.00141961,-1427.77,336.74,667.39
110,0,-1.69493,2.5193,-0.00273111,-1435.23,326.229,666.518
111,0,-1.69431,2.52108,-0.00407131,-1442.81,315.103,665.83
112,0,-1.69086,2.5221,-0.00260023,-1450.92,303.358,665.118
113,0,-1.6956,2.52501,-0.0126048,-1458.86,291.225,664.494
114,0,-1.68704,2.53904,-0.0107229,-1468.02,278.893,664.263
115,0,-1.68656,2.54302,-0.0169571,-1476.55,265.824,663.812
116,0,-1.68594,2.54603,-0.0185785,-1485.4,252.249,663.086
117,0,-1.68837,2.55211,-0.0271457,-1494.54,238.111,662.589
118,0,-1.68245,2.55032,-0.020359,-1503.46,223.458,662.023
119,0,-1.691,2.54875,-0.0263762,-1513.05,208.014,661.254
120,0,-1.68027,2.55071,-0.0171648,-1522.48,192.525,660.352
121,0,0.413642,0.148517,-2.92664,-1583.97,243.862,661.054
122,0,0.400742,0.159445,-2.92485,-1593.97,227.012,660.936
123,0,0.410851,0.150293,-2.92731,-1603.88,209.736,659.773
124,0,0.408693,0.155035,-2.92734,-1614.06,191.72,659.249
125,0,0.42177,0.147932,-2.92518,-1624.4,173.519,658.15
126,0,0.424414,0.142257,-2.92773,-1635.01,154.931,657.433
127,0,0.426692,0.145105,-2.92609,-1645.74,135.203,657.036
128,0,0.396501,0.16716,-2.9284,-1656.65,114.818,657.759
129,0,0.404035,0.171385,-2.9331,-1667.51,94.0517,657.523
130,0,0.416642,0.169369,-2.93225,-1678.72,72.9926,657.276
131,0,0.442085,0.16014,-2.92654,-1689.88,50.9649,656.506
132,0,0.445464,0.158097,-2.92889,-1701.4,28.7308,656.381
133,0,0.441902,0.165512,-2.93132,-1712.78,5.25101,656.272
134,0,0.446507,0.157893,-2.92946,-1724.24,-18.1249,656.795
135,0,0.455952,0.152623,-2.92844,-1735.82,-42.3998,656.987
136,0,0.452273,0.156199,-2.93145,-1747.71,-67.2329,657.614
137,0,0.448051,0.165086,-2.9394,-1759.73,-92.7814,658.258
138,0,0.436508,0.166391,-2.94083,-1771.53,-118.733,659.916
139,0,0.427452,0.171939,-2.94371,-1783.42,-145.686,661.33
140,0,0.435195,0.157293,-2.94,-1795.3,-173.171,662.164
141,0,0.431127,0.161102,-2.94282,-1806.87,-201.733,663.355
142,0,0.401132,0.170283,-2.94426,-1818.06,-231.163,665.399
143,0,0.426088,0.168028,-2.94782,-1830.8,-259.723,665.969
144,0,0.410617,0.169699,-2.95114,-1842.67,-289.92,667.544
145,0,0.417716,0.164843,-2.95178,-1854.6,-320.317,668.665
146,0,0.408447,0.179545,-2.95694,-1866.27,-351.51,670.394
147,0,0.410967,0.176726,-2.95583,-1877.87,-382.978,672.042
148,0,0.413372,0.161846,-2.95265,-1889.58,-415.173,673.038
149,0,0.39888,0.176301,-2.96131,-1901.13,-448.716,674.144
150,0,0.390748,0.182993,-2.96581,-1912.64,-482.665,675.147
151,0,0.389648,0.177907,-2.96573,-1923.93,-517.012,676.162
152,0,0.395939,0.178092,-2.96537,-1935.1,-551.759,676.986
153,0,0.405732,0.174959,-2.96653,-1947.02,-586,677.609
154,0,0.392857,0.187697,-2.97276,-1958.29,-622.357,678.041
155,0,0.389438,0.178768,-2.9729,-1969.89,-658.834,678.043
156,0,0.386842,0.192427,-2.97882,-1980.23,-696.898,678.762
157,0,0.407202,0.177645,-2.97363,-1992.5,-732.827,678.504
158,0,0.386898,0.200313,-2.98727,-2002.82,-772.552,678.82
159,0,0.387112,0.184357,-2.98386,-2014.57,-811.004,678.262
160,0,0.377568,0.201797,-2.99486,-2024.82,-851.042,678.489
161,0,0.395424,0.180147,-2.98989,-2037.05,-888.894,677.786
162,0,0.384113,0.202685,-2.99804,-2047.23,-931.232,677.613
163,0,-2.60359,-1.07178,-0.468083,-2078.21,-923.013,691.322
164,0,-2.60239,-1.0822,-0.451261,-2088.79,-964.691,690.92
165,0,-2.59374,-1.09171,-0.427991,-2098.19,-1006.37,690.834
166,0,-2.59011,-1.09203,-0.410342,-2107.04,-1047.78,690.581
167,0,-2.62987,-1.1138,-0.433528,-2119.73,-1090.11,687.808
168,0,-2.6871,-1.11759,-0.459592,-2131.85,-1129.66,685.198
