Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.369727,3.08636,-0.391671,-41.4255,82.2006,24.5992
2,0,0.370234,3.08604,-0.391286,-41.4503,82.1568,24.6618
3,0,0.368884,3.08595,-0.39113,-41.4097,82.2282,24.5668
4,0,0.369729,3.08596,-0.391214,-41.4314,82.1871,24.6234
5,0,0.369745,3.08591,-0.391526,-41.4295,82.1208,24.6471
6,0,0.370025,3.08472,-0.391032,-41.4699,82.1087,24.6489
7,0,0.369636,3.08597,-0.391146,-41.4573,82.1814,24.6161
8,0,0.370121,3.08468,-0.390928,-41.4518,82.0767,24.6609
9,0,0.36834,3.08499,-0.391927,-41.4068,82.2658,24.5037
10,0,0.36927,3.08511,-0.390929,-41.4322,82.2055,24.5859
11,0,0.369897,3.08571,-0.391234,-41.4258,82.1439,24.6094
12,0,0.36946,3.08558,-0.391487,-41.4047,82.1917,24.5771
13,0,0.370054,3.08624,-0.39101,-41.4304,82.1774,24.6649
14,0,0.369944,3.08638,-0.391071,-41.4208,82.1897,24.6344
15,0,0.368684,3.08508,-0.391075,-41.4205,82.2385,24.5733
16,0,0.369971,3.085,-0.391399,-41.4483,82.1482,24.6125
17,0,0.369161,3.08568,-0.391314,-41.4071,82.2169,24.5801
18,0,0.369887,3.0855,-0.391021,-41.4442,82.1133,24.6581
19,0,0.368922,3.08549,-0.391104,-41.3851,82.2412,24.5412
20,0,0.370054,3.08577,-0.39132,-41.4505,82.1612,24.6299
21,0,0.370223,3.08535,-0.390724,-41.4442,82.1521,24.6372
22,0,0.370464,3.08649,-0.391937,-41.4637,82.1649,24.6536
23,0,0.370616,3.08412,-0.390384,-41.4568,82.1126,24.6737
24,0,0.369746,3.08462,-0.390699,-41.4566,82.1511,24.6454
25,0,0.369212,3.08578,-0.390991,-41.3903,82.196,24.601
26,0,0.370208,3.08521,-0.391137,-41.4704,82.1094,24.6513
27,0,0.369293,3.08499,-0.390875,-41.4057,82.1976,24.566
28,0,0.370188,3.08601,-0.390966,-41.4405,82.1622,24.653
29,0,0.370189,3.08434,-0.390681,-41.4633,82.1259,24.6371
30,0,0.368164,3.08552,-0.390195,-41.3629,82.2559,24.5074
31,0,0.370103,3.08644,-0.391013,-41.4032,82.1559,24.6513
32,0,0.369851,3.08622,-0.391313,-41.4304,82.1888,24.6308
33,0,0.369845,3.08436,-0.390569,-41.4503,82.1264,24.6336
34,0,0.369635,3.08499,-0.390615,-41.4351,82.1969,24.6015
35,0,0.370323,3.08479,-0.39128,-41.4544,82.1504,24.6642
36,0,0.37076,3.08505,-0.390635,-41.4871,82.0885,24.6794
37,0,0.370788,3.08443,-0.390609,-41.4475,82.0708,24.6754
38,0,0.369711,3.08561,-0.391149,-41.4444,82.1509,24.6109
39,0,0.36971,3.08603,-0.390982,-41.428,82.2113,24.6067
40,0,0.369397,3.08463,-0.390976,-41.4254,82.1718,24.6021
41,0,0.369677,3.08657,-0.391309,-41.4303,82.2114,24.6171
42,0,0.370108,3.08532,-0.390826,-41.4436,82.1548,24.6268
43,0,0.369802,3.08627,-0.391302,-41.4283,82.1939,24.6082
44,0,0.369523,3.085,-0.390949,-41.4257,82.1933,24.5873
45,0,0.37058,3.08468,-0.391144,-41.4664,82.146,24.6304
46,0,0.369632,3.08557,-0.391251,-41.4268,82.2109,24.5756
47,0,0.370292,3.08368,-0.390627,-41.4568,82.1355,24.6432
48,0,0.369226,3.08599,-0.391057,-41.4007,82.1916,24.6038
49,0,0.370355,3.08417,-0.391331,-41.4779,82.1039,24.6436
50,0,0.369625,3.08618,-0.390984,-41.4392,82.1304,24.6451
51,0,0.368166,3.08607,-0.391493,-41.3745,82.2547,24.5107
52,0,0.368744,3.08576,-0.390805,-41.3812,82.222,24.5596
53,0,0.3691,3.0865,-0.391244,-41.41,82.211,24.6001
54,0,0.36986,3.08497,-0.390907,-41.4257,82.1458,24.6429
55,0,0.368717,3.08522,-0.390829,-41.4197,82.226,24.5633
56,0,0.36981,3.08553,-0.390853,-41.4203,82.176,24.6241
57,0,0.370387,3.08429,-0.390685,-41.4643,82.1088,24.6673
58,0,0.370366,3.08607,-0.391723,-41.4668,82.1246,24.6426
59,0,0.370156,3.08371,-0.390798,-41.4697,82.1229,24.6438
60,0,0.369598,3.08524,-0.391021,-41.4136,82.1846,24.5937
61,0,0.369397,3.08526,-0.390434,-41.406,82.1884,24.6156
62,0,0.37088,3.08455,-0.39097,-41.489,82.0863,24.6991
63,0,0.369853,3.08561,-0.391274,-41.4365,82.2379,24.605
64,0,0.370486,3.08568,-0.391175,-41.4361,82.1324,24.6546
65,0,0.369341,3.08667,-0.391132,-41.379,82.1952,24.5992
66,0,0.370885,3.08521,-0.390932,-41.4769,82.1001,24.6922
67,0,0.37008,3.08438,-0.390893,-41.4476,82.0917,24.6529
68,0,0.36894,3.08439,-0.390396,-41.4003,82.1995,24.5871
69,0,0.370339,3.08468,-0.391116,-41.4564,82.1664,24.6166
70,0,0.370363,3.08644,-0.390943,-41.4573,82.1022,24.674
71,0,0.368948,3.08704,-0.391532,-41.3916,82.2572,24.557
72,0,0.369482,3.08468,-0.390915,-41.4254,82.2096,24.5789
73,0,0.370153,3.08515,-0.390871,-41.429,82.1393,24.6501
74,0,0.369677,3.08464,-0.39085,-41.4651,82.1623,24.6075
75,0,0.369137,3.08577,-0.390759,-41.4184,82.1682,24.6178
76,0,0.369701,3.08394,-0.390758,-41.4523,82.1338,24.6319
77,0,0.368859,3.08598,-0.391825,-41.4108,82.2395,24.5451
78,0,0.369677,3.08418,-0.39105,-41.4461,82.1587,24.6155
79,0,0.369902,3.08371,-0.390473,-41.4697,82.111,24.6549
80,0,0.368463,3.08507,-0.391792,-41.3797,82.2751,24.4997
81,0,0.369798,3.08556,-0.391203,-41.4388,82.1406,24.6493
82,0,0.370375,3.08642,-0.391091,-41.4206,82.1444,24.6279
83,0,0.369302,3.08502,-0.390618,-41.439,82.178,24.5913
84,0,0.369526,3.08572,-0.391321,-41.4108,82.1639,24.5848
85,0,0.370426,3.08479,-0.391298,-41.4577,82.129,24.6536
86,0,0.368164,3.08688,-0.391325,-41.357,82.2764,24.5183
87,0,0.36846,3.08456,-0.390919,-41.4098,82.2319,24.5595
88,0,0.368833,3.08412,-0.39033,-41.3996,82.1849,24.5551
89,0,0.369452,3.08588,-0.391177,-41.4107,82.1914,24.592
90,0,0.370351,3.08708,-0.390733,-41.4531,82.1226,24.6999
91,0,0.369443,3.08605,-0.390908,-41.4034,82.2189,24.5997
92,0,0.369001,3.08608,-0.391062,-41.3903,82.2057,24.5688
