Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.599955,3.05922,-0.370694,-65.1127,105.025,20.5909
2,0,0.601176,3.05876,-0.370831,-65.1792,104.948,20.6459
3,0,0.600772,3.0594,-0.370046,-65.1466,104.98,20.6283
4,0,0.601832,3.0601,-0.370909,-65.2009,104.96,20.676
5,0,0.601465,3.05942,-0.370769,-65.1619,104.964,20.6643
6,0,0.600522,3.06019,-0.3709,-65.1352,104.945,20.661
7,0,0.603505,3.05978,-0.370494,-65.2792,104.799,20.7686
8,0,0.600412,3.05941,-0.370154,-65.1574,104.997,20.6223
9,0,0.601751,3.05876,-0.370249,-65.2276,104.911,20.6906
10,0,0.601906,3.05912,-0.370379,-65.1832,104.923,20.6797
11,0,0.602367,3.05885,-0.370833,-65.2339,104.863,20.7104
12,0,0.601684,3.05941,-0.370208,-65.1986,104.928,20.6658
13,0,0.602203,3.05917,-0.370464,-65.2254,104.844,20.7135
14,0,0.60369,3.05971,-0.370607,-65.2881,104.804,20.7661
15,0,0.602162,3.05945,-0.370542,-65.1861,104.944,20.6669
16,0,0.602983,3.05943,-0.37079,-65.2812,104.838,20.7516
17,0,0.601389,3.05948,-0.370779,-65.1698,104.908,20.7119
18,0,0.60262,3.05965,-0.371078,-65.2225,104.854,20.7284
19,0,0.601597,3.06031,-0.371218,-65.1856,104.905,20.7378
20,0,0.60259,3.06071,-0.372334,-65.2043,104.83,20.7684
21,0,0.600732,3.05912,-0.370349,-65.1364,104.981,20.6103
22,0,0.600412,3.05899,-0.370616,-65.1575,104.99,20.6359
23,0,0.600086,3.0593,-0.370286,-65.1535,105.004,20.6115
24,0,0.600798,3.05871,-0.370003,-65.1614,104.955,20.613
25,0,0.600012,3.05878,-0.370286,-65.1643,105.025,20.595
26,0,0.601811,3.05914,-0.370698,-65.2075,104.938,20.6731
27,0,0.600841,3.0594,-0.370435,-65.1745,104.98,20.6298
28,0,0.60153,3.06004,-0.370423,-65.2072,104.926,20.6612
29,0,0.600543,3.059,-0.369787,-65.1511,104.962,20.6385
30,0,0.600349,3.05901,-0.370371,-65.1507,104.973,20.6373
31,0,0.600174,3.05957,-0.37005,-65.1431,105.001,20.6211
32,0,0.60204,3.0592,-0.370268,-65.212,104.886,20.6956
33,0,0.601707,3.05921,-0.370173,-65.178,104.949,20.666
34,0,0.601811,3.05897,-0.370536,-65.1885,104.875,20.6627
35,0,0.599917,3.05761,-0.370021,-65.1036,104.982,20.59
36,0,0.60059,3.05879,-0.371007,-65.1655,104.947,20.6049
37,0,0.601518,3.05904,-0.370369,-65.1974,104.953,20.6833
38,0,0.600695,3.0589,-0.370227,-65.145,105.007,20.6181
39,0,0.600816,3.05805,-0.370676,-65.1541,104.949,20.613
40,0,0.600925,3.05942,-0.370914,-65.1493,104.96,20.6068
41,0,0.602159,3.05867,-0.370057,-65.2144,104.903,20.6889
42,0,0.599854,3.05846,-0.370437,-65.1231,105.042,20.5515
43,0,0.600244,3.05824,-0.370339,-65.1372,105.011,20.5711
44,0,0.60135,3.05983,-0.370456,-65.1751,104.924,20.6632
45,0,0.601359,3.05878,-0.370663,-65.2112,104.903,20.6481
46,0,0.599626,3.05919,-0.369938,-65.1259,104.999,20.6049
47,0,0.603186,3.05923,-0.37028,-65.269,104.803,20.7285
48,0,0.599784,3.0585,-0.370545,-65.1213,104.999,20.568
49,0,0.602821,3.05915,-0.370328,-65.2696,104.814,20.7468
50,0,0.601291,3.05916,-0.370271,-65.2137,104.914,20.6566
51,0,0.600471,3.05882,-0.370896,-65.1335,105,20.5833
52,0,0.60054,3.05919,-0.370408,-65.1318,104.984,20.5888
53,0,0.601819,3.05886,-0.370382,-65.2463,104.916,20.6649
54,0,0.600171,3.05869,-0.370362,-65.1189,104.99,20.6085
55,0,0.60065,3.05839,-0.370897,-65.1737,104.974,20.6212
56,0,0.602159,3.05985,-0.370782,-65.2179,104.867,20.7251
57,0,0.600197,3.05886,-0.370323,-65.16,105.021,20.6002
58,0,0.602127,3.05932,-0.370701,-65.237,104.872,20.6902
59,0,0.60203,3.05966,-0.370325,-65.1952,104.892,20.6959
60,0,0.601308,3.05969,-0.370684,-65.1884,104.926,20.6387
61,0,0.601725,3.05937,-0.370547,-65.2011,104.94,20.6733
62,0,0.602512,3.06006,-0.371049,-65.2434,104.872,20.7461
63,0,0.602451,3.06059,-0.371165,-65.2095,104.869,20.7246
64,0,0.604384,3.06008,-0.371177,-65.3127,104.693,20.8822
65,0,0.604766,3.06081,-0.372704,-65.332,104.701,20.8966
66,0,0.605819,3.06154,-0.372528,-65.3589,104.707,20.9432
67,0,0.606511,3.06218,-0.372712,-65.3824,104.627,21.0204
68,0,0.606264,3.06249,-0.373365,-65.3325,104.687,21.0002
69,0,0.605836,3.06413,-0.373769,-65.3145,104.649,21.0391
