Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.42935,3.09298,-0.376269,-109.032,99.8819,19.7479
2,0,0.430619,3.0932,-0.376745,-109.076,99.8193,19.8256
3,0,0.425929,3.09282,-0.37564,-108.868,100.145,19.4674
4,0,0.428623,3.09392,-0.376164,-108.998,99.9818,19.7342
5,0,0.429407,3.0943,-0.376174,-109.023,99.8958,19.7743
6,0,0.428958,3.09401,-0.376324,-108.996,99.9487,19.7339
7,0,0.430014,3.094,-0.376588,-109.058,99.8566,19.8173
8,0,0.427541,3.09461,-0.376199,-108.928,100.068,19.6045
9,0,0.430048,3.09524,-0.376529,-109.038,99.8553,19.8387
10,0,0.431114,3.09373,-0.376787,-109.094,99.7634,19.9179
11,0,0.430324,3.09409,-0.376405,-109.028,99.8586,19.8085
12,0,0.430874,3.09398,-0.376442,-109.097,99.7727,19.8889
13,0,0.429784,3.09382,-0.376061,-109.033,99.8788,19.7946
14,0,0.430501,3.09393,-0.376124,-109.04,99.816,19.8733
15,0,0.430654,3.09284,-0.377165,-109.102,99.8172,19.8226
16,0,0.430484,3.09485,-0.376816,-109.079,99.8132,19.8849
17,0,0.430546,3.09363,-0.376562,-109.083,99.8507,19.8587
18,0,0.430151,3.09438,-0.376237,-109.039,99.8472,19.82
19,0,0.428119,3.09455,-0.375142,-108.969,100.039,19.6767
20,0,0.430719,3.09442,-0.376711,-109.072,99.7756,19.8777
21,0,0.429946,3.09425,-0.376544,-109.028,99.8502,19.8339
22,0,0.429357,3.09362,-0.376432,-109.04,99.8674,19.7702
23,0,0.430014,3.09397,-0.376725,-109.066,99.8533,19.7928
24,0,0.429459,3.09372,-0.375834,-109.017,99.9331,19.7558
25,0,0.430243,3.09387,-0.37672,-109.06,99.8604,19.8138
26,0,0.431473,3.09428,-0.377832,-109.155,99.7066,19.9505
27,0,0.42947,3.09383,-0.376118,-109.034,99.9059,19.7476
28,0,0.428168,3.09309,-0.376303,-109.004,99.9649,19.6857
29,0,0.429434,3.09385,-0.376508,-109.041,99.8815,19.7763
30,0,0.428519,3.09348,-0.376465,-109,99.9458,19.7046
31,0,0.430611,3.09461,-0.376233,-109.062,99.8666,19.8497
32,0,0.428461,3.09414,-0.375822,-108.983,99.9603,19.7241
33,0,0.430074,3.09423,-0.37639,-109.06,99.8663,19.8524
34,0,0.430313,3.09394,-0.376778,-109.063,99.8675,19.8387
35,0,0.430523,3.09397,-0.376961,-109.111,99.8108,19.8624
36,0,0.43023,3.09383,-0.376352,-109.056,99.8619,19.8065
37,0,0.429841,3.0934,-0.376885,-109.083,99.8425,19.7996
38,0,0.424967,3.0935,-0.375298,-108.847,100.244,19.4578
39,0,0.430146,3.09311,-0.376748,-109.066,99.8435,19.799
40,0,0.428556,3.0935,-0.375755,-108.965,99.9819,19.6932
41,0,0.428263,3.09304,-0.376429,-108.979,100.028,19.6322
42,0,0.428761,3.09457,-0.37643,-108.986,100.003,19.7236
43,0,0.429666,3.09314,-0.376432,-109.02,99.866,19.7783
44,0,0.430605,3.09328,-0.377244,-109.092,99.7957,19.8338
45,0,0.430493,3.09438,-0.377174,-109.086,99.7956,19.8415
46,0,0.428177,3.09421,-0.376041,-108.994,99.9857,19.6995
47,0,0.428164,3.09326,-0.375929,-108.974,99.9812,19.6805
48,0,0.427642,3.09371,-0.375633,-108.93,100.065,19.5918
49,0,0.429917,3.09336,-0.37658,-109.039,99.8673,19.7842
50,0,0.430132,3.09408,-0.376473,-109.042,99.8474,19.8591
51,0,0.429726,3.09481,-0.376445,-109.048,99.8956,19.8305
52,0,0.427461,3.09299,-0.375677,-108.933,100.05,19.602
53,0,0.430778,3.09497,-0.376701,-109.062,99.8136,19.8907
54,0,0.427207,3.09364,-0.375087,-108.907,100.11,19.6039
55,0,0.430037,3.09328,-0.376854,-109.069,99.8233,19.8046
56,0,0.429027,3.09357,-0.375871,-108.999,99.9473,19.7394
57,0,0.430519,3.09429,-0.376551,-109.057,99.8576,19.8547
58,0,0.430038,3.09431,-0.376552,-109.042,99.8855,19.8206
59,0,0.431713,3.09438,-0.377149,-109.114,99.7338,19.9328
60,0,0.428277,3.09382,-0.376128,-108.983,99.9821,19.6779
61,0,0.430055,3.09478,-0.376163,-109.043,99.874,19.8425
62,0,0.429211,3.09366,-0.376034,-109.007,99.9535,19.7183
63,0,0.430784,3.09378,-0.376973,-109.082,99.7669,19.8575
64,0,0.428986,3.09513,-0.375721,-108.986,99.9697,19.762
65,0,0.431307,3.09449,-0.376586,-109.108,99.7587,19.9212
66,0,0.43109,3.09413,-0.377787,-109.128,99.7511,19.9037
67,0,0.429373,3.09362,-0.37665,-109.021,99.9055,19.7338
68,0,0.430231,3.0946,-0.376763,-109.046,99.8083,19.8699
69,0,0.429744,3.09448,-0.376341,-109.018,99.9267,19.789
70,0,0.429882,3.09466,-0.376377,-109.045,99.8974,19.8206
71,0,0.429404,3.09382,-0.377104,-109.008,99.8899,19.7433
72,0,0.431235,3.09358,-0.376681,-109.137,99.7294,19.9119
73,0,0.429574,3.0937,-0.376079,-109.014,99.9058,19.7594
74,0,0.431032,3.09357,-0.376935,-109.101,99.7828,19.8748
75,0,0.430121,3.09313,-0.377114,-109.085,99.7842,19.819
76,0,0.43163,3.09423,-0.377283,-109.147,99.7543,19.9489
77,0,0.427721,3.09345,-0.375896,-108.945,100.028,19.6141
78,0,0.429951,3.09314,-0.376753,-109.05,99.8432,19.7992
79,0,0.430498,3.09402,-0.376751,-109.084,99.8263,19.8448
80,0,0.426304,3.09344,-0.375184,-108.897,100.153,19.5371
81,0,0.431657,3.0949,-0.376791,-109.133,99.7629,19.9642
82,0,0.429681,3.09453,-0.377066,-109.03,99.8867,19.7699
83,0,0.429924,3.09436,-0.376243,-109.043,99.8832,19.7867
84,0,0.429256,3.09514,-0.375317,-108.986,99.9969,19.7726
85,0,0.429396,3.0942,-0.376054,-109.025,99.8816,19.7857
86,0,0.430444,3.09563,-0.375908,-109.005,99.8896,19.8395
87,0,0.430155,3.09422,-0.376627,-109.046,99.8822,19.8032
88,0,0.426367,3.09445,-0.375572,-108.886,100.161,19.5511
89,0,0.429896,3.09482,-0.375949,-109.028,99.8783,19.8374
90,0,0.430216,3.09344,-0.376205,-109.073,99.8357,19.8292
91,0,0.430399,3.09334,-0.376609,-109.079,99.8054,19.8626
92,0,0.429912,3.09287,-0.376559,-109.062,99.8839,19.7877
93,0,0.42959,3.09312,-0.376442,-109.037,99.8739,19.7555
94,0,0.429263,3.09408,-0.376181,-109.021,99.8947,19.7769
95,0,0.431943,3.09424,-0.377399,-109.162,99.6803,19.9639
96,0,0.430966,3.09452,-0.376653,-109.115,99.7514,19.9228
97,0,0.429403,3.094,-0.376068,-109.01,99.9225,19.7648
98,0,0.431769,3.09329,-0.377383,-109.154,99.6726,19.9313
99,0,0.429619,3.09279,-0.376282,-109.061,99.8618,19.7663
100,0,0.42733,3.09432,-0.375713,-108.927,100.045,19.6283
101,0,0.429557,3.09438,-0.376396,-109.004,99.9303,19.7685
102,0,0.42984,3.09289,-0.376763,-109.041,99.8686,19.7894
103,0,0.431197,3.09466,-0.377199,-109.095,99.8112,19.9011
104,0,0.430742,3.09397,-0.376921,-109.101,99.8064,19.8649
105,0,0.431187,3.09455,-0.377025,-109.097,99.7995,19.9085
106,0,0.430795,3.09401,-0.376757,-109.081,99.8245,19.8546
107,0,0.427784,3.09349,-0.375747,-108.96,100.027,19.6373
108,0,0.426568,3.09368,-0.375137,-108.899,100.139,19.5571
109,0,0.430564,3.09423,-0.376359,-109.058,99.8069,19.8549
110,0,0.430679,3.09459,-0.37677,-109.047,99.8311,19.875
111,0,0.426799,3.09369,-0.375622,-108.901,100.117,19.5532
112,0,0.429458,3.09478,-0.376272,-109.018,99.8939,19.7991
113,0,0.431786,3.09419,-0.377171,-109.137,99.7183,19.9495
114,0,0.430743,3.09413,-0.377144,-109.087,99.7928,19.8554
115,0,0.430586,3.09352,-0.376599,-109.081,99.8217,19.8618
116,0,0.429281,3.09375,-0.376269,-109.027,99.8878,19.7481
117,0,0.429498,3.09497,-0.37558,-108.984,99.9894,19.762
118,0,0.429621,3.09397,-0.376278,-109.039,99.8602,19.7707
119,0,0.428483,3.09423,-0.376325,-108.976,99.9988,19.6943
120,0,0.429824,3.09404,-0.376623,-109.038,99.872,19.7855
121,0,0.431522,3.09469,-0.377281,-109.129,99.7232,19.9315
122,0,0.428484,3.09452,-0.375886,-108.993,100.03,19.6858
123,0,0.428858,3.09355,-0.376657,-109.018,99.9215,19.7077
124,0,0.426086,3.09385,-0.375162,-108.866,100.168,19.5452
125,0,0.431111,3.09418,-0.377386,-109.096,99.8013,19.8779
126,0,0.429356,3.09409,-0.375884,-109.01,99.9439,19.7416
127,0,0.431701,3.09332,-0.377002,-109.143,99.7108,19.9401
128,0,0.430158,3.09421,-0.377201,-109.056,99.8218,19.8234
129,0,0.432198,3.09415,-0.376998,-109.144,99.7559,19.9629
130,0,0.427792,3.09456,-0.37519,-108.951,100.033,19.6909
131,0,0.430914,3.0944,-0.377092,-109.084,99.8115,19.8912
132,0,0.431685,3.09434,-0.377301,-109.137,99.7145,19.9326
133,0,0.430791,3.09413,-0.376811,-109.069,99.7829,19.8849
134,0,0.431174,3.09484,-0.376227,-109.061,99.8221,19.9091
135,0,0.429036,3.09339,-0.376095,-109.007,99.9346,19.7102
136,0,0.43111,3.09269,-0.377185,-109.125,99.7254,19.8698
137,0,0.430925,3.09466,-0.376515,-109.082,99.7987,19.9036
138,0,0.429071,3.09385,-0.37562,-109.001,99.9339,19.754
139,0,0.42785,3.09482,-0.375328,-108.929,100.057,19.673
140,0,0.430171,3.0944,-0.376138,-109.046,99.8924,19.8077
141,0,0.429622,3.09383,-0.375464,-109.005,99.9042,19.7779
142,0,0.42973,3.09581,-0.376451,-109.015,99.9349,19.814
143,0,0.431623,3.09429,-0.376809,-109.116,99.7371,19.9394
144,0,0.431477,3.09431,-0.376324,-109.102,99.7878,19.9084
145,0,0.429806,3.09377,-0.37597,-109.02,99.8655,19.7963
146,0,0.429439,3.09358,-0.376234,-109.027,99.9017,19.7567
147,0,0.430142,3.09431,-0.376196,-109.045,99.8592,19.8296
148,0,0.430405,3.09339,-0.376322,-109.064,99.8557,19.8264
149,0,0.429835,3.09538,-0.375577,-108.997,99.9058,19.829
150,0,0.431806,3.09454,-0.376613,-109.123,99.7268,19.9723
151,0,0.428583,3.09221,-0.37662,-108.996,99.9225,19.653
152,0,0.431718,3.09376,-0.377071,-109.141,99.7137,19.9452
153,0,0.429445,3.09513,-0.376048,-109.009,99.9211,19.7855
154,0,0.428356,3.09402,-0.376177,-108.965,99.9814,19.6874
155,0,0.430243,3.09483,-0.37643,-109.038,99.8939,19.8286
156,0,0.427999,3.09327,-0.375583,-108.942,100.046,19.619
157,0,0.430897,3.09495,-0.376778,-109.09,99.8345,19.8883
158,0,0.431107,3.09478,-0.377013,-109.084,99.7961,19.9033
159,0,0.430087,3.09463,-0.375932,-109.027,99.8922,19.8166
160,0,0.429577,3.0939,-0.375896,-109.016,99.9167,19.787
161,0,0.430229,3.09514,-0.376015,-109.052,99.8773,19.8514
162,0,0.427382,3.09456,-0.374667,-108.921,100.099,19.6393
163,0,0.431699,3.09331,-0.377702,-109.146,99.71,19.9222
164,0,0.42833,3.0933,-0.375808,-108.97,99.9503,19.6695
165,0,0.430279,3.09268,-0.376877,-109.071,99.8566,19.8037
166,0,0.43223,3.09455,-0.377087,-109.149,99.7294,19.9817
167,0,0.427766,3.09375,-0.375355,-108.958,100.023,19.6729
168,0,0.430827,3.09411,-0.376776,-109.069,99.7844,19.8787
169,0,0.428448,3.09369,-0.376422,-109.002,99.9298,19.7069
170,0,0.430105,3.09338,-0.376105,-109.065,99.8599,19.8267
171,0,0.429935,3.09264,-0.376477,-109.063,99.798,19.8344
172,0,0.430263,3.09413,-0.376276,-109.027,99.897,19.7872
173,0,0.429736,3.09494,-0.376138,-109.018,99.8959,19.8245
174,0,0.430288,3.09448,-0.376636,-109.038,99.8984,19.8154
175,0,0.430339,3.09396,-0.376537,-109.066,99.866,19.844
176,0,0.43106,3.09411,-0.376728,-109.108,99.8109,19.8803
177,0,0.429148,3.09388,-0.375758,-109.023,99.9256,19.7597
178,0,0.432314,3.09457,-0.377099,-109.136,99.6969,20.0017
179,0,0.430901,3.09321,-0.377325,-109.081,99.8012,19.8488
180,0,0.429971,3.09488,-0.375978,-109.039,99.8716,19.8131
