Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1
2
3
4
5
6
7
8
9
10
11
12
13,0,1.24127,0.0907583,0.486066,-63.9205,171.45,106.588
14,0,1.25113,0.0919356,0.496516,-64.9511,176.543,89.1164
15,0,1.24482,0.0958409,0.497584,-66.6043,181.807,74.4324
16,0,1.24572,0.0971325,0.506995,-67.1789,188.354,62.4664
17,0,1.2557,0.102708,0.500402,-68.0052,195.034,53.9225
18,0,1.22286,0.112321,0.494581,-68.0955,197.524,57.0396
19,0,1.2083,0.100342,0.508091,-68.3449,201.247,64.3741
20,0,1.21217,0.100511,0.49674,-68.4175,205.519,73.1962
21,0,1.22948,0.0961593,0.498812,-69.6588,208.764,82.1725
22,0,1.22493,0.0969248,0.501644,-69.8874,212.352,90.8522
23,0,1.23315,0.0990944,0.499601,-70.8799,216.245,101.289
24,0,1.23904,0.102569,0.491516,-71.2718,220.587,112.85
25,0,1.24449,0.0979703,0.494597,-72.3464,223.819,123.917
26,0,1.25052,0.0930786,0.504101,-72.6859,228.923,136.796
27,0,1.27157,0.0925569,0.500046,-74.922,233.219,150.048
28,0,1.27218,0.0894252,0.503389,-74.4158,239.829,164.166
29,0,1.28393,0.088048,0.508263,-75.1853,246.315,177.942
30,0,1.27844,0.0901345,0.492836,-75.4831,253.321,190.908
31,0,1.28616,0.09086,0.49801,-76.1211,260.742,202.838
32,0,1.27607,0.0926677,0.492843,-75.8462,269.548,214.461
33,0,1.26839,0.0879273,0.500977,-75.3748,279.125,224.798
34,0,1.25248,0.0861959,0.507217,-75.1041,289.526,234.193
35,0,1.2535,0.0882062,0.506921,-74.928,300.077,242.254
36,0,1.23868,0.0903547,0.509965,-74.0671,311.377,249.258
37,0,1.23514,0.0892307,0.512253,-73.462,322.284,254.664
38,0,1.24682,0.116393,0.412509,-70.7253,340.274,264.284
39,0,1.24208,0.117415,0.424903,-70.2416,352.067,267.857
40,0,1.24431,0.118935,0.425352,-69.3019,364.254,270.89
41,0,1.23219,0.116751,0.420887,-68.5585,376.15,272.849
42,0,1.23825,0.119685,0.425009,-67.8906,388.397,273.899
43,0,1.23187,0.119195,0.42426,-66.8814,400.608,274.166
44,0,1.23202,0.116849,0.425129,-66.147,412.765,273.437
45,0,1.23491,0.119469,0.42654,-65.392,425.077,271.84
46,0,1.23287,0.1201,0.42915,-64.7118,436.98,269.227
47,0,1.23671,0.118581,0.429096,-63.7005,448.917,266.193
48,0,1.23642,0.118307,0.428801,-62.7082,461.005,262.616
49,0,1.23352,0.12056,0.43225,-61.7801,472.828,258.457
50,0,1.23962,0.119016,0.432744,-61.0087,484.232,253.614
51,0,1.23374,0.120253,0.440504,-60.4946,495.524,248.129
52,0,1.25422,0.103168,0.40306,-58.5027,505.694,242.897
53,0,1.26248,0.101605,0.400659,-57.6154,516.949,237.393
54,0,1.26515,0.103297,0.399024,-57.4251,526.83,231.124
55,0,1.26797,0.102126,0.399949,-57.3019,536.427,224.889
56,0,1.27802,0.102385,0.398564,-57.087,546.198,218.526
57,0,1.28475,0.102932,0.398486,-57.2292,554.991,211.748
58,0,1.28626,0.102361,0.398418,-57.3666,563.935,205.124
59,0,1.29806,0.104595,0.397641,-57.5091,572.581,198.448
60,0,1.30351,0.103066,0.397792,-57.8792,580.659,191.466
61,0,1.29703,0.104972,0.395591,-58.1483,588.604,184.516
62,0,1.31055,0.109121,0.393262,-57.798,597.248,178.409
63,0,1.30801,0.110288,0.393589,-58.115,604.108,170.823
64,0,1.30407,0.107278,0.393278,-58.1203,611.419,163.702
65,0,1.30793,0.107273,0.39461,-57.9088,618.389,157.068
66,0,1.31109,0.104783,0.400112,-57.803,624.461,150.81
67,0,1.31639,0.107574,0.392779,-57.6275,630.687,145.946
68,0,1.32305,0.106139,0.390985,-57.6976,635.802,141.038
69,0,1.32476,0.10547,0.395133,-57.6082,640.762,137.04
70,0,1.32669,0.105995,0.392695,-57.1682,646.022,134.257
71,0,1.32454,0.104278,0.393341,-57.0738,649.764,131.561
72,0,1.33431,0.0996875,0.394443,-56.8496,653.414,130.043
73,0,1.33731,0.0996678,0.391397,-56.5472,656.725,129.508
74,0,1.33995,0.0976672,0.394401,-55.9718,660.013,130.134
75,0,1.34232,0.099309,0.390529,-55.8422,661.844,130.923
76,0,1.3462,0.0999086,0.391569,-54.9365,664.881,133.711
77,0,1.34134,0.0990167,0.391709,-54.8361,665.669,135.393
78,0,1.33819,0.100161,0.392504,-53.9388,668.023,139.392
79,0,1.34048,0.0994492,0.394814,-53.3039,669.279,143.567
80,0,1.33726,0.0984847,0.393489,-53.1246,669.516,147.643
81,0,1.33689,0.0991447,0.395784,-52.5798,669.967,152.606
82,0,1.33983,0.101861,0.391724,-52.0872,669.744,157.508
83,0,1.33722,0.101816,0.39432,-51.425,669.584,162.707
84,0,1.3307,0.105204,0.395043,-50.4555,669.464,168.609
85,0,1.33231,0.106141,0.396302,-49.6421,668.763,174.272
86,0,1.32333,0.110655,0.395371,-48.3823,668.329,180.546
87,0,1.31554,0.111514,0.397312,-47.6046,666.554,185.631
88,0,1.31169,0.112521,0.398393,-46.4579,665.199,190.96
89,0,1.31038,0.112896,0.39891,-45.416,663.075,195.935
90,0,1.3063,0.11013,0.396907,-44.4955,660.804,200.519
91,0,1.30755,0.109022,0.400582,-43.8431,657.486,204.487
92,0,1.3102,0.105876,0.401485,-42.8325,654.455,208.613
93,0,1.3114,0.105411,0.400602,-41.998,650.787,212.465
94,0,1.31201,0.104258,0.403372,-41.2549,646.651,215.694
95,0,1.30677,0.103901,0.402482,-40.4991,642.51,218.852
96,0,1.30506,0.103505,0.401748,-39.7692,638.253,221.718
97,0,1.30282,0.10558,0.400363,-38.9012,633.994,224.351
98,0,1.30382,0.105733,0.403861,-38.2113,629.41,226.579
99,0,1.2981,0.108768,0.4017,-37.8025,624.308,228.328
100,0,1.30211,0.107703,0.400835,-37.3493,619.155,230.125
101,0,1.30658,0.106242,0.400222,-37.0311,613.768,231.713
102,0,1.30553,0.106435,0.39743,-36.5118,608.445,233.401
103,0,1.30055,0.106125,0.400045,-36.0992,603.055,235.213
104,0,1.2959,0.108709,0.40049,-35.6923,597.076,236.21
105,0,1.30037,0.110323,0.400986,-35.1412,591.557,237.538
106,0,1.29341,0.111135,0.397805,-34.669,585.815,238.304
107,0,1.29518,0.110324,0.398679,-34.2869,579.552,238.472
108,0,1.296,0.109137,0.39875,-33.7189,573.87,238.868
109,0,1.29816,0.106555,0.399756,-33.5531,567.382,238.509
110,0,1.29468,0.104583,0.400845,-33.1574,561.26,238.32
111,0,1.29359,0.104596,0.401743,-32.4998,555.623,238.424
112,0,1.2968,0.105049,0.399966,-32.5109,548.448,237.336
113,0,1.29823,0.10603,0.399672,-32.0805,542.342,237.088
114,0,1.29718,0.107148,0.399705,-31.3315,537.141,237.554
115,0,1.29219,0.10763,0.40014,-31.1545,530.825,237.106
116,0,1.29046,0.110084,0.397079,-30.9915,524.593,236.496
117,0,1.29158,0.112143,0.398165,-30.6215,518.648,235.851
118,0,1.28727,0.110764,0.403186,-30.0832,513.225,235.337
119,0,1.28553,0.108052,0.402019,-30.4206,506.377,233.424
120,0,1.2868,0.106955,0.403716,-30.2287,500.715,232.436
121,0,1.2885,0.105792,0.402374,-30.1643,495.015,231.244
122,0,1.28637,0.106612,0.402033,-29.9495,489.904,230.396
123,0,1.29539,0.107702,0.401864,-29.7904,485.032,229.609
124,0,1.29032,0.106331,0.401415,-30.084,479.309,227.802
125,0,1.28651,0.107884,0.400515,-30.0363,474.238,226.524
126,0,1.2835,0.105933,0.404303,-30.2851,469.206,224.747
127,0,1.27821,0.105452,0.404686,-30.4928,464.244,222.999
128,0,1.27429,0.105903,0.408378,-30.8642,459.273,220.904
129,0,1.27076,0.10678,0.404364,-31.1065,454.784,218.997
130,0,1.27882,0.110412,0.401698,-31.1559,450.98,217.737
131,0,1.27991,0.108818,0.406643,-31.9034,445.722,215.086
132,0,1.28612,0.104999,0.405274,-32.415,441.848,213.568
133,0,1.28845,0.100453,0.404162,-33.3022,437.527,211.753
134,0,1.27946,0.0987466,0.40247,-34.6379,432.074,209.156
135,0,1.27311,0.0972284,0.403426,-35.5165,428.248,207.743
136,0,1.27227,0.0958231,0.407191,-36.1682,425.384,206.982
137,0,1.27337,0.0972257,0.404655,-37.5155,421.598,205.562
138,0,1.26711,0.097493,0.407613,-39.6769,416.008,202.755
139,0,1.2688,0.10044,0.404616,-41.2004,412.782,201.626
140,0,1.27234,0.102652,0.400649,-43.477,408.196,199.488
141,0,1.26658,0.10417,0.398863,-45.5045,404.389,197.884
142,0,1.27424,0.107107,0.397158,-47.9144,399.995,195.67
143,0,1.27025,0.108064,0.396297,-50.0661,396.556,194.156
144,0,1.27615,0.107996,0.395093,-52.3746,392.667,192.188
145,0,1.27019,0.109185,0.395192,-54.7495,388.994,190.425
146,0,1.27398,0.109553,0.3951,-56.8953,386.202,189.295
147,0,1.27063,0.107176,0.398706,-59.7322,381.844,186.824
148,0,1.27648,0.108141,0.39518,-61.8949,379.352,185.924
149,0,1.27443,0.108223,0.395992,-64.9611,375.093,183.453
150,0,1.2774,0.107694,0.393156,-67.2448,372.816,182.463
151,0,1.27561,0.108397,0.394918,-70.3038,368.989,180.155
152,0,1.27752,0.110301,0.389935,-72.5001,367.498,179.504
153,0,1.28275,0.110471,0.389375,-75.2044,365.041,178.01
154,0,1.28001,0.109426,0.388202,-77.9256,362.807,176.511
155,0,1.28028,0.109074,0.392791,-80.8367,360.159,174.477
156,0,1.28764,0.110136,0.388189,-82.3639,360.873,174.929
157,0,1.28014,0.110115,0.390996,-85.071,359.049,173.416
158,0,1.26879,0.110225,0.397812,-87.9816,356.299,171.3
159,0,1.26316,0.118043,0.389231,-90.0436,355.682,170.928
160,0,1.26292,0.122119,0.39115,-91.7472,355.509,170.948
161,0,1.25493,0.127814,0.386602,-93.7915,354.347,170.288
162,0,1.25315,0.130327,0.387506,-95.9427,352.738,169.542
163,0,1.25623,0.130208,0.387503,-97.8044,351.543,169.571
164,0,1.25234,0.130444,0.388769,-98.6094,352.043,171.178
165,0,1.2456,0.133411,0.388604,-100.106,350.407,171.757
166,0,1.23746,0.132846,0.390364,-101.044,349.614,173.369
167,0,1.23638,0.131888,0.391682,-102.423,347.838,174.632
168,0,1.23701,0.132057,0.39567,-102.886,347.235,177.198
169,0,1.23462,0.13403,0.392554,-103.183,346.564,180.087
170,0,1.23278,0.134096,0.39321,-103.703,344.737,182.272
171,0,1.23607,0.134099,0.393153,-103.699,343.945,185.512
172,0,1.23994,0.134887,0.389871,-103.467,343.069,188.859
173,0,1.23382,0.132304,0.393685,-103.736,340.845,191.29
174,0,1.23461,0.130464,0.393079,-103.334,339.939,194.898
175,0,1.23873,0.130561,0.392557,-102.485,339.703,198.915
176,0,1.23677,0.129811,0.390616,-101.929,338.349,201.964
177,0,1.23796,0.12911,0.389243,-101.226,337.189,205.048
178,0,1.23261,0.126039,0.393303,-100.697,335.239,207.348
179,0,1.23678,0.124015,0.397186,-99.4948,334.599,210.689
180,0,1.23952,0.12564,0.390626,-98.0665,334.426,214.198
181,0,1.23934,0.123387,0.39176,-97.213,332.775,216.351
182,0,1.23716,0.122637,0.391346,-95.8938,331.883,218.811
183,0,1.23949,0.122864,0.39191,-93.7609,332.543,222.109
