Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,2.92542,0.2223,-0.59009,-51.5421,260.615,842.391
2,0,2.92354,0.214198,-0.590333,-51.2081,259.2,841.963
3,0,2.92319,0.207074,-0.589156,-50.8709,257.99,841.46
4,0,2.92361,0.214227,-0.589301,-51.068,257.387,841.084
5,0,2.92324,0.214604,-0.589401,-51.0207,256.51,840.66
6,0,2.92622,0.20212,-0.586211,-50.0614,254.948,840.14
7,0,2.48786,-1.041,-0.238594,-54.9875,203.907,859.645
8,0,2.49496,-1.04376,-0.236744,-54.8921,203.015,859.198
9,0,2.48669,-1.0413,-0.239704,-54.8114,202.074,858.686
10,0,2.48639,-1.04262,-0.24002,-54.6865,200.941,857.977
11,0,2.49416,-1.04421,-0.237334,-54.5256,200.114,857.304
12,0,2.49062,-1.04273,-0.238346,-54.548,199.088,856.671
13,0,2.49059,-1.04693,-0.236834,-54.203,197.889,855.773
14,0,2.49007,-1.04393,-0.241411,-53.9312,197.094,854.799
15,0,2.48346,-1.0374,-0.247112,-54.2175,196.142,854.086
16,0,2.49221,-1.04141,-0.238406,-53.7157,194.888,852.687
17,0,2.48393,-1.04149,-0.239444,-53.5857,194.074,851.452
18,0,2.48536,-1.03772,-0.244135,-53.3452,193.007,849.972
19,0,-0.0710987,0.0774686,-2.94231,-28.6557,212.74,859.691
20,0,-0.0690606,0.0687531,-2.94022,-28.2959,211.751,858.018
21,0,-0.0701422,0.0779987,-2.94264,-28.1408,210.562,856.977
22,0,-0.0694383,0.0732542,-2.94603,-27.7942,209.361,855.181
23,0,-0.0716075,0.0720844,-2.94466,-27.8946,208.167,853.955
24,0,-0.0694742,0.0672621,-2.94204,-27.4833,207.316,852.311
25,0,-0.0744691,0.0816687,-2.93834,-27.1436,206.614,851.102
26,0,-0.0747834,0.0748607,-2.93635,-27.0264,205.477,849.408
27,0,-0.0736544,0.11375,-2.93348,-26.8642,204.601,848.169
28,0,-0.0760247,0.104461,-2.92988,-26.5552,203.521,846.715
29,0,-0.0789136,0.0823558,-2.93702,-26.5986,201.946,845.434
30,0,-0.0792768,0.073259,-2.936,-26.2075,201.064,843.906
31,0,-0.0756853,0.134004,-2.93851,-26.0048,200.057,842.641
32,0,-0.0758396,0.135562,-2.9364,-25.6184,199.059,841.265
33,0,-0.0805274,0.112222,-2.93349,-25.4038,197.885,839.934
34,0,-0.0789539,0.0802156,-2.93143,-25.1073,196.758,838.681
35,0,-0.0821673,0.0962343,-2.93039,-24.5277,195.878,837.419
36,0,-0.0798866,0.10051,-2.93546,-24.5368,194.391,836.128
37,0,-0.0808909,0.104833,-2.93894,-24.1861,193.273,834.786
38,0,-0.0789919,0.124017,-2.93574,-23.805,192.426,833.576
39,0,-0.08258,0.108917,-2.92897,-23.1921,191.552,832.467
40,0,-0.0867298,0.097686,-2.93106,-22.8945,190.417,831.365
41,0,-0.0846189,0.0812276,-2.93688,-22.8812,188.875,830.11
42,0,-0.0796733,0.0871585,-2.93618,-22.655,187.803,829.419
43,0,-0.0797971,0.0958626,-2.93498,-22.1885,186.967,828.511
44,0,-0.0803439,0.137661,-2.93963,-21.9573,185.885,827.488
45,0,-0.0824016,0.135069,-2.93942,-21.6144,184.953,826.726
46,0,-0.0798396,0.121066,-2.93473,-21.3413,183.77,826.156
47,0,-0.0831081,0.0863354,-2.93638,-21.2643,182.624,825.52
48,0,-0.0868567,0.0817125,-2.93674,-20.9298,181.675,824.906
49,0,-0.0854849,0.0840478,-2.93518,-20.6897,180.777,824.474
50,0,-0.0845181,0.084086,-2.93304,-20.3876,179.911,823.888
51,0,-0.0816327,0.0893871,-2.93278,-20.0418,179.104,823.192
52,0,-0.0852223,0.0783907,-2.93673,-20.0998,177.734,822.588
53,0,-0.0879835,0.0792347,-2.93614,-19.7714,176.782,822.06
54,0,-0.0866299,0.0894899,-2.93497,-19.6307,176.033,821.65
55,0,-0.0839765,0.10356,-2.93455,-19.5549,175.14,821.063
56,0,-0.0872677,0.106523,-2.93485,-19.244,174.295,820.338
57,0,-0.0879146,0.11394,-2.93473,-19.1109,173.333,819.83
58,0,-0.0856782,0.101886,-2.93864,-19.082,172.394,819.505
59,0,-0.0802813,0.106986,-2.94208,-19.2762,171.272,819.203
60,0,-0.0771795,0.106037,-2.93937,-19.3273,170.403,819.087
61,0,-0.0791012,0.0977177,-2.93587,-19.0514,169.749,818.923
