Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-1.17302,-0.622241,-0.867679,-146.562,49.0671,783.352
2,0,-1.1806,-0.628788,-0.864088,-146.411,49.0935,782.307
3,0,-1.17729,-0.630538,-0.861488,-145.968,48.7368,781.154
4,0,-1.17842,-0.626488,-0.864112,-146.09,48.6194,779.795
5,0,-1.17519,-0.627468,-0.865423,-145.682,48.5427,778.328
6,0,-1.17721,-0.629293,-0.861986,-145.459,48.2555,776.872
7,0,-1.05943,-0.241572,-1.13395,-147.984,27.0357,765.652
8,0,-1.06453,-0.243707,-1.13306,-148.008,27.1266,764.129
9,0,-1.05722,-0.239374,-1.13542,-147.701,26.5793,762.166
10,0,-1.05834,-0.237315,-1.13017,-147.528,26.7127,760.101
11,0,-1.05782,-0.240368,-1.13291,-147.273,26.3343,758.417
12,0,-1.05703,-0.236967,-1.12921,-146.999,26.0953,756.349
13,0,-1.05587,-0.236745,-1.13166,-146.846,25.8526,754.448
14,0,-1.05772,-0.235717,-1.12726,-146.618,25.7079,752.33
15,0,-1.05746,-0.234574,-1.12855,-146.512,25.8011,750.38
16,0,-1.05553,-0.234308,-1.12884,-146.328,25.5593,748.538
17,0,-1.05852,-0.234419,-1.12526,-146.082,25.6712,746.579
18,0,-1.05762,-0.235775,-1.12556,-146.066,25.5644,744.817
19,0,-1.05488,-0.23035,-1.12418,-145.645,25.2147,743.05
20,0,-1.0591,-0.233824,-1.12753,-145.875,25.7437,741.385
21,0,-1.05104,-0.228041,-1.12784,-145.424,25.0557,739.916
22,0,-1.05389,-0.230449,-1.12522,-145.306,25.0061,738.775
23,0,-1.05577,-0.232445,-1.12541,-145.336,25.2921,737.436
24,0,-1.05521,-0.230599,-1.12579,-144.904,25.1425,736.326
25,0,-1.05195,-0.230249,-1.12585,-144.773,24.7991,735.434
26,0,-1.05281,-0.230287,-1.12466,-144.669,24.8476,734.581
27,0,-1.05293,-0.230337,-1.12228,-144.401,24.8485,733.654
28,0,-1.05188,-0.228886,-1.12318,-144.166,24.7505,733.002
29,0,-1.05534,-0.231491,-1.12394,-144.02,24.8927,732.643
30,0,-1.0554,-0.231472,-1.12381,-143.841,24.7899,732.385
31,0,-1.05829,-0.233157,-1.1223,-143.695,24.761,732.232
32,0,-1.05676,-0.232341,-1.12443,-143.605,24.746,731.997
33,0,-1.05546,-0.231367,-1.12516,-143.465,24.7247,731.944
34,0,-1.057,-0.232801,-1.12487,-143.326,24.6865,732.044
35,0,-1.05548,-0.231816,-1.12601,-143.162,24.5732,732.232
36,0,-1.05615,-0.232549,-1.1246,-143.07,24.4209,732.558
37,0,-1.05551,-0.231884,-1.12427,-142.993,24.3497,732.854
38,0,-1.05473,-0.231641,-1.12343,-142.93,24.2603,733.257
39,0,-1.053,-0.230211,-1.12287,-142.765,24.0552,733.851
40,0,-1.04798,-0.226454,-1.1278,-142.616,23.8153,734.582
41,0,-1.05025,-0.228032,-1.12881,-142.589,23.8186,735.561
42,0,-1.0533,-0.229154,-1.12779,-142.672,23.9253,736.371
43,0,-1.05281,-0.229342,-1.12509,-142.548,23.7759,737.415
44,0,-1.04848,-0.227322,-1.1281,-142.356,23.4405,738.77
45,0,-1.05374,-0.231092,-1.12696,-142.63,23.8269,740.115
46,0,-1.05065,-0.229626,-1.12728,-142.507,23.5212,741.571
47,0,-1.04533,-0.227656,-1.13195,-142.626,23.4415,743.233
48,0,-1.05367,-0.232341,-1.1286,-142.717,23.5169,744.896
49,0,-1.0526,-0.231677,-1.12854,-142.774,23.334,746.703
50,0,-1.05108,-0.230533,-1.13054,-142.746,23.1491,748.556
51,0,-1.05324,-0.232234,-1.12967,-142.967,23.2761,750.472
52,0,-1.04852,-0.229293,-1.13167,-142.792,23.0204,752.55
53,0,-1.058,-0.237028,-1.12819,-143.129,23.5145,754.774
54,0,-1.05469,-0.234991,-1.13142,-143.158,23.2498,757.134
55,0,-1.05714,-0.236807,-1.12916,-143.239,23.2244,759.335
