Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,3.11843,1.57647,-0.205815,-136.159,238.822,721.882
2,0,3.12258,1.57272,-0.205669,-135.763,240.854,719.618
3,0,3.12276,1.57489,-0.202497,-135.203,242.738,717.423
4,0,3.123,1.56941,-0.2049,-135.131,244.207,715.285
5,0,3.12537,1.56946,-0.20165,-134.582,245.531,713.074
6,0,3.12378,1.56888,-0.204829,-134.685,246.732,710.804
7,0,3.1246,1.56928,-0.1992,-134.321,247.898,708.754
8,0,3.12018,1.57371,-0.202268,-134.237,248.666,706.55
9,0,3.12396,1.5721,-0.199294,-133.425,249.582,704.759
10,0,0.0792871,0.214587,-1.84837,-130.667,249.301,702.203
11,0,0.0822019,0.219176,-1.85417,-130.523,249.273,699.926
12,0,0.0797119,0.217042,-1.85331,-130.267,249.594,697.971
13,0,1.35464,-2.70779,-0.109363,-133.488,250.835,697.076
14,0,1.3526,-2.70726,-0.109113,-133.124,250.821,694.978
15,0,1.35434,-2.70831,-0.109261,-132.862,250.719,692.863
16,0,1.35385,-2.7076,-0.111855,-132.545,250.535,690.755
17,0,1.35719,-2.70532,-0.109001,-132.274,250.137,688.548
18,0,1.35373,-2.7056,-0.110571,-131.997,249.761,686.564
19,0,1.35205,-2.70624,-0.112072,-131.564,249.304,684.422
20,0,1.35176,-2.70623,-0.111364,-131.377,248.681,682.335
21,0,1.35334,-2.70781,-0.114846,-130.91,248.11,680.227
22,0,1.35502,-2.70678,-0.112146,-130.647,247.283,677.926
23,0,1.35374,-2.70879,-0.120028,-130.016,246.691,675.732
24,0,1.35059,-2.70891,-0.119015,-129.862,245.796,673.48
25,0,1.35488,-2.70749,-0.117638,-129.492,244.893,671.031
26,0,1.35167,-2.70834,-0.117006,-129.194,243.875,668.752
27,0,1.35464,-2.70953,-0.124545,-128.602,243.086,666.39
28,0,1.35134,-2.70999,-0.11855,-128.671,241.763,664.062
29,0,1.35115,-2.70997,-0.120278,-128.372,240.588,661.735
30,0,1.35298,-2.71028,-0.120007,-128.221,239.425,659.453
31,0,1.35491,-2.70887,-0.122351,-127.762,238.379,657.29
32,0,1.34816,-2.70994,-0.121587,-127.635,236.883,655.119
33,0,1.35266,-2.70838,-0.119116,-127.519,235.598,652.903
34,0,1.34882,-2.71135,-0.125016,-127.158,234.381,650.701
35,0,1.35299,-2.70801,-0.122388,-126.998,232.987,648.285
36,0,1.35257,-2.70849,-0.118953,-126.904,231.446,645.954
37,0,1.35004,-2.71185,-0.124825,-126.73,230.029,643.579
38,0,1.34977,-2.71098,-0.121321,-126.698,228.459,641.166
39,0,1.35197,-2.70846,-0.121886,-126.37,226.925,638.701
40,0,1.35437,-2.70887,-0.119631,-126.242,225.332,636.371
41,0,1.34603,-2.71039,-0.12098,-126.253,223.72,634.032
42,0,1.34772,-2.71094,-0.120844,-126.051,222.043,631.512
43,0,1.35096,-2.70902,-0.124635,-125.717,220.538,628.952
44,0,1.34724,-2.70878,-0.117998,-126.039,218.545,626.414
45,0,1.34818,-2.71111,-0.121591,-125.612,216.98,623.919
46,0,1.34604,-2.71165,-0.122866,-125.57,215.221,621.291
47,0,1.35059,-2.70904,-0.122642,-125.245,213.698,618.652
48,0,1.34614,-2.71089,-0.121891,-125.256,211.74,615.938
49,0,1.35222,-2.70904,-0.117826,-125.365,209.873,613.106
50,0,1.34717,-2.71144,-0.121462,-125.135,208.171,610.532
51,0,1.34568,-2.71287,-0.121244,-125.105,206.213,607.777
52,0,3.45364,0.164948,0.362774,-71.9447,254.574,595.527
53,0,3.45339,0.168888,0.360516,-71.9685,252.662,592.784
54,0,3.4603,0.147179,0.352973,-71.2106,250.319,590.194
55,0,3.45989,0.146726,0.351229,-71.1321,248.497,587.735
56,0,3.45807,0.144545,0.351082,-70.9609,246.491,585.367
57,0,3.46493,0.138253,0.343259,-70.7337,244.512,582.854
58,0,3.45849,0.139439,0.347666,-70.7335,242.577,580.749
59,0,3.46274,0.137249,0.342521,-70.498,240.666,578.431
60,0,3.46087,0.135341,0.347301,-70.541,238.621,576.457
61,0,3.45591,0.142264,0.345851,-70.5432,236.777,574.42
62,0,3.4602,0.136255,0.350162,-70.5741,234.787,572.517
63,0,3.45428,0.140688,0.355844,-70.456,232.975,571.065
64,0,3.4564,0.141984,0.342422,-70.5449,231.095,568.895
65,0,3.45839,0.137118,0.347295,-70.7246,229.191,567.249
66,0,3.45263,0.141875,0.352424,-70.7824,227.527,565.931
67,0,3.45337,0.142375,0.345548,-70.8034,225.99,564.345
68,0,3.45454,0.137111,0.35694,-71.0964,224.085,563.025
69,0,3.45193,0.141739,0.354651,-71.1164,222.618,561.841
70,0,3.45216,0.144173,0.34813,-71.1777,221.129,560.399
71,0,3.4553,0.139591,0.345013,-71.4994,219.5,558.956
72,0,3.45342,0.140098,0.3456,-71.7194,218.088,557.877
73,0,3.45256,0.138435,0.350705,-71.8054,216.891,556.91
74,0,3.45172,0.141179,0.352594,-71.8731,215.689,555.844
75,0,3.45192,0.139749,0.356091,-72.0372,214.377,554.794
76,0,3.45117,0.14106,0.353558,-72.1613,213.267,553.782
77,0,3.45078,0.138854,0.3551,-72.2618,212.31,552.898
78,0,3.45201,0.140462,0.351242,-72.2029,211.44,551.779
79,0,3.45284,0.140851,0.350578,-72.225,210.518,550.48
80,0,3.45338,0.137672,0.351125,-72.4102,209.515,548.872
81,0,3.45124,0.137634,0.3583,-72.3576,208.723,547.223
82,0,3.45112,0.142074,0.348914,-72.3396,207.928,545.244
83,0,3.45205,0.140329,0.350609,-72.212,207.404,544.247
84,0,3.44944,0.143643,0.347981,-72.119,206.941,544.807
85,0,3.45242,0.139605,0.354009,-72.2824,206.487,547.389
86,0,3.45324,0.142666,0.348468,-72.4486,206.218,552.782
87,0,3.45298,0.141517,0.3505,-72.9164,205.944,561.787
88,0,3.45251,0.14226,0.358156,-73.3754,205.957,574.584
89,0,3.45173,0.140585,0.352143,-74.1738,206.205,591.489
90,0,3.45149,0.141231,0.353178,-75.0973,206.512,612.273
91,0,3.45281,0.143549,0.348941,-76.0606,206.907,636.869
92,0,3.45165,0.147771,0.351383,-77.2267,207.462,665.34
93,0,3.45097,0.148454,0.355891,-78.4769,208.085,697.024
94,0,3.45133,0.151665,0.356578,-79.8589,208.788,731.125
95,0,3.4527,0.155956,0.355519,-81.2451,209.484,767.244
96,0,3.4541,0.154116,0.352884,-82.6976,210.423,804.825
97,0,3.45401,0.159014,0.353592,-84.2241,211.384,843.503
98,0,3.45404,0.160164,0.35761,-85.8538,212.023,882.64
99,0,3.45659,0.155844,0.356387,-87.6544,212.532,921.793
100,0,3.13841,1.49957,-0.238884,-146.486,169.801,971.544
101,0,3.13601,1.50273,-0.237188,-147.64,169.65,1010.54
102,0,3.13989,1.50723,-0.234836,-148.243,169.08,1049.69
103,0,3.13178,1.50537,-0.236704,-151.026,171.314,1088.93
104,0,3.13327,1.51072,-0.23494,-151.141,169.558,1127.52
105,0,3.13094,1.51343,-0.234667,-152.753,170.032,1166.43
106,0,3.12929,1.5156,-0.235372,-154.525,170.627,1205.34
107,0,3.12845,1.51282,-0.237111,-155.866,170.46,1244.09
108,0,3.12722,1.51281,-0.24124,-157.509,170.806,1282.86
109,0,0.331461,0.445205,-0.578059,-182.948,274.5,1337.4
110,0,0.328571,0.441925,-0.577346,-184.667,275.048,1375.38
111,0,0.32474,0.438477,-0.575864,-186.453,275.407,1411.71
112,0,0.325059,0.442148,-0.572701,-187.833,275.56,1445.14
113,0,0.318877,0.435118,-0.569107,-189.088,275.554,1474.79
114,0,0.323041,0.442916,-0.56202,-190,275.471,1500.77
115,0,0.319596,0.444708,-0.555558,-190.533,275.308,1522.57
116,0,0.3202,0.450468,-0.546852,-190.829,275.016,1540.89
117,0,0.309191,0.451043,-0.542075,-190.641,274.584,1555.42
118,0,0.308149,0.45593,-0.533244,-190.542,274.009,1567.82
119,0,0.328977,0.510225,-0.529063,-190.149,271.937,1577.71
120,0,0.318822,0.504701,-0.514659,-189.442,271.634,1586.11
121,0,0.316827,0.511679,-0.503265,-189.121,270.379,1592.53
122,0,0.311082,0.510258,-0.488177,-188.59,269.234,1597.42
123,0,0.316067,0.537813,-0.476862,-188.365,267.073,1600.82
124,0,-0.0286084,0.163752,-0.136888,-242.648,250.569,1561.91
125,0,-0.021812,0.186984,-0.142817,-240.537,248.846,1563.43
126,0,0.0217007,0.223773,-0.181313,-235.751,240.574,1565.15
127,0,0.0505129,0.250202,-0.213752,-231.448,234.209,1565.1
128,0,0.0954485,0.280994,-0.262452,-226.247,224.896,1564.26
129,0,0.132198,0.313939,-0.297252,-221.659,217.825,1562.54
130,0,0.16901,0.341163,-0.330763,-216.652,210.847,1560.23
131,0,0.216841,0.37582,-0.37018,-211.188,202.685,1557.59
132,0,0.253296,0.38463,-0.405397,-205.645,194.562,1554.2
133,0,0.220292,0.340444,-0.378194,-202.895,195.923,1550.01
134,0,0.188759,0.327922,-0.336742,-200.823,199.221,1544.95
135,0,0.15954,0.31452,-0.299255,-198.474,202.122,1540.23
136,0,0.126808,0.295588,-0.256711,-196.152,205.862,1535.39
137,0,0.0889099,0.267788,-0.205999,-193.973,210.687,1530.81
138,0,0.0847452,0.269886,-0.192593,-190.464,209.906,1526.89
139,0,0.059938,0.252899,-0.154777,-187.921,212.732,1523
140,0,0.0265282,0.211753,-0.109346,-185.414,216.118,1519.04
141,0,0.00530098,0.193122,-0.073637,-182.999,218.262,1515.56
142,0,-0.0121679,0.175381,-0.0426158,-180.889,219.95,1512.39
143,0,-0.0253734,0.157899,-0.0185894,-179.126,220.67,1509.36
144,0,-0.0333651,0.149125,-0.00183713,-177.673,220.135,1506.67
145,0,-0.0398451,0.139232,0.0124003,-176.61,219.042,1504.25
146,0,-0.0436861,0.133021,0.0207663,-175.698,217.315,1502.17
147,0,-0.0468115,0.126637,0.0252124,-175.333,214.822,1500.18
148,0,-0.0444523,0.128942,0.0243329,-175.277,211.001,1498.54
