potX,potY,potZ,potRot,duration
80,80,64,80,5
80,83,64,80,5
79,85,64,80,5
78,88,64,80,5
76,90,64,80,5
74,92,64,80,5
72,94,64,80,5
69,95,64,80,5
67,96,64,80,5
64,96,64,80,5
61,96,64,80,5
59,95,64,80,5
56,94,64,80,5
54,92,64,80,5
52,90,64,80,5
50,88,64,80,5
49,85,64,80,5
48,83,64,80,5
48,80,64,80,5
48,77,64,80,5
49,75,64,80,5
50,72,64,80,5
52,70,64,80,5
54,68,64,80,5
56,66,64,80,5
59,65,64,80,5
61,64,64,80,5
64,64,64,80,5
67,64,64,80,5
69,65,64,80,5
72,66,64,80,5
74,68,64,80,5
76,70,64,80,5
78,72,64,80,5
79,75,64,80,5
80,77,64,80,5
