potX,potY,potZ,potRot,duration
94,64,64,80,30
93,69,64,80,30
92,74,64,80,30
89,79,64,80,30
86,83,64,80,30
82,87,64,80,30
78,90,64,80,30
73,92,64,80,30
68,93,64,80,30
63,93,64,80,30
58,93,64,80,30
53,91,64,80,30
48,89,64,80,30
44,85,64,80,30
40,81,64,80,30
37,77,64,80,30
36,71,64,80,30
35,66,64,80,30
35,62,64,80,30
36,57,64,80,30
37,51,64,80,30
40,47,64,80,30
44,43,64,80,30
48,39,64,80,30
53,37,64,80,30
58,35,64,80,30
63,35,64,80,30
68,35,64,80,30
73,36,64,80,30
78,38,64,80,30
82,41,64,80,30
86,45,64,80,30
89,49,64,80,30
92,54,64,80,30
93,59,64,80,30
94,64,64,80,30
