potX,potY,potZ,potRot,duration
104,64,64,80,30
103,67,64,80,30
101,71,64,80,30
98,74,64,80,30
94,77,64,80,30
88,79,64,80,30
82,81,64,80,30
76,83,64,80,30
69,83,64,80,30
63,83,64,80,30
56,83,64,80,30
49,82,64,80,30
42,80,64,80,30
37,78,64,80,30
32,75,64,80,30
28,72,64,80,30
26,69,64,80,30
25,65,64,80,30
25,63,64,80,30
26,59,64,80,30
28,56,64,80,30
32,53,64,80,30
37,50,64,80,30
42,48,64,80,30
49,46,64,80,30
56,45,64,80,30
63,45,64,80,30
69,45,64,80,30
76,45,64,80,30
82,47,64,80,30
88,49,64,80,30
94,51,64,80,30
98,54,64,80,30
101,57,64,80,30
103,61,64,80,30
104,64,64,80,30
