potX,potY,potZ,potRot,duration
64,64,64,80,30
68,64,64,80,30
72,64,64,80,30
76,64,64,80,30
80,64,64,80,30
84,64,64,80,30
88,64,64,80,30
92,64,64,80,30
96,64,64,80,30
96,68,64,80,30
96,72,64,80,30
96,76,64,80,30
96,80,64,80,30
96,84,64,80,30
96,88,64,80,30
96,92,64,80,30
96,96,64,80,30
92,96,64,80,30
88,96,64,80,30
84,96,64,80,30
80,96,64,80,30
76,96,64,80,30
72,96,64,80,30
68,96,64,80,30
64,96,64,80,30
64,92,64,80,30
64,88,64,80,30
64,84,64,80,30
64,80,64,80,30
64,76,64,80,30
64,72,64,80,30
64,68,64,80,30
