// used to be 10 frames but will crash the drone so 3 frames for testing
potX,potY,potZ,potRot,duration
104,64,64,80,3
103,67,64,80,3
101,71,64,80,3
98,74,64,80,3
94,77,64,80,3
88,79,64,80,3
82,81,64,80,3
76,83,64,80,3
69,83,64,80,3
63,83,64,80,3
56,83,64,80,3
49,82,64,80,3
42,80,64,80,3
37,78,64,80,3
32,75,64,80,3
28,72,64,80,3
26,69,64,80,3
25,65,64,80,3
25,63,64,80,3
26,59,64,80,3
28,56,64,80,3
32,53,64,80,3
37,50,64,80,3
42,48,64,80,3
49,46,64,80,3
56,45,64,80,3
63,45,64,80,3
69,45,64,80,3
76,45,64,80,3
82,47,64,80,3
88,49,64,80,3
94,51,64,80,3
98,54,64,80,3
101,57,64,80,3
103,61,64,80,3
104,64,64,80,3
