potX,potY,potZ,potRot,duration
104,64,64,80,5
103,67,64,80,5
101,71,64,80,5
98,74,64,80,5
94,77,64,80,5
88,79,64,80,5
82,81,64,80,5
76,83,64,80,5
69,83,64,80,5
63,83,64,80,5
56,83,64,80,5
49,82,64,80,5
42,80,64,80,5
37,78,64,80,5
32,75,64,80,5
28,72,64,80,5
26,69,64,80,5
25,65,64,80,5
25,63,64,80,5
26,59,64,80,5
28,56,64,80,5
32,53,64,80,5
37,50,64,80,5
42,48,64,80,5
49,46,64,80,5
56,45,64,80,5
63,45,64,80,5
69,45,64,80,5
76,45,64,80,5
82,47,64,80,5
88,49,64,80,5
94,51,64,80,5
98,54,64,80,5
101,57,64,80,5
103,61,64,80,5
104,64,64,80,5
