Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.0034639496834022484,-0.002047305704285278,-0.0076998461069831235,137.62080866191502,0.0,-0.02986397832651904,64.0,95.0,64.0,64.0
1,0.0020380538687352684,0.008059438051521307,0.003932410480119876,138.45831318510437,0.0,2.5900015262535345,64.0,95.0,64.0,64.0
2,-0.0029422773807290387,0.0007712462789824297,0.0019489074666771352,138.72604633225595,0.0,4.556966109072885,64.0,95.0,64.0,64.0
3,0.00808349004067707,0.0020272455430459463,0.0030886917972069044,138.53970448434038,0.0,8.141799231123489,64.0,95.0,64.0,64.0
4,-0.007855110370373376,0.001608557898437835,-0.00037608631364668797,138.88540667480265,0.0,9.998624156172825,64.0,95.0,64.0,64.0
5,-0.002670142941965065,-0.00035115345169325977,0.000190505664936859,138.4428478378394,0.0,13.520905846695777,64.0,95.0,64.0,64.0
6,-0.004313132033585771,0.0027640660123069813,0.0016950242751929588,137.48499969705517,0.0,16.12921675851423,64.0,95.0,64.0,64.0
7,-0.007739155082961321,0.0011017411744143333,0.002427362501339151,137.51839118387292,0.0,18.65620319756422,64.0,95.0,64.0,64.0
8,-0.004084308275363554,0.006984416334775488,-0.007368484976337946,136.63840103798785,0.0,21.101307537804402,64.0,95.0,64.0,64.0
9,-0.011272380503865101,0.0011197829038767215,-0.0019106799290511695,137.19053199472654,0.0,23.966990950599484,64.0,95.0,64.0,64.0
10,-0.00751876756687867,0.006994858027074526,-0.004593477618124487,136.1846807193817,0.0,26.665745633637066,64.0,95.0,64.0,64.0
11,-0.0013570185315591938,0.008347185699928617,0.00042524481434422885,135.45221444707641,0.0,29.80514488753806,64.0,95.0,64.0,64.0
12,0.011325477074789663,-0.010357510216307259,-0.006478379857084951,134.7835787265798,0.0,32.51348363560843,64.0,95.0,64.0,64.0
13,0.0031142189162050742,0.004791597832858758,0.0005068699978644789,134.3412787676992,0.0,34.73601601935819,64.0,95.0,64.0,64.0
