Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.006170865487677813,0.0004005566264595715,7.701508875907731e-05,-0.28386310342153276,-0.30599728522051367,0.0,66.0,64.0,99.0,100.0
1,0.0002930629394167375,-0.0076596308594614965,0.013117843555787666,2.230618138497799,2.4066842283648198,0.0,66.0,64.0,99.0,100.0
2,-0.004704173335921388,-0.0003397991475666042,0.0036632231338300488,4.280549251658744,4.588790110186652,0.0,66.0,64.0,99.0,100.0
3,-0.0008082701668787444,-0.004716448073415875,-0.004623030882115434,6.346168334816774,6.427585068978945,0.0,66.0,64.0,99.0,100.0
4,-0.002773851636468619,0.0006610259537250385,0.006506412007422201,9.085286695470769,9.113363968372617,0.0,66.0,64.0,99.0,100.0
5,-0.0034388147769502716,0.004267615534698491,0.006786505010606935,11.067989249578712,11.156494290145712,0.0,66.0,64.0,99.0,100.0
6,0.0037360218266191234,-0.009271538812177934,-0.005103137579664588,12.97675711135313,13.428948361166617,0.0,66.0,64.0,99.0,100.0
7,-0.00011427578133358401,0.006319409672563013,-0.008039539967595436,16.041081744382623,15.340003343680413,0.0,66.0,64.0,99.0,100.0
8,-0.0007496060086423737,-0.0099310232951142,-0.004635676062342555,17.7313759851225,17.801460020299118,0.0,66.0,64.0,99.0,100.0
9,-0.00221754855318667,-0.007451082217800378,-0.0007584686222453727,20.165800379782063,19.807925367591924,0.0,66.0,64.0,99.0,100.0
10,-0.000416602624058911,0.0020534562553395754,-0.003891478782129117,22.21400698657458,21.782549653075378,0.0,66.0,64.0,99.0,100.0
11,0.0016310084333534852,-0.005697958898869203,0.006344952293071461,24.348902127481043,24.301640187490356,0.0,66.0,64.0,99.0,100.0
12,-0.0009469877526473056,-0.003382253028988718,-0.00016964360167311866,25.63721986598684,26.182455320496324,0.0,66.0,64.0,99.0,100.0
13,0.00529284174289368,-0.0017840426326220487,0.005330334626850032,28.974783891231485,28.09085249617721,0.0,66.0,64.0,99.0,100.0
14,0.000247645170590276,-0.005700375612500851,0.0042715468276567515,30.24939956414397,31.507602299228218,0.0,66.0,64.0,99.0,100.0
15,-0.0016960028301878788,-0.004678957154190163,-0.003379200490615303,33.48366757893351,33.36246200523891,0.0,66.0,64.0,99.0,100.0
16,-0.002343357465489638,0.004752909608720172,0.005522865114870871,35.44543905945838,34.8476063872647,0.0,66.0,64.0,99.0,100.0
17,0.0012577905914513848,0.007467140250738071,-0.00875864885911457,37.6349715651311,37.47027487805737,0.0,66.0,64.0,99.0,100.0
18,-0.002331235912019382,0.0034365561763085805,-0.0029506570822386232,39.91079626099723,39.67653320558883,0.0,66.0,64.0,99.0,100.0
19,0.005062827436559485,-0.005302135949262335,-0.001723731755421326,41.957588125083355,41.72000377725141,0.0,66.0,64.0,99.0,100.0
20,0.00202957391662497,-0.0035489739150196403,-0.0025615094881749597,44.46972955119807,43.976080940767915,0.0,66.0,64.0,99.0,100.0
21,0.001247334590455133,-0.0040877943564906925,-0.004010235307690077,45.79157800736876,46.68628073713188,0.0,66.0,64.0,99.0,100.0
22,0.001768852393849132,-0.0002667823528910635,0.0044995286379917575,47.785271011560845,48.62640037786525,0.0,66.0,64.0,99.0,100.0
23,-0.010976263193332933,-0.007758758772873808,-0.0012442158029861124,50.9765323379578,50.01101638423103,0.0,66.0,64.0,99.0,100.0
24,-0.0007389082860029103,0.007761507977240309,0.003293100712094515,52.646203757112744,52.82728255023269,0.0,66.0,64.0,99.0,100.0
25,0.0027632910370512737,-0.0007656787123591236,0.005469301921678498,54.70901514953034,54.19319523863626,0.0,66.0,64.0,99.0,100.0
26,0.0006938810841281636,-0.00493077438767035,-0.0017405360837053476,57.279261369025555,57.051417406700416,0.0,66.0,64.0,99.0,100.0
27,0.008085096232532642,-0.011191376897782782,-0.003933550021528085,59.4730292655072,58.73601324041779,0.0,66.0,64.0,99.0,100.0
28,-0.003869720689952877,0.009593523469883883,-0.004256458925400059,61.706065097450086,61.54980836742932,0.0,66.0,64.0,99.0,100.0
29,-0.003141740216004466,-0.002148341944669561,-0.002074206192513618,63.32219048368869,63.65316676470846,0.0,66.0,64.0,99.0,100.0
30,-0.002706703882626508,0.001017049799118173,-0.0034386369291279925,66.36328089193152,66.69584903035859,0.0,66.0,64.0,99.0,100.0
31,-0.0004927215560641279,0.004239296834797412,-0.0020412438039596158,67.44470810096435,68.35674116931628,0.0,66.0,64.0,99.0,100.0
32,-0.0033176443427949524,-0.01000054976829094,0.004240294800893129,70.4133252761987,70.10636420884406,0.0,66.0,64.0,99.0,100.0
33,0.0019751574645700985,0.0005539550777853734,-0.005685259164029575,71.89531978079562,72.69906114055232,0.0,66.0,64.0,99.0,100.0
34,-0.0043236375421088664,-0.00657826176295018,0.0006204129397202947,74.74394467858325,75.07886779147739,0.0,66.0,64.0,99.0,100.0
35,-0.008249665980196674,-0.0006041989296028628,-0.00546893130302609,77.59721395729872,76.6466317799596,0.0,66.0,64.0,99.0,100.0
36,-0.002111488786702982,0.002584199409894562,0.002566514746474372,78.74058382600062,79.08680620657412,0.0,66.0,64.0,99.0,100.0
37,0.0022782919423977826,0.0027327321590066116,-0.0038836944627988813,81.86740685476848,81.51977368012999,0.0,66.0,64.0,99.0,100.0
38,0.0014472881914310515,-0.0027138638646297527,0.0030849306196381156,83.77086932232996,83.98491080885361,0.0,66.0,64.0,99.0,100.0
39,0.00023337618886203903,-0.005407851635298304,-0.0024333901776485253,86.28230103028835,85.45323784834933,0.0,66.0,64.0,99.0,100.0
40,0.0018762079664053368,0.005641957048116522,-0.0007605920715839326,88.06238685665855,87.57920425121033,0.0,66.0,64.0,99.0,100.0
41,0.004678751404413667,0.003414455259979933,0.0034220704649749432,90.19268393187328,90.06302609079934,0.0,66.0,64.0,99.0,100.0
42,-0.001948887108343499,0.0009407040717902964,0.0005721141723721961,91.95717121516202,92.46599159884761,0.0,66.0,64.0,99.0,100.0
43,0.006360792736651022,-0.004322142034510199,0.0005371381335178061,94.36652454901113,94.33923214447906,0.0,66.0,64.0,99.0,100.0
44,-0.0032756757463374875,-0.01022477153687245,0.006227408358477098,96.50991464088827,97.06528147017933,0.0,66.0,64.0,99.0,100.0
45,-0.007083110142403468,-0.00017281110538080405,-0.0018713016274265921,99.3859840703525,99.46707669214973,0.0,66.0,64.0,99.0,100.0
46,0.000542343741198547,-0.0006293654354328702,0.0019082790221830197,101.07881637703166,101.00757087769558,0.0,66.0,64.0,99.0,100.0
47,0.0003570067019129029,0.00601764534657978,0.006074253569534666,103.51321448422041,103.86245561897258,0.0,66.0,64.0,99.0,100.0
48,-0.001147426064781114,-0.0005814660731369666,-0.0038641012703488488,105.59001313499618,106.19135508083136,0.0,66.0,64.0,99.0,100.0
49,-0.0019426390305385993,0.0037295513043793293,-0.005316386732598672,108.50778217271642,108.11405777963496,0.0,66.0,64.0,99.0,100.0
50,0.006848689444149031,-0.002090022990515892,0.005634289677723421,110.38009191021848,110.06299411041242,0.0,66.0,64.0,99.0,100.0
