Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.004790342077576831,0.001052712403867215,-0.006370917360527444,-1.01504440291553,1.1555350317560427,-1.1188955299115138,96.0,64.0,96.0,95.0
1,0.005535454595615538,-0.007750931694500315,-0.007829838121900419,4.747941658299483,5.824444856631972,4.325092557655564,96.0,64.0,96.0,95.0
2,0.004693735552680085,0.01158615928941531,0.005511049235156882,10.208574290416934,9.088045907981668,8.838127309427147,96.0,64.0,96.0,95.0
3,0.0014117911718571033,-0.003195040373302381,0.0015886134303440091,13.796422936808973,14.519711110238939,14.466016188433723,96.0,64.0,96.0,95.0
4,-0.00415703404708128,0.006392232333856595,-0.014362731734945707,19.655943775866657,20.100098290251616,18.988481993493085,96.0,64.0,96.0,95.0
5,-0.007949686220278505,-0.003510588087110155,0.01597213563400474,23.516220816758548,24.080009809519144,23.700828220144608,96.0,64.0,96.0,95.0
6,0.0034399675340232995,0.004390422327926514,-0.009665285559568556,27.651115810918576,28.72929735454113,29.277770231449015,96.0,64.0,96.0,95.0
7,0.009171816610048827,0.004164937788514455,0.008931861282499157,34.10383177690947,33.418747076296874,34.50830498206401,96.0,64.0,96.0,95.0
8,0.00959606684228403,-0.010278869264612134,-0.00023263962703900411,39.07695757647656,37.946328024111615,38.42642743896085,96.0,64.0,96.0,95.0
9,0.0038652614778944905,-0.009276284369459915,0.0011614042564283339,42.508482977904585,43.918035805100466,42.44122977290989,96.0,64.0,96.0,95.0
10,0.0014944064432217638,-0.0007791246056834502,-0.0028305095592642,48.43167455495794,46.98807310546785,48.43637539741676,96.0,64.0,96.0,95.0
11,0.0007820750412127519,-0.0012963957218405054,0.002871784579079093,52.13782517023062,52.985548843823366,53.072563331905926,96.0,64.0,96.0,95.0
12,-0.00875933163868647,-0.0048827201860919735,0.0002655597302602779,56.58484148018279,57.30863889465045,57.754944559659414,96.0,64.0,96.0,95.0
13,-0.00559636622699915,0.001246866867169367,-0.003929335032581335,61.82234199515609,62.419390968157316,60.917141855243656,96.0,64.0,96.0,95.0
14,0.006771829758791491,-0.0032408404949321357,0.008218870673382554,67.1941022053859,66.96530131033087,66.40189345515265,96.0,64.0,96.0,95.0
