Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.004878967192689325,0.005874890971244866,-0.00779229011470534,0.5564577693869414,0.0,-0.2772139737703252,98.0,64.0,64.0,97.0
1,-0.0016090849267648842,0.00028209276734279175,0.006296569687944711,1.0717319316591551,0.0,1.867306020990824,98.0,64.0,64.0,97.0
2,0.008240820025317022,-0.0005381136260973981,0.003742853898942795,4.121036658761331,0.0,3.9723235221246034,98.0,64.0,64.0,97.0
3,-0.002902670061029873,-0.004857288996456923,0.0030709020871541827,6.481403615228784,0.0,5.942045742398022,98.0,64.0,64.0,97.0
4,0.005921439872210362,0.0026145636092636195,-0.002577113080115613,7.903107871272691,0.0,8.777749093624518,98.0,64.0,64.0,97.0
5,-0.007130006072139972,0.004977521661781173,0.0017989201614725748,9.557315469085143,0.0,9.40722112693219,98.0,64.0,64.0,97.0
6,-0.009812231411626383,-2.8170117444367944e-05,-0.004017608353462351,11.221435276500863,0.0,11.273764401277663,98.0,64.0,64.0,97.0
7,-0.0009411695423809363,0.00977605769627197,-0.0023125378931673156,13.391003874339425,0.0,14.137180187244772,98.0,64.0,64.0,97.0
8,-0.00787965374065168,-0.002447838237660926,0.008781160688822063,16.734174483645784,0.0,15.394055905771541,98.0,64.0,64.0,97.0
9,0.0014480354471937448,0.0009290628087639878,0.013023186853485655,17.538111484481337,0.0,18.876476744160662,98.0,64.0,64.0,97.0
10,0.0045857128559668526,0.007664470839282717,0.0030050599817596207,19.489055281135172,0.0,19.925273443348217,98.0,64.0,64.0,97.0
11,-0.0010769869774404429,0.00549425656011323,-0.013097057439236299,21.333947573334385,0.0,21.85761564941717,98.0,64.0,64.0,97.0
12,-0.0060642077949988734,-0.0006548198710815658,-0.0012421998535603414,23.59560926338766,0.0,23.706529736968204,98.0,64.0,64.0,97.0
13,-0.0015407354873490412,-0.010195394553889682,0.008589446573945418,26.25255717961115,0.0,25.76326463889963,98.0,64.0,64.0,97.0
14,-0.004588259145286638,-0.008665632508201045,0.001854529356914165,28.708975749933952,0.0,27.542413640442973,98.0,64.0,64.0,97.0
15,0.00017829583571413917,-0.0005615439880150193,0.011285148625815715,29.606772837729608,0.0,29.447203619526217,98.0,64.0,64.0,97.0
16,-0.00986405223113185,-0.001944584078917462,0.002803584717199809,31.848759127703254,0.0,32.072726179562736,98.0,64.0,64.0,97.0
17,0.0027745644162693226,-0.0051415728701844025,0.003789875836678601,33.80841280777504,0.0,34.18524054923174,98.0,64.0,64.0,97.0
18,-0.0006932422804029748,0.005885883836399529,-0.0036421549074564814,35.515583576065325,0.0,35.916442765844174,98.0,64.0,64.0,97.0
19,-0.0003832691312670849,-0.006011445458081502,-0.002289173839098111,37.34035838550351,0.0,38.193191046851304,98.0,64.0,64.0,97.0
20,0.007648676483367195,-0.004673549676420935,0.0005502746755713141,39.63763973852336,0.0,40.36185885066608,98.0,64.0,64.0,97.0
21,0.0013934640606082078,0.002160658505693474,0.004336192835530886,41.47745614535179,0.0,41.151343539174945,98.0,64.0,64.0,97.0
22,0.004025673128612415,-0.0016165963540077661,0.0019298090888707122,43.055566984742605,0.0,43.59814375409583,98.0,64.0,64.0,97.0
23,0.0007267496538298622,-0.003743184705767923,-0.0015117894290735344,45.08857398343536,0.0,45.84668866624647,98.0,64.0,64.0,97.0
24,-0.004425265659385052,-0.0016734108334766167,0.006503100808932041,47.739552986161094,0.0,48.73955106445812,98.0,64.0,64.0,97.0
25,-0.0020118982367770726,0.005523778374816926,-0.0013070967408238814,49.75489853808722,0.0,49.90814370295198,98.0,64.0,64.0,97.0
26,0.0022350995647382813,0.00012339116501540703,0.003928140683923087,51.88260115613569,0.0,52.126067642380015,98.0,64.0,64.0,97.0
27,-0.005320207810400038,-0.007803018359809357,0.006283349337416115,53.948350006809605,0.0,52.98141604178271,98.0,64.0,64.0,97.0
28,-0.006381543598280122,-0.005586095346209398,0.007551975086230079,55.339853824352225,0.0,55.69039408385465,98.0,64.0,64.0,97.0
29,0.00207346989660828,-0.0037402264897987226,-0.004490374408745861,58.052876851920985,0.0,57.18874561702411,98.0,64.0,64.0,97.0
30,0.004276175928662592,-0.012413824297168145,-0.004306769845210569,59.99476621682102,0.0,59.00577896329822,98.0,64.0,64.0,97.0
31,-0.004739694461415239,0.011841878391859458,0.003167279412704003,61.83988293049767,0.0,61.047809930847535,98.0,64.0,64.0,97.0
32,-0.0017181979047601252,0.003512150703672345,0.004489212310517877,63.51910157971494,0.0,64.17675282384454,98.0,64.0,64.0,97.0
33,-0.006757894813235724,0.0014725134330468917,-0.004599503728941321,66.01972883214134,0.0,64.45954859212421,98.0,64.0,64.0,97.0
34,-0.001270723665434872,-0.0002683767453890691,0.009415806141280098,67.32528009956177,0.0,66.84480451447476,98.0,64.0,64.0,97.0
35,0.0029582345748150047,-0.005174685084063567,0.004784013758812188,69.40552826631587,0.0,69.33110721104765,98.0,64.0,64.0,97.0
36,0.0028091839511538885,0.002361284974455676,0.005310524891302937,70.82976206953745,0.0,72.40488542717814,98.0,64.0,64.0,97.0
37,-0.004936462614191433,-0.0025187589688447534,-0.010195595172327689,73.26733650873871,0.0,73.81380556024395,98.0,64.0,64.0,97.0
38,-0.0035132328928509614,-0.0020710518335188242,-0.005275770836607737,75.46319768920183,0.0,75.0295532205892,98.0,64.0,64.0,97.0
39,0.0024657404875050772,0.0026896211518380405,-0.002421812198193773,77.22430105299772,0.0,76.4364652406017,98.0,64.0,64.0,97.0
40,0.0021182425594290662,0.0034653569248456408,-0.0024229435943465103,78.84612164029029,0.0,79.18429613710727,98.0,64.0,64.0,97.0
41,-0.003839075482491448,-0.002059871071218526,0.0008256394955238617,81.95942207403225,0.0,81.34567307443031,98.0,64.0,64.0,97.0
42,0.0038331044373638014,-0.0013903613292452362,-0.0015976484371639755,82.4333388623033,0.0,83.58651520152698,98.0,64.0,64.0,97.0
43,-0.002279285664997261,-0.001316287589100268,0.0024075644141632775,85.46312061212755,0.0,86.0788146807261,98.0,64.0,64.0,97.0
44,0.0004379707636050181,0.002572532414226221,0.0014219726013364375,88.28692238891067,0.0,87.00200386568558,98.0,64.0,64.0,97.0
45,-0.0003014055934690153,0.0029983357543717326,0.005777693173254985,89.04634788118389,0.0,89.54336170445053,98.0,64.0,64.0,97.0
46,0.0011250858637486046,-0.004281843080641272,0.0024731789874233726,90.65107092723696,0.0,90.71640441895025,98.0,64.0,64.0,97.0
47,-0.0058444181725125915,0.0004140954386778033,0.00198204069483319,92.71004939586611,0.0,93.16776717056034,98.0,64.0,64.0,97.0
48,-0.00015187756118494516,-0.0013702684993306903,0.0004730390448584855,95.23394837821567,0.0,94.88312778727258,98.0,64.0,64.0,97.0
49,0.006294628354921491,0.005542040041979133,0.0053044646542912445,96.80581681854207,0.0,97.6807078344171,98.0,64.0,64.0,97.0
50,0.001295239693916193,0.006138693789317332,0.006730295565057008,99.72166423540716,0.0,99.121034309671,98.0,64.0,64.0,97.0
51,0.003098072416677119,0.008459916208595285,-0.0025924543279692383,100.99523429722251,0.0,100.67402904717075,98.0,64.0,64.0,97.0
52,-0.0023413071331083056,-0.0009323783528321147,-0.002475477532682895,103.20232825739713,0.0,103.21166846695803,98.0,64.0,64.0,97.0
53,-0.006732201835752898,-0.010289055064545968,-0.00566425246880105,105.68432789453453,0.0,104.54884700228622,98.0,64.0,64.0,97.0
54,0.005925633305220594,-0.0003967593668789702,-0.004249840694842612,106.78538802037909,0.0,107.06401354984241,98.0,64.0,64.0,97.0
55,0.003380589873803422,0.008112361171018611,-0.001128638051337532,109.29190258545114,0.0,109.38396244545697,98.0,64.0,64.0,97.0
56,-0.006222533305894106,0.001270611864496652,0.004771660151227809,111.22836154408594,0.0,110.53449248679607,98.0,64.0,64.0,97.0
57,0.008462500836435675,0.0014599807502608702,-0.006550265036305709,113.75442456986164,0.0,112.94481969834747,98.0,64.0,64.0,97.0
58,-0.005162779309130867,0.008238909124299166,-0.002642033332247725,114.41483228169623,0.0,114.54244930274655,98.0,64.0,64.0,97.0
59,-0.002390125938804982,0.008874967649178597,-0.003628960614760414,117.41294506755209,0.0,117.09528173597164,98.0,64.0,64.0,97.0
60,0.005528664264270175,0.0014703032169872032,0.0015704375395228316,119.92309671890261,0.0,119.68992063347635,98.0,64.0,64.0,97.0
61,0.0028584864411294883,0.010440391100394452,-0.0015218273869579304,121.17382061566771,0.0,120.21452112729969,98.0,64.0,64.0,97.0
62,-0.004529534334643097,0.0058844418836561715,0.010563451281670157,122.1195516977025,0.0,122.40442234735471,98.0,64.0,64.0,97.0
63,-0.0010646051189319226,0.004009365946714183,0.000736052041339456,124.73065728246205,0.0,125.06031364868555,98.0,64.0,64.0,97.0
64,0.0014194808282778318,-6.935381765374175e-05,0.00046139471610798043,125.64195734997516,0.0,127.87596203259713,98.0,64.0,64.0,97.0
65,0.0033670673214588266,-0.001131864847372997,0.006894257931110792,127.83586603162513,0.0,129.01514588385606,98.0,64.0,64.0,97.0
66,0.0020590980653136574,0.008705052952541863,-0.005262997394975725,130.9842744514408,0.0,130.27607295327937,98.0,64.0,64.0,97.0
67,0.0008215470342685776,-0.002455889068379118,-0.002574371802123959,133.3761315226584,0.0,132.67381321947445,98.0,64.0,64.0,97.0
68,0.001202556356762524,-0.004525921491857238,0.007080805011225342,135.9911297016253,0.0,134.98548468987698,98.0,64.0,64.0,97.0
69,0.010202827106528072,0.007690593238411494,-0.001333700041647613,136.80939051404422,0.0,137.12014796106672,98.0,64.0,64.0,97.0
70,0.00317263883352923,0.0016617516409842606,0.005256069709388219,138.2396761850002,0.0,137.20966290313328,98.0,64.0,64.0,97.0
71,0.006462809919848617,0.0028512517338866047,-0.0026438131586264363,140.36267671072778,0.0,140.66646887326758,98.0,64.0,64.0,97.0
72,-0.00019351511748794635,-0.0026899909872737343,-0.002067385083596914,143.4958255607821,0.0,141.99698941741332,98.0,64.0,64.0,97.0
73,-0.004757830853610505,-0.0060229308672767,0.005849852062969782,145.21734293077117,0.0,144.3861602383274,98.0,64.0,64.0,97.0
74,0.0025485319764816912,0.0016068484689336097,-0.0003955677837493859,146.76862812006297,0.0,146.8746353320195,98.0,64.0,64.0,97.0
75,-0.001352768893639653,0.003145535836385049,0.013677747990007056,148.48566237302722,0.0,149.46348516880306,98.0,64.0,64.0,97.0
76,-0.0009291990573293113,-0.010742721528818206,0.0003473252616265403,150.90368818340423,0.0,150.65034711552912,98.0,64.0,64.0,97.0
77,0.0022293894119099064,0.0007404413222884208,0.0011534084473818244,152.55525710158582,0.0,151.96474068781717,98.0,64.0,64.0,97.0
78,-0.0032685579152469764,-0.0046073490417498,0.004633662236281491,154.27561187383202,0.0,154.89886975639874,98.0,64.0,64.0,97.0
79,0.0009754966990457407,-0.007524542413108084,0.0009101286973411506,156.0015672665092,0.0,157.30117093920788,98.0,64.0,64.0,97.0
80,-0.0030044526198715594,-0.0030366951554580083,0.0014957031086214293,159.46801431595057,0.0,158.8692102945088,98.0,64.0,64.0,97.0
81,-0.006444208829086938,0.008124793650307053,0.0076214485389416615,160.25579895719008,0.0,160.86201949056823,98.0,64.0,64.0,97.0
82,-0.0028422392273287477,-0.002714334993008083,0.0022516204880402625,163.1200328443595,0.0,161.9351757390562,98.0,64.0,64.0,97.0
83,-0.004540880595720694,-0.003491140308963691,-0.001750604581227881,164.30392315050446,0.0,163.63865029987858,98.0,64.0,64.0,97.0
84,0.0010410180857982443,-0.0013799979506996648,-0.0012136785185768474,166.83535869314025,0.0,167.36275451376142,98.0,64.0,64.0,97.0
85,-0.009549078593713659,-0.004564533931086283,-0.00010282276352503199,168.3959704340706,0.0,168.1272713870232,98.0,64.0,64.0,97.0
86,0.0034556905254741112,-0.0013317412194773838,-0.00925728667937433,170.48344255347564,0.0,169.8073038364216,98.0,64.0,64.0,97.0
87,0.006314201183472878,0.0025584169553361283,0.0007423535993212653,172.0410766912846,0.0,172.2589718264269,98.0,64.0,64.0,97.0
