Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.0008436786065907264,0.0029341351587730854,0.0031722508589106203,0.6700495349219572,0.0,0.0,64.0,64.0,64.0,64.0
1,0.009198074243526606,-0.002108141962925202,0.000855000952796296,10.81991154802598,0.0,0.0,64.0,64.0,64.0,96.0
2,0.0009317278905147488,0.00585484879080145,0.01010333747519636,11.406870948034618,0.0,0.0,64.0,64.0,64.0,96.0
3,-0.0007678609833665214,0.001096128904414658,0.010094630554832488,12.205656897588364,0.0,0.0,64.0,64.0,64.0,96.0
4,-0.006617235990973089,-0.011480495069993234,-0.001126534532373005,10.497421950504831,0.0,0.0,64.0,64.0,64.0,32.0
5,-0.0020677719644689977,0.01326483352617084,0.0008498500586321649,9.86094976295012,0.0,0.0,64.0,64.0,64.0,32.0
6,-0.009647546248519767,0.020507735592467814,-0.011353035965280582,10.422612354321728,0.0,0.0,64.0,64.0,64.0,96.0
7,0.007231169681342606,-0.013464666725779215,-0.004956388791036047,9.27728988783293,0.0,0.0,64.0,64.0,64.0,32.0
8,-0.004614027700671164,-0.004833612859784648,-0.00022583886526559698,11.779516298163477,0.0,0.0,64.0,64.0,64.0,96.0
9,-0.0026840111906118987,0.012002070571624378,-0.012770321460811453,11.375206143787459,0.0,0.0,64.0,64.0,64.0,32.0
10,-0.017580565679548986,-0.02319691185874495,-0.007111752685443262,10.059025890251974,0.0,0.0,64.0,64.0,64.0,32.0
11,-8.342266218618436e-05,0.0071516255831931665,0.0010341700504795353,10.126272513487928,0.0,0.0,64.0,64.0,64.0,96.0
12,0.004812296459774168,0.002959974087795673,0.0015538000364803183,12.27249288900828,0.0,0.0,64.0,64.0,64.0,96.0
13,-0.0004887869786848313,0.010263956778430136,0.013630232804478839,9.554029445163073,0.0,0.0,64.0,64.0,64.0,32.0
14,-0.007650987239720069,0.0016676405097140405,-0.024846122410577536,11.114395999201266,0.0,0.0,64.0,64.0,64.0,96.0
15,0.0011307565072426564,-0.00032899446211205824,0.0037360417644547177,11.0446271909987,0.0,0.0,64.0,64.0,64.0,32.0
16,-0.009213075419804099,0.006620493839170076,-0.0021607954367865514,10.394311383088251,0.0,0.0,64.0,64.0,64.0,32.0
17,0.007861671067251216,0.006084613927216911,0.009807271317741789,9.923943927460943,0.0,0.0,64.0,64.0,64.0,32.0
18,0.0029812846400430752,-0.012810125342565915,0.010756643961059475,8.810698707438009,0.0,0.0,64.0,64.0,64.0,32.0
19,-0.013773541499332938,0.011655404495933858,0.00023335399712143826,9.345902351612052,0.0,0.0,64.0,64.0,64.0,96.0
20,-0.00911806547353309,0.012770724677610965,-0.001940558003682119,11.038300417082139,0.0,0.0,64.0,64.0,64.0,96.0
21,0.0024208011920447197,0.005401043806526844,0.005483340300461265,10.064478541990699,0.0,0.0,64.0,64.0,64.0,32.0
22,3.314791702794165e-05,-0.012440180730037576,-0.0014973797660983706,-9.185514923707446,0.0,0.0,64.0,64.0,64.0,32.0
