Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.005548464169613954,0.003596638360736163,-0.003161843488316714,-0.6977674013296411,0.0,0.0,66.0,64.0,64.0,98.0
1,-0.003143718619803986,-0.007792144138131831,0.0036621817164165502,3.5253132244146936,0.0,0.0,66.0,64.0,64.0,98.0
2,0.009905202165832152,-0.006783689360554148,0.0013049728990035248,7.968123338570603,0.0,0.0,66.0,64.0,64.0,98.0
3,-0.001871097433689669,0.008516878594195306,0.0017031037398665303,14.307104522883861,0.0,0.0,66.0,64.0,64.0,98.0
4,0.0008957615391005883,-0.006594363410025064,0.003498018679641256,17.888275167248107,0.0,0.0,66.0,64.0,64.0,98.0
5,-0.005293111760524763,-0.0073384348886580695,-0.0049839383855775484,22.28037968134209,0.0,0.0,66.0,64.0,64.0,98.0
6,-0.007501302877666357,0.0040385433730798104,0.010357564020391296,26.071763681746347,0.0,0.0,66.0,64.0,64.0,98.0
7,-0.0016064304751779094,0.00044218986616992604,-0.001884403976459357,30.67199341140442,0.0,0.0,66.0,64.0,64.0,98.0
8,0.0024549929288716988,0.003422359917010273,0.0038518272212106084,35.8235365893453,0.0,0.0,66.0,64.0,64.0,98.0
9,0.0023709431179063903,0.002500514033253091,-3.831674766764819e-05,40.247674309521095,0.0,0.0,66.0,64.0,64.0,98.0
10,-0.007383910739334276,0.005009014245194589,0.007045828676166173,44.02110112338196,0.0,0.0,66.0,64.0,64.0,98.0
11,-0.007141640644967394,0.001736182946975245,-0.00263064516014746,50.023081786203484,0.0,0.0,66.0,64.0,64.0,98.0
12,0.002275282446240402,0.0001701040767489998,-0.006530295853816606,52.616948128213046,0.0,0.0,66.0,64.0,64.0,98.0
13,-0.002467704596319544,-0.0030581744473825783,0.0001672232221371878,57.75580999816661,0.0,0.0,66.0,64.0,64.0,98.0
14,-0.007692443534515887,-0.0021487379758105087,-0.004798285467894682,61.5633670259594,0.0,0.0,66.0,64.0,64.0,98.0
15,-0.003457374381944819,-0.008413840823093733,0.005584645525267393,66.01261108018765,0.0,0.0,66.0,64.0,64.0,98.0
16,-0.006556021645589859,0.0035273406880577222,-0.0071068528049238605,71.53770273681623,0.0,0.0,66.0,64.0,64.0,98.0
17,0.008501011902872849,-0.0018640761848558562,-0.0030255455168936582,75.27293244282818,0.0,0.0,66.0,64.0,64.0,98.0
18,0.0012897601479666353,0.007600532079533819,0.0012274793662743796,79.95374409673143,0.0,0.0,66.0,64.0,64.0,98.0
19,0.004713546393521124,-0.0038962838026714145,0.0009232489778819091,84.01834476343696,0.0,0.0,66.0,64.0,64.0,98.0
20,-0.008970429144136325,0.0010500536306560955,-0.004481605287646557,89.62246617772075,0.0,0.0,66.0,64.0,64.0,98.0
21,-0.00313740926861971,-0.009691645263986016,0.007561240237425965,93.11508699321043,0.0,0.0,66.0,64.0,64.0,98.0
22,0.0013387573424290787,-0.0025394839695250223,0.005669214468905364,97.9739046185327,0.0,0.0,66.0,64.0,64.0,98.0
23,-0.00785745123024012,0.0014511356021606595,-0.0019078016533751734,102.32615282181088,0.0,0.0,66.0,64.0,64.0,98.0
24,0.003149426280364452,0.010464771756781668,-0.002150788577417711,107.28993744314195,0.0,0.0,66.0,64.0,64.0,98.0
25,0.003783746291028105,0.004018796854180654,0.0024766753595881824,110.34618848424628,0.0,0.0,66.0,64.0,64.0,98.0
26,-0.0070760156260906175,0.0034714978972714915,-0.00029468505196973796,116.65766032675133,0.0,0.0,66.0,64.0,64.0,98.0
27,-0.0022213903530951457,-0.0010311077909312856,-0.001656179369189101,120.78261008791344,0.0,0.0,66.0,64.0,64.0,98.0
28,0.0013410015113308102,0.00181578649254622,-0.0006892755340028072,124.56355996186288,0.0,0.0,66.0,64.0,64.0,98.0
29,0.0004722547186198944,0.004188111456426742,0.00027043753401589704,128.44133541041612,0.0,0.0,66.0,64.0,64.0,98.0
30,0.006408881497093079,-0.003547808366522727,-0.0023849397767077437,133.46200615021522,0.0,0.0,66.0,64.0,64.0,98.0
31,0.001722766894666269,-0.008442547488784013,0.00812386401077825,138.27999398445925,0.0,0.0,66.0,64.0,64.0,98.0
32,0.005215742925200083,-0.0012044273938144833,0.007367201752587234,142.316067213169,0.0,0.0,66.0,64.0,64.0,98.0
33,0.009613302996679635,0.0014944683255780898,0.010355486537748662,147.68135558955643,0.0,0.0,66.0,64.0,64.0,98.0
34,-0.006547859340965453,0.003675155055688511,0.007052766530869751,151.22234490848368,0.0,0.0,66.0,64.0,64.0,98.0
35,0.005071117591059962,0.00753393116216507,-0.004634808894546342,156.05876897207656,0.0,0.0,66.0,64.0,64.0,98.0
36,0.0007603090772258407,-0.0047541359688920235,0.002914027984838359,159.43793254032417,0.0,0.0,66.0,64.0,64.0,98.0
37,0.004141246632547983,0.0030640573493106965,-0.002749356573462985,164.34276451215018,0.0,0.0,66.0,64.0,64.0,98.0
38,0.016267879961299376,0.002666328682891584,0.00720068331802998,168.7647267734346,0.0,0.0,66.0,64.0,64.0,98.0
39,0.0030081044950347855,-0.0012012937433255912,0.005006709707836655,173.7749657032074,0.0,0.0,66.0,64.0,64.0,98.0
40,-0.002482577403249028,-0.007804204475498778,0.006768832659800242,176.78984868644673,0.0,0.0,66.0,64.0,64.0,98.0
41,-0.0001838202678916751,0.002895749338997009,0.0072783838600968456,182.7403523394458,0.0,0.0,66.0,64.0,64.0,98.0
42,0.0060169807445146,0.003275552361227941,-0.0040614472650293216,186.74849308297527,0.0,0.0,66.0,64.0,64.0,98.0
43,-0.0009830693506674975,-0.01022768671020678,0.0020361421569489845,191.83128726386857,0.0,0.0,66.0,64.0,64.0,98.0
44,-0.00014000949296072925,-0.0064388793358608,0.002464517788916154,195.2679713089785,0.0,0.0,66.0,64.0,64.0,98.0
45,-0.0004843885518601821,-0.00378689260721567,-0.0023979586786348336,199.6344215394387,0.0,0.0,66.0,64.0,64.0,98.0
46,0.0018348029136214976,-0.0012951737486820093,-0.006936056074225553,204.99330036323153,0.0,0.0,66.0,64.0,64.0,98.0
47,-0.0004141947927560162,0.010930384757325249,-0.005890614462013708,208.9567985980607,0.0,0.0,66.0,64.0,64.0,98.0
48,-0.0022652907421695386,0.002169951091901902,-0.003893525575076507,213.1355198394714,0.0,0.0,66.0,64.0,64.0,98.0
49,-0.0006513419211895146,0.01031636190062975,-0.011178999696067053,217.65421954630955,0.0,0.0,66.0,64.0,64.0,98.0
