Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.0015562449351789363,0.0015302651792001706,0.0033978996128238986,0.5505387221941876,0.7881096061375352,0.0,67.0,64.0,99.0,92.0
1,0.0010951935618436126,-0.0023097463987727285,0.004539342486914243,1.457610938284805,1.8529082345536811,0.0,67.0,64.0,99.0,92.0
2,0.008325162130074278,-0.005038933020609023,0.002217909503238882,3.9096856355978944,3.850945545899503,0.0,67.0,64.0,99.0,92.0
3,0.0022376066038294323,0.0035303577749588168,0.0026521362212258686,6.272932290421541,5.551745128549152,0.0,67.0,64.0,99.0,92.0
4,-0.00735348524626441,-0.003978461056581308,-0.004246741408052781,8.069086126019348,7.831653242952204,0.0,67.0,64.0,99.0,92.0
5,0.001416479289090544,-0.00912387829086436,-0.007801549786041607,9.550988841947694,9.572830303265102,0.0,67.0,64.0,99.0,92.0
6,-0.0014892071878316662,-0.0058990123984753555,1.1784863220292807e-05,11.737304420890597,12.076057170646996,0.0,67.0,64.0,99.0,92.0
7,-0.0063379771753629835,-0.0009019060404716907,-0.0010236322558965954,14.05637573043081,13.869231307928422,0.0,67.0,64.0,99.0,92.0
8,0.0005075768990693757,-0.005181983165776358,-0.005568604270197487,16.12896029782966,16.704698384483805,0.0,67.0,64.0,99.0,92.0
9,-0.0033389394374122206,-0.0018921737450694497,0.00208575245911921,18.147395569182716,17.969916300228185,0.0,67.0,64.0,99.0,92.0
10,-0.0016229150739644406,-0.0031666833347882167,3.3411196502769984e-05,20.889534505604193,20.087299065221096,0.0,67.0,64.0,99.0,92.0
11,-0.0031931392171724257,0.002289552273624762,-0.000542538314208495,23.162770392426467,21.938681361863974,0.0,67.0,64.0,99.0,92.0
12,0.0009693603233198498,0.004878599970902974,0.0018947878112513313,24.3051166773136,24.129147643008242,0.0,67.0,64.0,99.0,92.0
13,0.0009246913725670779,0.001671298997543035,0.006438059072665195,26.609443830267725,26.073669288420128,0.0,67.0,64.0,99.0,92.0
14,0.0004743288082676231,-0.0023664533688716413,0.0008137421936810351,28.116870176167385,28.376858591342113,0.0,67.0,64.0,99.0,92.0
15,-0.0013690918081792952,-0.00010386115202508486,0.0006435915457560331,29.936118904705207,29.528020011991543,0.0,67.0,64.0,99.0,92.0
16,-0.0012699529543666415,0.0005107750199584945,-0.0094449113235964,32.42936683031344,33.11679562530462,0.0,67.0,64.0,99.0,92.0
17,0.0019143435864583027,0.0019614706269438995,0.0024697575452452456,33.74665365464816,34.72295472916178,0.0,67.0,64.0,99.0,92.0
18,-0.0003232161369650481,0.002024456681479358,0.0009896854994771156,36.494815411660326,36.551741720945834,0.0,67.0,64.0,99.0,92.0
19,0.0031015836887731546,0.005346151682447818,-0.0030741510777985443,38.426916120442016,38.85952728842268,0.0,67.0,64.0,99.0,92.0
20,-0.0006029558758509869,-0.0010040582980150325,-0.00032444902916511665,40.28478929425682,40.52031586681762,0.0,67.0,64.0,99.0,92.0
21,0.003030370171328484,0.0005852952083442111,0.0016195774607187018,42.079699308469216,42.2820612794872,0.0,67.0,64.0,99.0,92.0
22,0.004525773737034554,-0.0027053769105624946,0.002285315286859577,44.14706872930795,44.81265561598811,0.0,67.0,64.0,99.0,92.0
23,-0.0019369033934252603,0.0009891779789381124,-0.005008998619749388,46.32108114372945,46.23229799681536,0.0,67.0,64.0,99.0,92.0
24,-0.0022004781131547417,-0.004915876275582624,-0.003092788162118313,48.81682012919297,48.472003909093836,0.0,67.0,64.0,99.0,92.0
25,-0.0014182619474181464,-0.0006835848611105799,0.001893808969285507,50.28731592969235,50.104649049228634,0.0,67.0,64.0,99.0,92.0
26,0.005097715344855919,-0.0027148575638813806,0.001038376743984412,53.01743375298071,52.34746554561092,0.0,67.0,64.0,99.0,92.0
27,0.002151179918724274,-0.0030518188787999824,-0.0015706931302299787,54.42453480397266,54.523063913107315,0.0,67.0,64.0,99.0,92.0
28,0.0026541136532717614,0.0024128198163736207,-0.0007461110948653162,56.36718384244141,56.01783607599377,0.0,67.0,64.0,99.0,92.0
29,0.002701870669358371,0.0021883178943254418,0.0007473530263705688,58.36497587867588,58.62296867379983,0.0,67.0,64.0,99.0,92.0
30,-0.0043464003989223225,-0.003181576632916128,0.0005611664010918837,60.68145589598818,60.63444858634263,0.0,67.0,64.0,99.0,92.0
31,0.00128323668613446,0.005503789668296751,-0.005087552607507296,62.962267864047824,62.38056549741367,0.0,67.0,64.0,99.0,92.0
32,0.006123471371243533,-0.000981333174716557,-0.0032183979459815275,64.39473000997702,64.53715587044567,0.0,67.0,64.0,99.0,92.0
33,0.0052129355310801765,0.0021892984149711673,-0.0014049327503483804,66.99474525262772,66.31678095949066,0.0,67.0,64.0,99.0,92.0
34,0.0014314270265706926,-0.00464903533090122,-0.0020093959029534366,69.0244307850487,69.03459593979865,0.0,67.0,64.0,99.0,92.0
35,-0.005482058474086048,0.0008981226083213869,-0.0009568480076766109,70.84508979157543,70.48462472755472,0.0,67.0,64.0,99.0,92.0
36,0.003264536691232746,-0.0014011927642723684,-0.005122715874998217,72.65964394478478,72.55859627654588,0.0,67.0,64.0,99.0,92.0
37,0.0011985638266829445,-0.001365985744964634,-0.00046867793209885293,74.93516634000694,74.3243281067248,0.0,67.0,64.0,99.0,92.0
38,0.0015248010829621611,0.002780915036921444,-0.0011693359118127885,76.25160331561631,76.54077456647116,0.0,67.0,64.0,99.0,92.0
39,0.003937226656720359,0.003610868799651802,0.0006478785854517293,79.05068927124172,78.6155564505733,0.0,67.0,64.0,99.0,92.0
40,-0.0014329570995629361,-0.0006621625922978642,-0.0009042430382430026,80.65641544085295,81.30748572035024,0.0,67.0,64.0,99.0,92.0
41,-0.004783708518404816,0.0016203254473134724,0.005567594635460218,83.22960613098445,83.3161377108266,0.0,67.0,64.0,99.0,92.0
42,0.0015223283523564054,0.003314228059690935,-0.0032793560775494206,84.9115827955943,85.49215477060093,0.0,67.0,64.0,99.0,92.0
43,0.004182191701170014,-0.0017833151142267194,0.0008832783838460191,87.3682119332159,86.89443098310633,0.0,67.0,64.0,99.0,92.0
44,-0.0014614954742959163,0.0036595422406435225,0.000870774484380977,89.06549775009255,87.91889498555362,0.0,67.0,64.0,99.0,92.0
45,-0.002568286825986344,-0.0021925067180064164,0.0020420486796683558,91.80410462088952,90.79200731186417,0.0,67.0,64.0,99.0,92.0
46,-0.0053168368623151075,0.0034283017909468574,0.0013160273307998467,92.67109847137753,92.62077549258605,0.0,67.0,64.0,99.0,92.0
47,-0.00195597777499602,0.0038235528754607725,0.0015021331959989906,94.97919603765949,94.99755519637878,0.0,67.0,64.0,99.0,92.0
48,-0.0015308011219027453,-0.0006782065028426071,-0.002996720734878005,96.91023196270906,96.94573859359585,0.0,67.0,64.0,99.0,92.0
49,-0.0017409116662941149,-0.003367682444243356,0.005394698722160995,98.76785126479642,98.9972274546202,0.0,67.0,64.0,99.0,92.0
50,-0.006366066497744301,0.006061958303415565,5.598886146093266e-05,100.6956609125997,100.63914961775241,0.0,67.0,64.0,99.0,92.0
51,0.0048515661757001,-0.001143815587858443,0.005661354522547287,102.82845399171343,103.75364707228913,0.0,67.0,64.0,99.0,92.0
52,0.003377418010545674,0.0009921553638622853,0.004627410567111051,105.16989541282086,104.76184377309015,0.0,67.0,64.0,99.0,92.0
53,0.0017898205861041662,-0.004913428468587525,0.0026528195581204603,107.35035480985523,107.0932233380749,0.0,67.0,64.0,99.0,92.0
54,-0.0019023586378172485,-0.0011180128506367035,-0.0007952320369872004,109.3082085476905,109.04437981699058,0.0,67.0,64.0,99.0,92.0
55,-0.002759289001759564,-0.00309037042127081,0.002165045711325608,111.4675362769058,111.2807398424913,0.0,67.0,64.0,99.0,92.0
56,-0.0012670692079578463,-0.005711879426189686,0.003056023872850334,113.4735738707666,112.94177685923941,0.0,67.0,64.0,99.0,92.0
57,0.0015568546578564604,-3.9005279251972495e-05,-0.004860811660691698,115.07846109193834,115.17557243156622,0.0,67.0,64.0,99.0,92.0
58,0.001489186684159272,0.002466895618809515,-0.003025889267138509,116.4667641089404,116.93242322212464,0.0,67.0,64.0,99.0,92.0
59,-0.0016948752369412674,0.004671526548919736,-0.0031518725853236446,119.429356856574,118.80658593858136,0.0,67.0,64.0,99.0,92.0
60,-0.004641158315509003,0.00011180042037756432,0.009131780481546286,121.63042114771994,121.33820592727632,0.0,67.0,64.0,99.0,92.0
61,-0.0008069291228305878,-0.0007495763727059812,-0.000993568606251452,123.26205217180016,122.88835731840172,0.0,67.0,64.0,99.0,92.0
62,-0.00024052277138011203,-0.006606985946791711,0.00041195810076702187,125.12156917111525,124.77713864577204,0.0,67.0,64.0,99.0,92.0
