Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,-0.0018287638994835828,0.008060939728036518,-0.004048347178381549,0.0,0.1284587022360199,0.0,65.0,64.0,92.0,67.0
1,0.0027521257806378645,-0.0007266687871330498,4.255879903722812e-05,0.0,3.242588900027877,0.0,65.0,64.0,92.0,67.0
2,-0.000818990349663712,0.00046830902572028693,0.003604158368597086,0.0,5.625664752009872,0.0,65.0,64.0,92.0,67.0
3,0.001557471149147046,-0.0005947858081283919,0.0018796546274335397,0.0,8.377506818574027,0.0,65.0,64.0,92.0,67.0
4,0.007295443215596894,0.001589522288383438,0.00015049902786709018,0.0,11.87548610273112,0.0,65.0,64.0,92.0,67.0
5,0.0005833244364344698,-0.003313677679753351,-0.0049301702802384785,0.0,14.673270742381252,0.0,65.0,64.0,92.0,67.0
6,0.0034116667335961012,0.0019228540396463753,-0.002455364354833865,0.0,17.300943558216314,0.0,65.0,64.0,92.0,67.0
7,0.00031081613912157824,-0.002396700366364027,-0.0064881700293868225,0.0,20.749068993761597,0.0,65.0,64.0,92.0,67.0
8,-0.0031287633877943814,-0.0014278451757965681,1.1252540065207693e-06,0.0,22.68701733141375,0.0,65.0,64.0,92.0,67.0
9,0.007291668544658116,-0.005299747210012909,0.001291482541234515,0.0,26.001209664629553,0.0,65.0,64.0,92.0,67.0
10,0.0065215972146198805,0.005225465830663997,-0.0028360796100956316,0.0,28.134232948518324,0.0,65.0,64.0,92.0,67.0
11,-0.0012784060059999767,-0.0005817335976279178,0.001439923825302434,0.0,31.598020518570426,0.0,65.0,64.0,92.0,67.0
12,0.004699386917619494,0.0025720327072765786,-0.0012601637444384017,0.0,34.72572590985733,0.0,65.0,64.0,92.0,67.0
13,-0.0023454458467662433,0.001631451031354011,-0.0004271000631264866,0.0,37.33158443354215,0.0,65.0,64.0,92.0,67.0
14,-0.0008525074373852164,4.40645105563692e-05,-0.00012144274621774688,0.0,40.37151687235506,0.0,65.0,64.0,92.0,67.0
15,-0.001993212671644769,-0.004098333810775164,0.004444340540301465,0.0,43.22748205985037,0.0,65.0,64.0,92.0,67.0
16,0.003903058961649822,0.0016090244458266288,0.0001848916295598788,0.0,45.848303845204576,0.0,65.0,64.0,92.0,67.0
17,-0.00019398988519585747,-0.001287264459616904,-0.007343876911932193,0.0,48.95220931093657,0.0,65.0,64.0,92.0,67.0
18,0.0036518667230196885,-0.0023995883283690457,-0.0009379926984519568,0.0,51.20301316447851,0.0,65.0,64.0,92.0,67.0
19,0.0025192957108322606,0.005224724140214401,0.0011270143013766838,0.0,55.110198524443646,0.0,65.0,64.0,92.0,67.0
20,-0.0028529551836894884,0.004385861470912693,0.00021484600951581368,0.0,57.49451265433761,0.0,65.0,64.0,92.0,67.0
21,0.0031726980864928596,0.0015993395119551354,0.00280240416711462,0.0,60.78154097390052,0.0,65.0,64.0,92.0,67.0
22,0.007042148646021562,-0.00622916861435636,0.00035680643929815995,0.0,63.17270311975249,0.0,65.0,64.0,92.0,67.0
23,0.0012666218904526726,0.0011196109014869056,-0.0006743421592597546,0.0,65.82003101459622,0.0,65.0,64.0,92.0,67.0
24,0.004408267217979807,0.0009574099791932383,0.0002531115254275815,0.0,68.850591906319,0.0,65.0,64.0,92.0,67.0
25,-0.00247914017742752,0.001622260991127647,0.006178484207250419,0.0,72.38741612331306,0.0,65.0,64.0,92.0,67.0
26,-0.0023132020745353673,-0.00018586518924357996,0.002984591607504502,0.0,74.4137940294647,0.0,65.0,64.0,92.0,67.0
27,-0.0006624762105018717,0.002138917096900299,0.004823582628683078,0.0,77.44250101893874,0.0,65.0,64.0,92.0,67.0
28,0.00159951372556055,-0.003505372872568938,-0.0007838629813804992,0.0,80.58817457730531,0.0,65.0,64.0,92.0,67.0
29,-0.0014899496249128818,-0.0014775470769871615,0.0021721207506539084,0.0,83.63435172189403,0.0,65.0,64.0,92.0,67.0
30,0.005045490034774152,0.005907277413202649,0.0029203258394105884,0.0,86.53583483792357,0.0,65.0,64.0,92.0,67.0
31,0.004064752014450578,-0.002358113840624701,0.0026153026052268616,0.0,89.13198238856836,0.0,65.0,64.0,92.0,67.0
32,-0.001720628066708151,-0.003984114117995716,0.004355271044139159,0.0,91.93633828163021,0.0,65.0,64.0,92.0,67.0
33,-0.002905745530624143,-0.0009940083228452592,-0.000799568433965991,0.0,94.71281951117413,0.0,65.0,64.0,92.0,67.0
34,0.0015131872270881743,-0.0004539204634553916,0.0035871637244429574,0.0,98.0370412694533,0.0,65.0,64.0,92.0,67.0
35,-0.001395504139873532,0.0006822084051650085,0.00507569300804604,0.0,100.66737909715911,0.0,65.0,64.0,92.0,67.0
36,0.004872828119629055,0.002632288957796432,-0.001434536494241856,0.0,103.82662031506068,0.0,65.0,64.0,92.0,67.0
37,-0.0008338745344270877,-0.0035934574973662168,-0.001507300355089685,0.0,106.31942758559815,0.0,65.0,64.0,92.0,67.0
38,-0.0015374593937764807,0.0020433978636568754,0.0006954137034892314,0.0,108.74496977498207,0.0,65.0,64.0,92.0,67.0
39,-0.0031993024434061757,-0.001628653467088872,0.0001097369591953818,0.0,111.54408336181915,0.0,65.0,64.0,92.0,67.0
40,0.007366616232792302,-0.0047694317476537455,0.0023024656577619405,0.0,115.09058399146286,0.0,65.0,64.0,92.0,67.0
41,0.00017595298037437651,0.0028516583185828545,-0.0014917326412815079,0.0,117.79288914914758,0.0,65.0,64.0,92.0,67.0
42,-0.003219122244902385,0.004441608726054817,0.002374863277926646,0.0,120.5869627279193,0.0,65.0,64.0,92.0,67.0
43,-0.0049468470014595945,0.006746719561619318,-0.004628302378909827,0.0,124.29195959505441,0.0,65.0,64.0,92.0,67.0
44,-0.0002733922058065429,-0.0026213405540068914,-0.0002313587334953343,0.0,126.72828821766744,0.0,65.0,64.0,92.0,67.0
45,0.002219556584204145,-0.0011773277649415347,-0.0002290930694382626,0.0,129.7196244805653,0.0,65.0,64.0,92.0,67.0
46,-0.00019288043279282223,0.002257756726744796,-0.001637349804751668,0.0,132.2119396403415,0.0,65.0,64.0,92.0,67.0
47,0.0007547991560938816,0.007475384914785201,-0.004069986430611089,0.0,135.3115410765484,0.0,65.0,64.0,92.0,67.0
