Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,0.0036073538020030315,0.00450299575481194,-0.0037911020456271967,0.0,-0.6256307291427017,-0.3555123579710269,95.0,64.0,99.0,59.0
1,0.007616955253770401,-0.005653932915905751,-0.00601793508598271,0.0,1.9402442368848627,3.1776232446243986,95.0,64.0,99.0,59.0
2,0.0018046371491923197,0.004947513034499297,-0.0012047522336516578,0.0,5.014822179333838,6.757884780280594,95.0,64.0,99.0,59.0
3,0.002612739161743885,0.007006657982341415,0.0018609428548700512,0.0,8.500897646205248,7.794766358988356,95.0,64.0,99.0,59.0
4,-0.012217001444532494,0.00252356370708239,-0.0012224796986639297,0.0,10.705371573182779,11.830954462969993,95.0,64.0,99.0,59.0
5,0.0032382028985644636,-0.000767251415170326,0.008134696323854612,0.0,14.261376779615787,14.169672106407981,95.0,64.0,99.0,59.0
6,0.008376051163673773,-0.0024610608724653675,-0.0022269799350054446,0.0,15.974930712253178,17.144543210165867,95.0,64.0,99.0,59.0
7,0.001928706670732179,-0.0024004387834012327,0.0017994612655159471,0.0,18.653145782606266,19.63845000698856,95.0,64.0,99.0,59.0
8,-0.000997135842905326,-0.003860768650780207,-0.008251759987768701,0.0,22.657796953192918,22.10135662947619,95.0,64.0,99.0,59.0
9,-0.002541276260326582,-0.002147860136826693,0.0005910798451968054,0.0,25.263806403479975,23.72901486364323,95.0,64.0,99.0,59.0
10,-0.002704702248031052,0.0058430442993081,0.004031835167735928,0.0,28.25612477835707,27.63084288903215,95.0,64.0,99.0,59.0
11,-0.0037140608818080406,-0.0007885054104220988,-0.004731573664895268,0.0,29.54420667035096,30.768494667018462,95.0,64.0,99.0,59.0
12,0.0023294135469346393,0.0009036590741781329,0.005005458223410474,0.0,33.600252090773786,32.494798653536485,95.0,64.0,99.0,59.0
13,-0.002598249890292445,-0.013465055839489017,-0.0005643693224832465,0.0,35.97144539908767,35.76417972009312,95.0,64.0,99.0,59.0
14,-3.696639748189967e-05,-0.0023504142077967467,-0.0031485149803832813,0.0,39.14462289295245,38.533406570856066,95.0,64.0,99.0,59.0
15,-0.0025236192369105393,-0.008962615681268231,-0.002738092843972519,0.0,41.172024083958995,40.73742268939617,95.0,64.0,99.0,59.0
16,-0.003854529020425802,-0.0021819505425374358,-0.008778173320516747,0.0,44.81727117169399,44.230138164619646,95.0,64.0,99.0,59.0
17,0.01066311929444244,-0.0037252336901400823,-0.002431188764839805,0.0,47.59271528482634,46.63218639443633,95.0,64.0,99.0,59.0
18,-0.002219191255298563,0.0002910523092460342,7.745864848577078e-05,0.0,49.45221419407593,50.024804857312056,95.0,64.0,99.0,59.0
19,-0.0016896453094179505,-0.00552266655260174,-0.004299610599461342,0.0,52.01713827237181,52.06543136972277,95.0,64.0,99.0,59.0
20,-0.0005665179953945144,0.00549028510549834,-0.0023745980129405027,0.0,55.54796858999558,55.24655656714402,95.0,64.0,99.0,59.0
21,0.004227615833454996,0.00021742948193775343,0.008752866305266267,0.0,57.75522574815653,57.82284101667758,95.0,64.0,99.0,59.0
22,0.012730565031475318,-0.00552489678047161,0.0018584384640223878,0.0,60.477860776694506,60.788746236406006,95.0,64.0,99.0,59.0
23,-0.0006820837447675575,0.002340940387926235,0.010264744224285666,0.0,62.89258846739032,63.458973544906065,95.0,64.0,99.0,59.0
24,0.010111750793385619,0.0016977688900898682,-0.0043679025507582375,0.0,66.53750902551576,67.01303393312212,95.0,64.0,99.0,59.0
25,0.0005022445144846944,0.009968824187769133,-0.0024701887634725117,0.0,68.77544052795265,68.11686217152048,95.0,64.0,99.0,59.0
26,-0.004293873770895425,-0.0033631151150260367,-0.012163451186688094,0.0,71.5561142211938,73.03472602628574,95.0,64.0,99.0,59.0
27,-0.006597095405115642,-0.0033209574189716627,0.0008604176019061977,0.0,74.62054339246303,74.34687996326112,95.0,64.0,99.0,59.0
28,-0.0023720437021591376,-0.005881796360892571,0.010440423621433608,0.0,77.5862936558879,76.60365886851703,95.0,64.0,99.0,59.0
29,0.0048890371308727715,0.0025167098173936937,0.002364724293676784,0.0,79.76216959035601,80.07946388430736,95.0,64.0,99.0,59.0
30,-0.002346347539556078,0.003062840388405529,-0.003773486817165878,0.0,82.90556662877437,82.648390675836,95.0,64.0,99.0,59.0
31,0.0010593475088932927,0.002060605151378774,-0.013427544204578833,0.0,84.71887759425977,85.5269582387017,95.0,64.0,99.0,59.0
32,-0.005346514261745185,0.006243371374231391,-0.004884828782383075,0.0,88.30576016366139,88.9046410877037,95.0,64.0,99.0,59.0
33,-0.005297691894269922,0.005139016856296063,0.0021520629587121576,0.0,91.3082605679765,91.27163000896743,95.0,64.0,99.0,59.0
34,-0.0082786810850946,-0.0022939933034932317,-0.0022910737117883442,0.0,94.10407892440922,93.41049213375739,95.0,64.0,99.0,59.0
35,-0.01025066638309904,-0.007692104899597456,-0.001063619689571046,0.0,96.04457028235875,97.35396194283476,95.0,64.0,99.0,59.0
36,0.0031300742840544692,-0.002470600455080785,0.004118852349414138,0.0,99.39244562704023,98.85194088865725,95.0,64.0,99.0,59.0
37,-0.0033710154532660035,-0.011681585639498856,0.0010236995379001926,0.0,101.38388322896785,102.31397915898886,95.0,64.0,99.0,59.0
38,0.006532416648627053,0.007710656050152516,0.0010885814593872977,0.0,105.27633563621454,104.79817560949891,95.0,64.0,99.0,59.0
