Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
0,0.004921615728397917,0.004423143916255032,0.00835484823746058,0.0,0.0,1.0351469424773692,94.0,64.0,63.0,64.0
1,0.0014796227035795751,-0.008971003542082327,0.0018080228514631056,0.0,0.0,5.046141756502565,94.0,64.0,63.0,64.0
2,0.011730715344642206,-0.01348691588161142,-0.005979329450898722,0.0,0.0,9.017846485086254,94.0,64.0,63.0,64.0
3,0.006309715090863767,0.004756229426226619,-0.006598953247017457,0.0,0.0,13.540885943497038,94.0,64.0,63.0,64.0
4,0.006236082733805372,0.0006477298863036274,-0.008914903585688026,0.0,0.0,18.994671893103916,94.0,64.0,63.0,64.0
5,-0.010007257129526619,-0.009188883256272777,-0.0020416199625980353,0.0,0.0,25.417299659948284,94.0,64.0,63.0,64.0
6,0.0004411314322470743,-0.002504281157629765,-0.012839962095185066,0.0,0.0,30.245306461573904,94.0,64.0,63.0,64.0
7,0.014661408450672847,0.011775267206644922,0.019221665603879657,0.0,0.0,35.46508120923578,94.0,64.0,63.0,64.0
8,-0.007428262337156481,0.011050462866493234,0.013521150627149576,0.0,0.0,39.990745067432876,94.0,64.0,63.0,64.0
9,-0.01272546097499975,0.0030627837939284624,0.006336030730926979,0.0,0.0,45.74212543664539,94.0,64.0,63.0,64.0
10,-0.010026920094693154,0.01574041077174343,-0.009077364942007435,0.0,0.0,49.95447998148202,94.0,64.0,63.0,64.0
11,-0.005215369505494042,-0.0056180409921962595,0.002595563348494647,0.0,0.0,53.78112184006211,94.0,64.0,63.0,64.0
12,-0.0033268544152780994,0.003657427161292722,0.0008857800824539209,0.0,0.0,59.610416068209446,94.0,64.0,63.0,64.0
13,-0.009518792987207342,0.006940329100691617,0.00018480155644448417,0.0,0.0,65.85516101802496,94.0,64.0,63.0,64.0
14,0.007352254670213535,-0.012404833009324417,0.0014098613584147292,0.0,0.0,72.55462118723257,94.0,64.0,63.0,64.0
15,0.0011452671030509265,0.004272870660450917,0.006628918502345739,0.0,0.0,76.88558737074527,94.0,64.0,63.0,64.0
16,0.014004740357828315,-0.016368340059457195,-0.014174463698212833,0.0,0.0,80.40990700306016,94.0,64.0,63.0,64.0
17,-0.0017077611675473687,-0.005058345094081131,-0.009080019024363017,0.0,0.0,86.70308199979416,94.0,64.0,63.0,64.0
18,-0.002477588208696649,-0.0001319227993133152,-0.01913534198278021,0.0,0.0,90.36858105015935,94.0,64.0,63.0,64.0
19,-0.006587572444785072,0.005672486167565778,0.007946677309162556,0.0,0.0,95.38058459395305,94.0,64.0,63.0,64.0
20,-0.0009574532564730809,-0.00577534001149924,0.008336653471777802,0.0,0.0,101.86248212334131,94.0,64.0,63.0,64.0
21,0.012602855461116605,-0.003608267102948664,0.016848613962655506,0.0,0.0,104.85336126564859,94.0,64.0,63.0,64.0
22,-0.007448342412027182,-0.006813301615604242,0.009303733589812693,0.0,0.0,109.33425822632344,94.0,64.0,63.0,64.0
23,0.005390516842302825,-0.002569142671430934,-0.0028169032033323253,0.0,0.0,116.41566884421468,94.0,64.0,63.0,64.0
24,0.0016635008605092284,-0.013829197674718479,0.009728223793270808,0.0,0.0,121.49119309521477,94.0,64.0,63.0,64.0
25,0.0027217462021278897,0.003837478534380956,-0.010797955316528248,0.0,0.0,126.17090519030614,94.0,64.0,63.0,64.0
26,0.020049024824586453,0.012601789793101495,0.003565194528287943,0.0,0.0,131.5550920136506,94.0,64.0,63.0,64.0
27,0.015144795663839297,-0.006131648184746396,0.009106673664771012,0.0,0.0,134.20392413617787,94.0,64.0,63.0,64.0
28,-0.001887794238598089,-0.007867078852181504,0.007550870066690003,0.0,0.0,142.11456231052063,94.0,64.0,63.0,64.0
29,0.0013727235209016057,-0.00845805374338493,0.010787581284849341,0.0,0.0,146.63309151063942,94.0,64.0,63.0,64.0
30,-0.016263930159532133,0.013028164195980711,0.004054613668560219,0.0,0.0,150.18406882765572,94.0,64.0,63.0,64.0
31,-0.011496523036269878,0.009740152170685653,0.00469383836174904,0.0,0.0,157.1085944713872,94.0,64.0,63.0,64.0
32,0.005400904645497707,0.006704385595282846,0.011398260287841274,0.0,0.0,160.15051637905717,94.0,64.0,63.0,64.0
33,0.0012257415505360835,0.0008872380988237447,-0.023590038263029255,0.0,0.0,166.3201130059685,94.0,64.0,63.0,64.0
34,-0.0025295669852939454,-0.009406161736671165,-0.004233929550308582,0.0,0.0,172.32310617501884,94.0,64.0,63.0,64.0
35,-0.011572674797145495,-0.006961526090429724,-0.0019269765137393889,0.0,0.0,176.87317281671608,94.0,64.0,63.0,64.0
36,0.013821695613015498,0.0011480042735377755,0.00022715818840890768,0.0,0.0,181.2326004423401,94.0,64.0,63.0,64.0
37,-0.0021417149109050843,0.0008223717090230177,-0.019908688553571273,0.0,0.0,185.79515323903368,94.0,64.0,63.0,64.0
38,-0.005063014071961119,0.00045326023978445817,0.00826059310272468,0.0,0.0,191.05810381382406,94.0,64.0,63.0,64.0
39,0.011625623831791682,-0.001480130722897711,0.02059371315690276,0.0,0.0,195.094781424137,94.0,64.0,63.0,64.0
40,0.004715609147117891,0.010110741803716822,0.004698764592615828,0.0,0.0,202.0238329543038,94.0,64.0,63.0,64.0
41,0.0031841847907950545,-0.002554043334239339,-0.00684555961530647,0.0,0.0,206.5218167737696,94.0,64.0,63.0,64.0
42,-0.0075715627097776616,0.011609522700439589,0.0018609340828013947,0.0,0.0,212.75089431051683,94.0,64.0,63.0,64.0
43,-0.004753836379526289,0.013554930858247927,-0.011228522271722772,0.0,0.0,217.43584768205932,94.0,64.0,63.0,64.0
44,-0.012357010737058964,0.0004343021030584186,-0.006255875585312393,0.0,0.0,221.26272058631307,94.0,64.0,63.0,64.0
45,0.00938602945059897,-0.010826044189868267,-0.00821750929359801,0.0,0.0,225.82474493515312,94.0,64.0,63.0,64.0
46,-0.011385137386865824,0.01103862049808075,0.002549814854206896,0.0,0.0,230.66312607801288,94.0,64.0,63.0,64.0
47,-0.0008522746881554625,0.0166882347979286,0.0016578520704023433,0.0,0.0,235.46392607730755,94.0,64.0,63.0,64.0
48,0.004655154644394205,0.005140013465791023,-0.0065665497227005865,0.0,0.0,242.85496784047015,94.0,64.0,63.0,64.0
49,0.0036860407736618653,0.0011287223539905768,-0.0025777204167590217,0.0,0.0,247.21080414499815,94.0,64.0,63.0,64.0
50,-0.010549204202855333,-0.00041216265873115994,1.9127887536018896e-05,0.0,0.0,251.17396654940038,94.0,64.0,63.0,64.0
51,0.00873424510721586,0.004344865904634309,0.01191846433446004,0.0,0.0,256.3487670970462,94.0,64.0,63.0,64.0
52,-0.0029593379278723755,-0.011384260810401173,-0.013477377136817301,0.0,0.0,262.0524728756705,94.0,64.0,63.0,64.0
53,0.005489536077713537,-0.026354879085874517,0.0027082198325494152,0.0,0.0,266.38174287079914,94.0,64.0,63.0,64.0
54,-0.0045533812116352644,0.006542372817625137,0.010260254524371765,0.0,0.0,273.1800952427704,94.0,64.0,63.0,64.0
55,-0.00987145234306479,-0.020319355991131306,-0.004253868559208119,0.0,0.0,276.7176700464646,94.0,64.0,63.0,64.0
56,-0.004333470841588709,0.007001090703212899,0.00740705576457346,0.0,0.0,283.0848308929626,94.0,64.0,63.0,64.0
57,0.005219442585672423,-0.005091781010947725,0.01955179818813897,0.0,0.0,286.5922598087709,94.0,64.0,63.0,64.0
58,-0.004791332877801977,-0.003799995375006787,0.0033001545604717944,0.0,0.0,292.2752681892925,94.0,64.0,63.0,64.0
59,-0.009232579543511189,0.0025089202150040285,-0.007295464865945197,0.0,0.0,296.96016666313966,94.0,64.0,63.0,64.0
60,-0.01004770894673069,-0.010796620451560844,-0.0026924435678699087,0.0,0.0,303.77666688560515,94.0,64.0,63.0,64.0
61,-0.0036703604340568847,0.011160644584385065,-0.012023659629392641,0.0,0.0,307.81846135975894,94.0,64.0,63.0,64.0
62,0.0011355336122962584,0.0012080542548638944,-0.003412602688266185,0.0,0.0,311.4000142220156,94.0,64.0,63.0,64.0
63,0.017567213332123712,0.008632098988390206,-0.008965607733534572,0.0,0.0,318.0040406918536,94.0,64.0,63.0,64.0
64,-0.006054615813734186,0.007885437537241436,7.560666064240395e-05,0.0,0.0,322.1885195696362,94.0,64.0,63.0,64.0
65,0.02064921235870345,-0.0046599365983285386,0.004632790097468762,0.0,0.0,327.4522271595413,94.0,64.0,63.0,64.0
66,-0.002392811032210049,-0.008410827268612258,0.007560632831885353,0.0,0.0,332.4345685418955,94.0,64.0,63.0,64.0
67,-0.004557355038506098,-0.005719962232653757,-0.0027116098233977304,0.0,0.0,337.2956903957168,94.0,64.0,63.0,64.0
68,-0.002621974966484774,0.009939671321103523,0.0017454932324089923,0.0,0.0,343.82245276756765,94.0,64.0,63.0,64.0
69,0.004118129939102424,-9.376640304180719e-05,0.011631808643131685,0.0,0.0,346.55233937397537,94.0,64.0,63.0,64.0
70,0.0062777623178948486,0.02014024696269674,0.004614177758550117,0.0,0.0,352.98981108917326,94.0,64.0,63.0,64.0
71,0.022166724156779446,-0.0023386476671896656,0.0008276283255587863,0.0,0.0,357.1758503359248,94.0,64.0,63.0,64.0
72,-0.01704369884022316,0.01372811591064562,0.009645950995703529,0.0,0.0,362.204819856026,94.0,64.0,63.0,64.0
73,-0.0057582209649242695,0.0001464013699949712,-0.004555039105357102,0.0,0.0,367.9835566734204,94.0,64.0,63.0,64.0
74,0.003682581669613195,-0.0038816588946027093,-0.00902139748383079,0.0,0.0,372.97661966043495,94.0,64.0,63.0,64.0
75,0.002874153800335147,0.0021071033784813504,-0.0016391452357653854,0.0,0.0,377.4464794042527,94.0,64.0,63.0,64.0
76,-0.005731527016514455,-0.01214603392271602,-0.005965608176245579,0.0,0.0,381.4560623741743,94.0,64.0,63.0,64.0
77,0.00035027326919185225,0.0025839189990039912,0.0008891470673881946,0.0,0.0,387.13122917178043,94.0,64.0,63.0,64.0
78,0.010502338973654953,0.010843868493636789,-0.004263636667461729,0.0,0.0,391.9397304908018,94.0,64.0,63.0,64.0
79,-0.01561144927534507,-0.013970568131290646,0.010645744153812151,0.0,0.0,397.8757541541375,94.0,64.0,63.0,64.0
80,-0.0036709013889591577,0.007163342401324104,0.017154836979533572,0.0,0.0,402.919051426386,94.0,64.0,63.0,64.0
81,0.0042794017072409285,-0.0085196335448156,-0.013452710429458321,0.0,0.0,407.0460433801308,94.0,64.0,63.0,64.0
82,0.0011528140577418103,0.0025251671066679705,-0.002772267599423871,0.0,0.0,412.77507144095546,94.0,64.0,63.0,64.0
83,-0.002674756393859431,-0.02589531956950329,0.010762539277584797,0.0,0.0,417.18023492351557,94.0,64.0,63.0,64.0
84,0.004322869377118973,0.008820196505090852,0.0037116901898629202,0.0,0.0,422.26050158195375,94.0,64.0,63.0,64.0
85,0.018307526340719457,0.0053198914656914665,-0.009851880389880505,0.0,0.0,427.9077757950394,94.0,64.0,63.0,64.0
86,0.004981740716327434,0.0005100719227858833,-1.859749717353402e-05,0.0,0.0,432.50197299740387,94.0,64.0,63.0,64.0
87,-0.006362651221217913,0.0071564804539966465,-0.0002773225706265064,0.0,0.0,436.1016375744155,94.0,64.0,63.0,64.0
88,0.0036496300052159176,-0.010146094021481623,-0.010933810559176213,0.0,0.0,443.8040696656835,94.0,64.0,63.0,64.0
89,-0.007380941012792044,-0.0007415622935356384,-0.017466322511154497,0.0,0.0,449.06031589414897,94.0,64.0,63.0,64.0
90,-0.008879284896310739,0.004674723445637162,0.007914820585651624,0.0,0.0,454.58036938627316,94.0,64.0,63.0,64.0
91,0.0027076228955718773,-0.01225866807306049,-0.011070270056234972,0.0,0.0,457.8072387484324,94.0,64.0,63.0,64.0
92,-0.009620324365536816,0.003176038348843436,-0.0070339910140853786,0.0,0.0,463.7662976643731,94.0,64.0,63.0,64.0
93,0.0009229619160576011,0.01638338289613621,0.005460616064166906,0.0,0.0,468.5062171379058,94.0,64.0,63.0,64.0
94,-0.0027335848605294353,0.002646496340446618,-0.004243815347814719,0.0,0.0,473.5766758188076,94.0,64.0,63.0,64.0
95,-0.0031070393068994753,0.0066369605306774515,-0.0018804724156666179,0.0,0.0,479.64657330738424,94.0,64.0,63.0,64.0
96,0.017566283072708435,0.011183510120324439,-0.015678621276452975,0.0,0.0,483.66416979193787,94.0,64.0,63.0,64.0
97,0.007567833476159385,-0.013192587810154059,-0.014771397131147812,0.0,0.0,489.5537481075644,94.0,64.0,63.0,64.0
98,-0.0050498708479521145,0.006628838662895517,0.009984925669399874,0.0,0.0,493.22690543927706,94.0,64.0,63.0,64.0
99,-0.008152855395566138,0.011508936642811104,-0.013746135063348701,0.0,0.0,498.37839774377386,94.0,64.0,63.0,64.0
100,0.0027038419963935985,-0.008707476461625637,0.01180511440536046,0.0,0.0,504.08305367969217,94.0,64.0,63.0,64.0
101,0.002334965796274235,0.006090251500975182,-0.0026518590292487552,0.0,0.0,509.1149937735663,94.0,64.0,63.0,64.0
102,0.01082883943225095,-0.0008959699485221356,0.00013666324101910173,0.0,0.0,514.8560916628657,94.0,64.0,63.0,64.0
103,-0.0051419895669900266,0.003452625417894733,0.0032692955060115068,0.0,0.0,520.1735798513288,94.0,64.0,63.0,64.0
104,0.0025882076966796765,0.015951672331189316,-0.0012760449921528343,0.0,0.0,522.560516495822,94.0,64.0,63.0,64.0
105,-0.008810601806135071,0.007399402783542362,-0.005341361076233493,0.0,0.0,528.3822273625149,94.0,64.0,63.0,64.0
106,-0.0052962843433425446,-0.0009146122905476976,-0.010220950121253448,0.0,0.0,533.8577711031555,94.0,64.0,63.0,64.0
107,-0.007947802900491166,0.0007979334117931727,0.00626892137508577,0.0,0.0,538.7667674801519,94.0,64.0,63.0,64.0
108,0.000980360250128604,-0.016392544760770695,0.01884794482968101,0.0,0.0,545.8508382979124,94.0,64.0,63.0,64.0
109,0.011126938773171684,0.01992098238001246,0.0001437479698805098,0.0,0.0,549.0183200316098,94.0,64.0,63.0,64.0
110,0.018105852620978545,0.0038116450861961134,0.017356788003059388,0.0,0.0,553.6186627780602,94.0,64.0,63.0,64.0
111,-0.0026411969656366303,0.0038049551310164404,-0.019314301070802734,0.0,0.0,560.0483154178618,94.0,64.0,63.0,64.0
