Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,-2.78186,0.200758,-0.0301685,-45.7854,170.599,1002.39,64,64,64,80
2,-2.78046,0.197426,-0.0283232,-48.1159,176.499,1000.93,64,64,64,80
3,-2.7807,0.202073,-0.0296921,-50.2198,182.127,999.809,64,64,64,80
4,-2.77575,0.2004,-0.0344612,-52.6455,187.672,998.883,64,64,64,80
5,-2.7804,0.203192,-0.0291027,-54.5844,193.41,997.792,64,64,64,80
6,-2.78079,0.196474,-0.0256011,-56.9155,199.102,996.736,64,64,64,80
7,-2.76854,0.208619,-0.041485,-58.4937,204.098,996.92,64,64,64,80
8,-2.77568,0.203076,-0.0374936,-60.7283,209.585,995.944,64,64,64,80
9,-2.77675,0.205143,-0.0315339,-62.3584,214.974,995.346,64,64,64,80
10,-2.77088,0.203482,-0.0457701,-64.208,219.955,995.301,64,64,64,80
11,-2.77654,0.206143,-0.0377157,-65.7012,225.067,994.577,68,64,64,80
12,-2.77302,0.202669,-0.0408974,-67.4017,229.986,994.163,68,64,64,80
13,-2.77389,0.201241,-0.0407198,-68.8576,234.791,993.65,68,64,64,80
14,-2.76612,0.204605,-0.0504935,-70.1547,239.305,993.745,68,64,64,80
15,-2.77604,0.203175,-0.0319863,-71.1573,244.157,992.684,68,64,64,80
16,-2.76308,0.204558,-0.0545998,-72.5084,248.164,993.125,68,64,64,80
17,-2.77152,0.200577,-0.0445204,-73.6817,252.652,992.332,68,64,64,80
18,-2.77204,0.201956,-0.0454576,-74.7357,256.737,991.929,68,64,64,80
19,-2.76962,0.203086,-0.042536,-75.3839,260.727,991.66,68,64,64,80
20,-2.76687,0.208663,-0.0431732,-75.9409,264.558,991.412,68,64,64,80
21,-2.77433,0.199241,-0.0371988,-76.9754,268.48,990.511,72,64,64,80
22,-2.7611,0.206204,-0.0532829,-77.4023,271.643,990.833,72,64,64,80
23,-2.77041,0.203576,-0.0421595,-77.9353,275.434,989.975,72,64,64,80
24,-2.76883,0.19727,-0.047222,-78.795,278.73,989.506,72,64,64,80
25,-2.75784,0.204937,-0.06043,-78.9667,281.465,989.466,72,64,64,80
26,-2.7671,0.193368,-0.0510898,-79.6648,284.825,988.237,72,64,64,80
27,-2.76561,0.196834,-0.0571832,-79.8984,287.53,987.693,72,64,64,80
28,-2.76401,0.197705,-0.0536072,-79.9381,290.383,986.808,72,64,64,80
29,-2.75611,0.202887,-0.0627194,-79.8566,292.571,986.313,72,64,64,80
30,-2.77227,0.195191,-0.0396883,-80.1282,295.609,984.38,72,64,64,80
31,-2.76353,0.203746,-0.0553061,-80.0084,297.416,984.011,76,64,64,80
32,-2.76254,0.197892,-0.0567601,-80.1561,299.619,982.939,76,64,64,80
33,-2.75609,0.197208,-0.06475,-80.2079,301.497,982.283,76,64,64,80
34,-2.76207,0.190707,-0.0600721,-80.4017,303.507,980.795,76,64,64,80
35,-2.76098,0.193684,-0.0570138,-80.2259,305.098,979.703,76,64,64,80
36,-2.76025,0.197956,-0.0568148,-79.928,306.569,978.704,76,64,64,80
37,-2.76492,0.199733,-0.0495088,-79.5366,308.188,977.535,76,64,64,80
38,-2.7529,0.207858,-0.0637504,-79.3144,309.114,977.321,76,64,64,80
39,-2.74959,0.209332,-0.0698424,-79.1797,310.127,976.54,76,64,64,80
40,-2.75943,0.204402,-0.0550021,-79.1433,311.584,975.057,76,64,64,80
41,-2.75643,0.209168,-0.0611905,-78.849,312.231,974.525,80,64,64,80
42,-2.75563,0.206167,-0.063792,-78.9107,313.097,973.587,80,64,64,80
43,-2.76064,0.199926,-0.0536573,-79.0904,314.127,972.327,80,64,64,80
44,-2.75839,0.202531,-0.0566556,-78.9326,314.639,971.783,80,64,64,80
45,-2.75775,0.203271,-0.0589439,-78.7297,315.138,971.228,80,64,64,80
46,-2.75992,0.206376,-0.0566454,-78.4065,315.657,970.443,80,64,64,80
