Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
1,0,0.202035,0.201985,0.110196,13.5177,-1.53016,5.19155
2,0,0.201694,0.201347,0.110104,13.5261,-1.52042,5.19166
3,0,0.201293,0.201231,0.110246,13.5311,-1.4766,5.18978
4,0,0.122913,0.105049,3.24419,13.2198,-0.739046,5.05706
5,0,0.121775,0.106382,3.2442,13.2191,-0.642509,5.0488
6,0,0.122877,0.105234,3.24437,13.2401,-0.726259,5.07128
7,0,0.12153,0.106793,3.24372,13.191,-0.673386,5.05154
8,0,0.122192,0.105532,3.24396,13.2209,-0.666971,5.05062
9,0,0.120648,0.106864,3.2438,13.1999,-0.667903,5.07509
10,0,0.120512,0.106107,3.24422,13.2453,-0.651564,5.0823
11,0,0.122332,0.105503,3.24406,13.2135,-0.704287,5.04629
12,0,0.12284,0.105439,3.24423,13.2056,-0.728864,5.07744
13,0,0.122235,0.105512,3.2439,13.2114,-0.708241,5.06709
14,0,0.121794,0.10573,3.24388,13.2147,-0.7099,5.05658
15,0,0.120199,0.106178,3.24406,13.2184,-0.643584,5.05927
16,0,0.122173,0.106259,3.24409,13.198,-0.71706,5.09414
17,0,0.121776,0.105761,3.24402,13.2195,-0.722588,5.07498
18,0,0.121757,0.106355,3.24407,13.2188,-0.661632,5.03921
19,0,0.122521,0.105819,3.24415,13.2076,-0.702285,5.06741
20,0,0.121528,0.10574,3.2439,13.1972,-0.69869,5.07906
21,0,0.123407,0.10491,3.24409,13.2182,-0.719373,5.03309
22,0,0.122931,0.105961,3.24413,13.2154,-0.707054,5.07082
23,0,0.12223,0.10606,3.24418,13.2019,-0.685776,5.06605
24,0,0.122117,0.105789,3.2437,13.2019,-0.736494,5.09352
25,0,0.122194,0.105792,3.24396,13.2075,-0.688987,5.05726
26,0,0.1219,0.106005,3.24407,13.2276,-0.632953,5.02681
27,0,0.122065,0.106441,3.24414,13.21,-0.68202,5.07317
28,0,0.121009,0.106246,3.244,13.2059,-0.651983,5.05942
