Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0569391,0.0165674,0.0439801,-280.402,519.547,-20.5584
2,0,0.0570141,0.0172268,0.043905,-280.392,519.565,-20.5403
3,0,0.0567967,0.016435,0.0436589,-280.399,519.56,-20.5434
4,0,0.0577079,0.0180787,0.0439083,-280.385,519.611,-20.5121
5,0,0.0563498,0.0156593,0.0434756,-280.381,519.614,-20.5871
6,0,0.0563948,0.0163334,0.0434576,-280.374,519.584,-20.5774
7,0,0.0575708,0.0170623,0.0440384,-280.366,519.559,-20.5488
8,0,0.0577288,0.0175742,0.0437893,-280.424,519.542,-20.4947
9,0,0.057136,0.016699,0.0439608,-280.39,519.567,-20.5427
10,0,0.0579777,0.0177387,0.0438778,-280.401,519.543,-20.4773
11,0,0.0569711,0.0174769,0.0437721,-280.372,519.611,-20.5254
12,0,0.0575756,0.0174497,0.0437989,-280.38,519.612,-20.5276
13,0,0.0573273,0.0171725,0.043764,-280.358,519.555,-20.555
14,0,0.0575008,0.017666,0.0439122,-280.402,519.606,-20.5023
15,0,0.0566078,0.0167731,0.0441053,-280.422,519.506,-20.5336
16,0,0.0565744,0.0168167,0.0435582,-280.394,519.582,-20.55
17,0,0.0569379,0.017653,0.0440412,-280.404,519.521,-20.4813
18,0,0.0556837,0.0150757,0.0436701,-280.377,519.529,-20.6039
19,0,0.056882,0.0169404,0.0434072,-280.425,519.577,-20.5496
20,0,0.057781,0.0182145,0.0436401,-280.42,519.575,-20.4521
21,0,0.0569622,0.0169964,0.0434612,-280.376,519.595,-20.5581
22,0,0.056334,0.0170306,0.0437456,-280.392,519.54,-20.5468
23,0,0.0568598,0.017101,0.0436029,-280.403,519.569,-20.5335
24,0,0.0566266,0.0169373,0.0434946,-280.358,519.613,-20.5618
25,0,0.0565571,0.0160382,0.0437245,-280.391,519.611,-20.5716
26,0,0.0573597,0.0172813,0.0438474,-280.398,519.561,-20.5387
27,0,0.0573456,0.0176319,0.0440361,-280.414,519.536,-20.4946
28,0,0.0564738,0.0167609,0.0435822,-280.363,519.653,-20.6102
29,0,0.057276,0.0176767,0.0438459,-280.422,519.567,-20.5191
30,0,0.0568213,0.0164377,0.04389,-280.352,519.609,-20.5683
31,0,0.0568589,0.0159691,0.0443004,-280.379,519.487,-20.5708
32,0,0.0567694,0.0162132,0.043416,-280.363,519.613,-20.6104
33,0,0.0575268,0.0170555,0.043926,-280.394,519.611,-20.5599
34,0,0.0576076,0.0175587,0.0439896,-280.384,519.594,-20.5245
35,0,0.0565152,0.0167647,0.0433541,-280.374,519.579,-20.5641
36,0,0.056983,0.0170789,0.0438668,-280.392,519.595,-20.5487
37,0,0.0580873,0.01833,0.0435914,-280.399,519.615,-20.4693
38,0,0.0581243,0.0183084,0.0436258,-280.4,519.554,-20.4576
39,0,0.0572194,0.0177653,0.0429331,-280.341,519.645,-20.5158
40,0,0.0579487,0.0179422,0.042992,-280.294,519.657,-20.5018
41,0,0.0584248,0.0178699,0.0424834,-280.274,519.683,-20.4972
42,0,0.0595321,0.0193944,0.0420084,-280.228,519.741,-20.394
43,0,0.0601948,0.0205262,0.0406494,-280.153,519.779,-20.3828
44,0,0.0621013,0.0230929,0.0399409,-280.083,519.861,-20.2781
45,0,0.0629798,0.0241479,0.0377903,-279.957,520.017,-20.2383
46,0,0.0645986,0.0255208,0.0372495,-279.913,520.078,-20.1739
47,0,0.0652214,0.0255159,0.0362579,-279.8,520.129,-20.1722
48,0,0.0652088,0.026118,0.0360531,-279.783,520.175,-20.1185
49,0,0.0657539,0.0269045,0.0350965,-279.745,520.236,-20.1111
50,0,0.0665747,0.0259221,0.035155,-279.702,520.244,-20.0775
51,0,0.0668448,0.0275819,0.0347239,-279.725,520.222,-20.0654
52,0,0.0666762,0.0277885,0.0347834,-279.673,520.211,-20.0425
53,0,0.067153,0.02832,0.0344664,-279.655,520.293,-20.0336
54,0,0.0669476,0.0277797,0.0341836,-279.678,520.289,-20.0714
55,0,0.0668494,0.0280574,0.0341098,-279.64,520.321,-20.0303
56,0,0.0669723,0.0283925,0.0345711,-279.661,520.275,-20.0505
57,0,0.0668732,0.0280343,0.0339697,-279.666,520.304,-20.0401
58,0,0.0669071,0.0272789,0.0340582,-279.626,520.425,-20.0949
59,0,0.0673595,0.0282514,0.0344631,-279.64,520.308,-20.0439
60,0,0.0671331,0.0278317,0.0343025,-279.625,520.326,-20.072
61,0,0.06735,0.0283152,0.0343081,-279.647,520.336,-20.0726
62,0,0.0668798,0.0272147,0.0337847,-279.645,520.306,-20.0841
63,0,0.0672347,0.0286799,0.0342802,-279.615,520.337,-20.0469
64,0,0.0670642,0.0278012,0.0344935,-279.634,520.32,-20.0727
65,0,0.0669744,0.0278938,0.0342669,-279.658,520.3,-20.0555
66,0,0.067072,0.0280619,0.0342651,-279.656,520.28,-20.0684
67,0,0.066682,0.0282247,0.0344081,-279.659,520.301,-20.0629
68,0,0.0675752,0.0278341,0.0341232,-279.627,520.354,-20.0843
69,0,0.066898,0.0275061,0.0343142,-279.657,520.233,-20.0227
70,0,0.0670147,0.0277838,0.0344256,-279.623,520.304,-20.0591
71,0,0.0667512,0.0274716,0.0342284,-279.639,520.279,-20.0501
72,0,0.0672428,0.0284172,0.034369,-279.646,520.356,-20.0746
73,0,0.0670787,0.0281391,0.034188,-279.645,520.355,-20.0436
74,0,0.0670975,0.0283624,0.0339752,-279.62,520.312,-20.0582
75,0,0.0673691,0.0279841,0.034067,-279.659,520.316,-20.0344
76,0,0.0668186,0.0279615,0.034402,-279.648,520.349,-20.0676
77,0,0.0670017,0.0279766,0.0341966,-279.65,520.33,-20.0849
78,0,0.0668031,0.0282778,0.0341325,-279.644,520.273,-20.0719
79,0,0.066718,0.0278408,0.0341183,-279.662,520.297,-20.0471
80,0,0.0670334,0.0277821,0.0344081,-279.671,520.274,-20.0217
81,0,0.0675903,0.0284263,0.0345453,-279.66,520.344,-20.0515
82,0,0.0670464,0.0279052,0.0346065,-279.652,520.292,-20.0536
83,0,0.0668143,0.027501,0.0342431,-279.645,520.292,-20.0545
84,0,0.0670063,0.0275294,0.0341973,-279.628,520.285,-20.0549
85,0,0.0666573,0.0276988,0.0338502,-279.636,520.302,-20.0592
86,0,0.0666272,0.0281247,0.0339907,-279.663,520.331,-20.0585
87,0,0.0673268,0.0284037,0.0341393,-279.64,520.296,-20.0506
88,0,0.0672091,0.0279556,0.0339666,-279.629,520.327,-20.0786
89,0,0.0669484,0.0275578,0.0340182,-279.629,520.32,-20.0752
90,0,0.066859,0.0280933,0.0344082,-279.663,520.282,-20.0575
91,0,0.0666202,0.0274469,0.0347703,-279.632,520.353,-20.0551
