,timestamp,up/down pot,rotation pot,front/back pot,left/right pot,camera pot
0,0.0,b'1',b' ',b'r',b'e',b'c'
1,0.030696868896484375,b'e',b'i',b'v',b'e',b'd'
2,0.04462146759033203,b'\r',b'\n',b'1',b' ',b'd'
3,0.06608247756958008,b'o',b'n',b'e',b'\r',b'\n'
4,0.07887768745422363,b'2',b' ',b'r',b'e',b'c'
5,0.09726595878601074,b'e',b'i',b'v',b'e',b'd'
6,0.11327815055847168,b'\r',b'\n',b'0',b'\t',b'6'
7,0.12886643409729004,b'2',b'2',b'\r',b'\n',b'1'
8,0.14186477661132812,b'\t',b'5',b'1',b'\r',b'\n'
9,0.15795278549194336,b'2',b'\t',b'5',b'2',b'\r'
10,0.17591357231140137,b'\n',b'3',b'\t',b'6',b'2'
11,0.1844193935394287,b'0',b'\r',b'\n',b'4',b'\t'
12,0.20526623725891113,b'3',b'3',b'7',b'\r',b'\n'
13,0.22060894966125488,b'2',b' ',b'd',b'o',b'n'
14,0.23034214973449707,b'e',b'\r',b'\n',b'3',b' '
15,0.24618911743164062,b'r',b'e',b'c',b'e',b'i'
16,0.26212382316589355,b'v',b'e',b'd',b'\r',b'\n'
17,0.27055931091308594,b'0',b'\t',b'6',b'2',b'2'
18,0.2948141098022461,b'\r',b'\n',b'1',b'\t',b'6'
19,0.3119471073150635,b'2',b'2',b'\r',b'\n',b'2'
20,0.3293135166168213,b'\t',b'5',b'2',b'\r',b'\n'
21,0.3453176021575928,b'3',b'\t',b'6',b'1',b'0'
22,0.36293673515319824,b'\r',b'\n',b'4',b'\t',b'3'
23,0.3820309638977051,b'3',b'8',b'\r',b'\n',b'3'
24,0.3958132266998291,b' ',b'd',b'o',b'n',b'e'
25,0.39972996711730957,b'\r',b'\n',b'4',b' ',b'r'
26,0.41790270805358887,b'e',b'c',b'e',b'i',b'v'
27,0.4374382495880127,b'e',b'd',b'\r',b'\n',b'0'
28,0.4520599842071533,b'\t',b'6',b'2',b'2',b'\r'
29,0.46334004402160645,b'\n',b'1',b'\t',b'6',b'2'
30,0.47911572456359863,b'3',b'\r',b'\n',b'2',b'\t'
31,0.495877742767334,b'5',b'2',b'\r',b'\n',b'3'
32,0.5029864311218262,b'\t',b'6',b'2',b'1',b'\r'
33,0.5134522914886475,b'\n',b'4',b'\t',b'3',b'3'
34,0.5320029258728027,b'8',b'\r',b'\n',b'@',b'@'
35,0.5470755100250244,b'@',b'@',b'@',b'@',b'@'
36,0.5673456192016602,b'@',b'@',b'@',b'\xff',b'\xff'
37,0.5777976512908936,b'\xff',b'\xff',b'@',b'\xff',b'\xff'
38,0.5883305072784424,b'\xff',b'\xff',b'@',b'\xff',b'\xff'
39,0.6078553199768066,b'\xff',b'\xff',b'@',b'\xff',b'\xff'
40,0.618314266204834,b'\xff',b'\xff',b'@',b'\xff',b'\xff'
