level_0,index,RX,RY,RZ,TX,TY,TZ,timestamp,up/down pot,rotation pot,front/back pot,left/right pot
0,0,-0.0141636,0.0556356,0.0687881,-720.071,204.679,1367.06,0.0,b'1',b' ',b'r',b'e'
1,1,-0.0153178,0.0552944,0.0685757,-725.709,217.707,1358.24,0.0306968688964843,b'e',b'i',b'v',b'e'
2,2,-0.0165013,0.05615,0.0678868,-730.842,231.769,1349.29,0.044621467590332,b'\r',b'\n',b'1',b' '
3,3,-0.0175827,0.056537,0.0663462,-735.41,246.465,1340.18,0.06608247756958,b'o',b'n',b'e',b'\r'
4,4,-0.0179042,0.0561163,0.0655652,-739.642,262.048,1330.85,0.0788776874542236,b'2',b' ',b'r',b'e'
5,5,-0.0187341,0.0547875,0.0645349,-743.534,278.461,1321.39,0.0972659587860107,b'e',b'i',b'v',b'e'
6,6,-0.0196796,0.054761,0.0651908,-746.926,295.559,1311.97,0.1132781505584716,b'\r',b'\n',b'0',b'\t'
7,7,-0.0187649,0.0539623,0.0639825,-749.999,313.601,1302.43,0.12886643409729,b'2',b'2',b'\r',b'\n'
8,8,-0.0182481,0.0536502,0.0636169,-752.506,332.629,1292.83,0.1418647766113281,b'\t',b'5',b'1',b'\r'
9,9,-0.0180758,0.0539874,0.0634183,-754.62,352.336,1283.2,0.1579527854919433,b'2',b'\t',b'5',b'2'
10,10,-0.0193872,0.0533981,0.0626722,-756.555,372.942,1273.33,0.1759135723114013,b'\n',b'3',b'\t',b'6'
11,11,-0.0212289,0.0543173,0.0645664,-757.838,394.369,1263.52,0.1844193935394287,b'0',b'\r',b'\n',b'4'
12,12,-0.0204067,0.0545305,0.0619371,-758.87,416.633,1253.58,0.2052662372589111,b'3',b'3',b'7',b'\r'
13,13,-0.0212063,0.0545929,0.0639329,-759.35,439.629,1243.56,0.2206089496612548,b'2',b' ',b'd',b'o'
14,14,-0.0197021,0.0523327,0.0628582,-759.56,463.544,1233.53,0.230342149734497,b'e',b'\r',b'\n',b'3'
15,15,-0.0200488,0.0548472,0.0631702,-759.228,488.221,1223.51,0.2461891174316406,b'r',b'e',b'c',b'e'
16,16,-0.0193675,0.0561847,0.0642086,-758.507,513.706,1213.54,0.2621238231658935,b'v',b'e',b'd',b'\r'
17,17,-0.0161343,0.0543374,0.0623332,-757.362,539.975,1203.39,0.2705593109130859,b'0',b'\t',b'6',b'2'
18,18,-0.0136092,0.0555975,0.0635766,-755.917,566.924,1193.25,0.2948141098022461,b'\r',b'\n',b'1',b'\t'
19,19,-0.0117848,0.0566308,0.064692,-753.938,594.573,1182.91,0.3119471073150635,b'2',b'2',b'\r',b'\n'
20,20,-0.0099628,0.0552143,0.066949,-752.158,622.916,1172.24,0.3293135166168213,b'\t',b'5',b'2',b'\r'
21,21,-0.0090372,0.0559225,0.0666675,-749.123,651.9,1161.57,0.3453176021575928,b'3',b'\t',b'6',b'1'
22,22,-0.00734428,0.0567459,0.0661692,-746.139,681.458,1150.65,0.3629367351531982,b'\r',b'\n',b'4',b'\t'
23,23,-0.00781084,0.0570596,0.0663607,-742.598,711.844,1139.56,0.3820309638977051,b'3',b'8',b'\r',b'\n'
24,24,-0.00581096,0.058274,0.0662169,-738.725,742.727,1128.5,0.3958132266998291,b' ',b'd',b'o',b'n'
25,25,-0.00587671,0.0569019,0.0658749,-734.406,774.188,1117.37,0.3997299671173095,b'\r',b'\n',b'4',b' '
26,26,-0.00665375,0.05827,0.0689619,-730.202,806.007,1106.26,0.4179027080535888,b'e',b'c',b'e',b'i'
27,27,-0.00169857,0.0543068,0.0558623,-724.28,838.1,1095.72,0.4374382495880127,b'e',b'd',b'\r',b'\n'
28,28,-0.000699408,0.0550341,0.0551527,-718.828,871.314,1084.82,0.4520599842071533,b'\t',b'6',b'2',b'2'
29,29,-0.00251484,0.0529919,0.0591306,-713.623,904.814,1073.71,0.4633400440216064,b'\n',b'1',b'\t',b'6'
30,30,0.000247324,0.0522475,0.057626,-707.371,939.266,1062.88,0.4791157245635986,b'3',b'\r',b'\n',b'2'
31,31,-0.00255434,0.0532152,0.0646129,-700.889,973.568,1052.01,0.495877742767334,b'5',b'2',b'\r',b'\n'
32,32,-0.00081213,0.0534685,0.0643237,-694.578,1008.7,1040.77,0.5029864311218262,b'\t',b'6',b'2',b'1'
33,33,0.000617082,0.0531594,0.0643873,-687.666,1044.41,1029.58,0.5134522914886475,b'\n',b'4',b'\t',b'3'
34,34,0.00152661,0.0516006,0.0652824,-680.555,1080.61,1018.31,0.5320029258728027,b'8',b'\r',b'\n',b'@'
35,35,0.00288026,0.0505218,0.0658493,-673.309,1117.13,1006.89,0.5470755100250244,b'@',b'@',b'@',b'@'
36,36,0.00650984,0.0488463,0.063817,-665.917,1154.13,995.505,0.5673456192016602,b'@',b'@',b'@',b'\xff'
37,37,0.00824029,0.0483852,0.0624982,-658.008,1191.66,984.289,0.5777976512908936,b'\xff',b'\xff',b'@',b'\xff'
38,38,0.0085521,0.0494731,0.0618815,-650.171,1229.57,973.136,0.5883305072784424,b'\xff',b'\xff',b'@',b'\xff'
39,39,0.00904409,0.0471558,0.063329,-641.9,1267.99,962.073,0.6078553199768066,b'\xff',b'\xff',b'@',b'\xff'
40,40,0.0127138,0.0500856,0.0595772,-633.341,1307.0,951.297,0.618314266204834,b'\xff',b'\xff',b'@',b'\xff'
