Frame,RX,RY,RZ,TX,TY,TZ
110,0.00791373,0.00805675,0.0680617,-220.679,-1317.8,542.009
111,0.0115783,0.0106203,0.0671991,-227.31,-1314.04,535.326
112,0.0170889,0.0123984,0.0676232,-233.77,-1309.88,528.67
113,0.0235366,0.017559,0.0687342,-240.011,-1305.14,522.026
114,0.025734,0.019473,0.0667952,-246.43,-1299.99,515.661
115,0.0314222,0.0236852,0.0676661,-252.684,-1294.36,509.242
116,0.032828,0.0244246,0.0669559,-258.845,-1288.46,503.112
117,0.0316632,0.0304116,0.067081,-264.739,-1281.94,496.953
118,0.0174603,0.033052,0.0670859,-270.555,-1274.8,491.177
119,-0.00230163,0.0406076,0.0639078,-275.91,-1266.95,485.48
120,-0.0232049,0.0479187,0.0617746,-280.935,-1258.38,480.023
121,-0.0402144,0.0541517,0.0609474,-285.683,-1248.87,474.564
122,-0.0511482,0.0550204,0.0588889,-290.034,-1238.53,469.267
123,-0.0573505,0.0540543,0.0591355,-294.244,-1227.13,464.396
124,-0.0594091,0.0528239,0.0593215,-298.058,-1214.43,459.826
125,-0.0608073,0.054152,0.0579583,-301.207,-1200.53,455.206
126,-0.0609447,0.0525463,0.0583296,-304.101,-1185.29,450.962
127,-0.0594149,0.0548978,0.0578535,-306.513,-1168.69,446.838
128,-0.0588799,0.0520909,0.0573266,-308.521,-1150.86,442.88
129,-0.0581809,0.0540907,0.0558796,-310.185,-1131.82,439.162
130,-0.0580785,0.0512223,0.0558077,-311.548,-1111.39,435.607
131,-0.0597842,0.0542161,0.0558921,-312.458,-1089.84,432.39
132,-0.0607038,0.0540266,0.0555927,-312.95,-1066.96,429.341
133,-0.0617826,0.052624,0.0554465,-313.1,-1042.76,426.401
134,-0.0640959,0.0514029,0.0542547,-312.751,-1017.23,423.792
135,-0.0635102,0.0516264,0.0550646,-312.155,-990.505,421.523
136,-0.0634581,0.0520499,0.0535712,-311.234,-962.599,419.491
137,-0.0636662,0.0522405,0.0541114,-309.896,-933.343,417.755
138,-0.0629398,0.0516894,0.0541314,-308.205,-902.8,416.247
139,-0.0637004,0.0484283,0.054905,-306.081,-870.994,414.868
140,-0.0632886,0.0509572,0.0551226,-303.62,-838.158,413.675
141,-0.0610798,0.0519539,0.0554517,-300.948,-804.029,412.796
142,-0.0613741,0.0491006,0.0559131,-297.829,-768.738,411.969
143,-0.0576497,0.0491511,0.054726,-294.615,-732.29,411.502
144,-0.055875,0.0507268,0.0546766,-290.812,-694.773,411.192
145,-0.0557498,0.0492785,0.0542494,-286.891,-656.106,411.125
146,-0.0552404,0.0493302,0.0535178,-282.721,-616.298,411.171
147,-0.0560095,0.0469844,0.0540247,-278.092,-575.443,411.299
148,-0.0554515,0.0458535,0.0523636,-273.306,-533.488,411.755
149,-0.0540774,0.0474714,0.0517963,-268.162,-490.503,412.386
150,-0.0537201,0.0457348,0.0507945,-262.803,-446.424,413.122
151,-0.0527983,0.0475397,0.0503857,-257.193,-401.453,414.0
152,-0.0517187,0.0464684,0.0495274,-251.254,-355.425,414.798
153,-0.0508773,0.0447209,0.0488991,-245.106,-308.409,415.622
154,-0.0495251,0.0445004,0.0480598,-238.6,-260.388,416.504
155,-0.0479132,0.0445285,0.0475658,-232.007,-211.493,417.277
156,-0.0470675,0.0442541,0.0474273,-225.085,-161.792,417.979
157,-0.0451471,0.0448178,0.047328,-217.876,-111.106,418.71
158,-0.0428448,0.0414213,0.0524358,-210.803,-59.5803,419.466
159,-0.0425564,0.0442096,0.0514048,-203.075,-7.23046,420.02
160,-0.0412999,0.0443031,0.052788,-195.081,45.8485,420.487
161,-0.0413799,0.0457928,0.0533514,-186.751,99.7402,420.868
162,-0.0394304,0.0489812,0.0524801,-178.197,154.468,421.272
163,-0.0423652,0.0432143,0.0529818,-169.425,209.944,421.245
164,-0.0392415,0.0468099,0.0475886,-160.195,266.889,421.151
165,-0.0378248,0.0475742,0.0492564,-150.805,323.925,421.264
166,-0.0364812,0.043427,0.0486808,-140.998,381.397,421.05
167,-0.0325265,0.048389,0.0477965,-131.059,439.344,420.957
168,-0.0273294,0.0483075,0.0491158,-120.669,498.018,420.691
169,-0.0242185,0.0477362,0.0501919,-109.971,557.382,420.15
170,-0.0248462,0.037403,0.0503751,-99.0031,616.954,419.089
