<<<<<<< HEAD
Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
260,0.179196,0.00820694,0.0864145,143.915,618.078,1357.23,64,0,64
261,0.179598,0.0117775,0.0863595,136.075,605.85,1351.68,64,0,64
262,0.180294,0.0116804,0.0861934,128.425,592.538,1345.83,64,0,64
263,0.181678,0.0140669,0.0869382,120.516,578.066,1339.64,64,0,64
264,0.18464,0.0150138,0.0869815,113.009,562.568,1333.36,64,0,64
265,0.186108,0.0155502,0.0874482,105.391,546.029,1326.75,64,0,64
266,0.189458,0.0159656,0.0885032,97.8934,528.228,1319.84,64,0,64
267,0.1924,0.0161829,0.0885672,90.5476,509.356,1312.8,64,0,64
268,0.194484,0.0167053,0.0894086,83.2202,489.375,1305.5,64,0,64
269,0.195245,0.0179249,0.0898059,76.0144,468.175,1297.98,64,0,64
270,0.195192,0.0174187,0.0907225,68.8943,445.896,1290.39,64,0,64
271,0.19526,0.0182032,0.091181,61.9095,422.368,1282.78,64,0,64
272,0.19567,0.0187444,0.0911777,54.9733,397.717,1275.12,64,0,64
273,0.195006,0.0185504,0.0918744,48.2305,371.792,1267.41,64,0,64
274,0.194356,0.020077,0.0925373,41.6302,344.832,1259.71,64,0,64
275,0.194484,0.0188901,0.092655,35.0053,316.685,1251.88,64,0,64
276,0.193899,0.0193677,0.0932112,28.6507,287.466,1244.07,64,0,64
277,0.193729,0.0177548,0.0939481,22.3509,257.065,1236.09,64,0,64
278,0.194121,0.0195104,0.0942165,16.2814,225.572,1228.01,64,0,64
279,0.193331,0.0193039,0.0952379,10.3446,193.108,1219.84,64,0,64
280,0.192699,0.0199388,0.0953753,4.49017,159.426,1211.51,64,0,64
281,0.192137,0.0209866,0.0952926,-1.23019,124.79,1203.03,64,0,64
282,0.19089,0.0207241,0.0957534,-6.73966,89.144,1194.52,64,0,64
283,0.189068,0.022324,0.0955488,-12.1664,52.4247,1185.94,64,0,64
284,0.188353,0.0224109,0.0956508,-17.395,14.8163,1177.36,64,0,64
285,0.186733,0.0215014,0.0951792,-22.4845,-23.7917,1168.72,64,0,64
286,0.186651,0.0215594,0.0955468,-27.4177,-63.4159,1159.96,64,0,64
287,0.185593,0.0211245,0.0958266,-32.1917,-103.956,1151.09,64,0,64
288,0.184565,0.021204,0.0957816,-36.8,-145.388,1142.1,64,0,64
289,0.184775,0.0214561,0.0966149,-41.2583,-187.646,1133.08,64,0,64
290,0.183926,0.0227683,0.0971853,-45.5637,-230.877,1124.05,64,0,64
291,0.184153,0.0239559,0.0971881,-49.7305,-275.06,1114.98,64,0,64
292,0.184688,0.0251235,0.0976882,-53.6657,-320.076,1105.89,64,0,64
293,0.184653,0.0243819,0.0981552,-57.5404,-365.852,1096.82,64,0,64
294,0.183615,0.0216646,0.0993833,-61.193,-412.646,1087.72,64,0,64
295,0.182475,0.0211398,0.0982141,-64.7776,-460.172,1078.58,64,0,64
296,0.180028,0.0180239,0.0980154,-68.1287,-508.577,1069.27,64,0,64
297,0.178687,0.016773,0.0974212,-71.3627,-557.768,1059.83,64,0,64
298,0.177691,0.015423,0.0972694,-74.4564,-607.665,1050.22,64,0,64
299,0.176054,0.0172594,0.0963233,-77.3415,-658.299,1040.44,64,0,64
300,0.175279,0.0184845,0.0958558,-80.109,-709.716,1030.41,64,0,64
301,0.174296,0.0208138,0.0960883,-82.6544,-761.826,1020.24,64,0,64
302,0.174135,0.0232529,0.0964606,-85.015,-814.481,1009.8,64,0,64
303,0.17473,0.0247145,0.0962068,-87.1791,-867.837,999.209,64,0,64
304,0.173523,0.0231982,0.0962785,-89.2238,-921.822,988.482,64,0,64
305,0.172493,0.0212869,0.0946916,-91.1574,-976.366,977.502,64,0,64
306,0.17113,0.0182234,0.0940081,-92.8572,-1031.48,966.392,64,0,64
307,0.169241,0.016137,0.0934563,-94.3619,-1087.23,955.117,64,0,64
308,0.167604,0.0150534,0.0919614,-95.8567,-1143.26,943.469,64,0,64
309,0.166519,0.0155567,0.0917355,-97.1894,-1199.89,931.637,64,0,64
310,0.16759,0.0150823,0.0887759,-98.5038,-1256.83,919.29,64,0,64
=======
Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
260,0.179196,0.00820694,0.0864145,143.915,618.078,1357.23,64,64,0,64
261,0.179598,0.0117775,0.0863595,136.075,605.85,1351.68,64,64,0,64
262,0.180294,0.0116804,0.0861934,128.425,592.538,1345.83,64,64,0,64
263,0.181678,0.0140669,0.0869382,120.516,578.066,1339.64,64,64,0,64
264,0.18464,0.0150138,0.0869815,113.009,562.568,1333.36,64,64,0,64
265,0.186108,0.0155502,0.0874482,105.391,546.029,1326.75,64,64,0,64
266,0.189458,0.0159656,0.0885032,97.8934,528.228,1319.84,64,64,0,64
267,0.1924,0.0161829,0.0885672,90.5476,509.356,1312.8,64,64,0,64
268,0.194484,0.0167053,0.0894086,83.2202,489.375,1305.5,64,64,0,64
269,0.195245,0.0179249,0.0898059,76.0144,468.175,1297.98,64,64,0,64
270,0.195192,0.0174187,0.0907225,68.8943,445.896,1290.39,64,64,0,64
271,0.19526,0.0182032,0.091181,61.9095,422.368,1282.78,64,64,0,64
272,0.19567,0.0187444,0.0911777,54.9733,397.717,1275.12,64,64,0,64
273,0.195006,0.0185504,0.0918744,48.2305,371.792,1267.41,64,64,0,64
274,0.194356,0.020077,0.0925373,41.6302,344.832,1259.71,64,64,0,64
275,0.194484,0.0188901,0.092655,35.0053,316.685,1251.88,64,64,0,64
276,0.193899,0.0193677,0.0932112,28.6507,287.466,1244.07,64,64,0,64
277,0.193729,0.0177548,0.0939481,22.3509,257.065,1236.09,64,64,0,64
278,0.194121,0.0195104,0.0942165,16.2814,225.572,1228.01,64,64,0,64
279,0.193331,0.0193039,0.0952379,10.3446,193.108,1219.84,64,64,0,64
280,0.192699,0.0199388,0.0953753,4.49017,159.426,1211.51,64,64,0,64
281,0.192137,0.0209866,0.0952926,-1.23019,124.79,1203.03,64,64,0,64
282,0.19089,0.0207241,0.0957534,-6.73966,89.144,1194.52,64,64,0,64
283,0.189068,0.022324,0.0955488,-12.1664,52.4247,1185.94,64,64,0,64
284,0.188353,0.0224109,0.0956508,-17.395,14.8163,1177.36,64,64,0,64
285,0.186733,0.0215014,0.0951792,-22.4845,-23.7917,1168.72,64,64,0,64
286,0.186651,0.0215594,0.0955468,-27.4177,-63.4159,1159.96,64,64,0,64
287,0.185593,0.0211245,0.0958266,-32.1917,-103.956,1151.09,64,64,0,64
288,0.184565,0.021204,0.0957816,-36.8,-145.388,1142.1,64,64,0,64
289,0.184775,0.0214561,0.0966149,-41.2583,-187.646,1133.08,64,64,0,64
290,0.183926,0.0227683,0.0971853,-45.5637,-230.877,1124.05,64,64,0,64
291,0.184153,0.0239559,0.0971881,-49.7305,-275.06,1114.98,64,64,0,64
292,0.184688,0.0251235,0.0976882,-53.6657,-320.076,1105.89,64,64,0,64
293,0.184653,0.0243819,0.0981552,-57.5404,-365.852,1096.82,64,64,0,64
294,0.183615,0.0216646,0.0993833,-61.193,-412.646,1087.72,64,64,0,64
295,0.182475,0.0211398,0.0982141,-64.7776,-460.172,1078.58,64,64,0,64
296,0.180028,0.0180239,0.0980154,-68.1287,-508.577,1069.27,64,64,0,64
297,0.178687,0.016773,0.0974212,-71.3627,-557.768,1059.83,64,64,0,64
298,0.177691,0.015423,0.0972694,-74.4564,-607.665,1050.22,64,64,0,64
299,0.176054,0.0172594,0.0963233,-77.3415,-658.299,1040.44,64,64,0,64
300,0.175279,0.0184845,0.0958558,-80.109,-709.716,1030.41,64,64,0,64
301,0.174296,0.0208138,0.0960883,-82.6544,-761.826,1020.24,64,64,0,64
302,0.174135,0.0232529,0.0964606,-85.015,-814.481,1009.8,64,64,0,64
303,0.17473,0.0247145,0.0962068,-87.1791,-867.837,999.209,64,64,0,64
304,0.173523,0.0231982,0.0962785,-89.2238,-921.822,988.482,64,64,0,64
305,0.172493,0.0212869,0.0946916,-91.1574,-976.366,977.502,64,64,0,64
306,0.17113,0.0182234,0.0940081,-92.8572,-1031.48,966.392,64,64,0,64
307,0.169241,0.016137,0.0934563,-94.3619,-1087.23,955.117,64,64,0,64
308,0.167604,0.0150534,0.0919614,-95.8567,-1143.26,943.469,64,64,0,64
309,0.166519,0.0155567,0.0917355,-97.1894,-1199.89,931.637,64,64,0,64
