Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,-0.47748,1.67271,0.0537908,379.144,-242.049,332.645,104,64,64,80
2,-0.480181,1.66691,0.0517447,388.252,-250.012,334.566,104,64,64,80
3,-0.482234,1.67668,0.05181,397.518,-256.999,336.637,104,64,64,80
4,-0.477575,1.66793,0.0541687,405.277,-264.95,338.429,104,64,64,80
5,-0.482369,1.67552,0.051795,413.106,-271.708,340.393,104,64,64,80
6,-0.493678,1.66127,0.0459869,419.649,-279.764,342.844,103,67,64,80
7,-0.500432,1.67172,0.0411872,426.05,-285.833,344.629,103,67,64,80
8,-0.482139,1.6676,0.0483251,430.673,-291.835,345.975,103,67,64,80
9,-0.492918,1.65884,0.0433359,434.997,-298.356,348.191,103,67,64,80
10,-0.494142,1.66217,0.0408919,438.641,-304.001,349.97,103,67,64,80
11,-0.477721,1.66994,0.0516533,441.427,-308.603,351.054,101,71,64,80
12,-0.487491,1.65046,0.0451694,442.772,-314.936,352.931,101,71,64,80
13,-0.50311,1.66996,0.0426569,445.435,-319.254,355.36,101,71,64,80
14,-0.496204,1.66532,0.0433443,445.455,-324.184,356.281,101,71,64,80
15,-0.505646,1.67498,0.0402219,445.735,-328.303,357.76,101,71,64,80
16,-0.496193,1.65509,0.0391166,443.574,-333.405,358.842,98,74,64,80
17,-0.496244,1.65597,0.0405893,441.838,-337.691,359.827,98,74,64,80
18,-0.499585,1.65951,0.038045,439.321,-341.333,361.186,98,74,64,80
19,-0.503238,1.66938,0.0381302,436.598,-344.583,362.381,98,74,64,80
20,-0.509038,1.67255,0.0352436,432.647,-347.902,363.605,98,74,64,80
21,-0.495572,1.68024,0.0414761,427.696,-350.528,364.103,94,77,64,80
22,-0.504398,1.68731,0.0372813,422.255,-353.288,364.97,94,77,64,80
23,-0.521065,1.70107,0.0290399,416.473,-355.504,365.704,94,77,64,80
24,-0.499637,1.66445,0.0328965,407.307,-358.882,366.447,94,77,64,80
25,-0.503653,1.67884,0.036247,400.057,-360.429,366.954,94,77,64,80
26,-0.505592,1.68073,0.0373243,391.533,-361.899,367.703,88,79,64,80
27,-0.512822,1.69509,0.0385102,382.978,-362.65,368.293,88,79,64,80
28,-0.509491,1.69331,0.0362011,372.56,-364.002,368.564,88,79,64,80
29,-0.505881,1.68929,0.0397728,361.53,-365.172,368.664,88,79,64,80
30,-0.525004,1.70908,0.035926,351.249,-364.946,369.21,88,79,64,80
31,-0.51412,1.70525,0.0429901,338.689,-365.283,368.995,82,81,64,80
32,-0.524281,1.71538,0.0387888,326.626,-365.217,369.06,82,81,64,80
33,-0.512581,1.70009,0.0411561,312.256,-365.937,368.864,82,81,64,80
34,-0.515184,1.71338,0.0428166,298.836,-364.801,368.73,82,81,64,80
35,-0.51638,1.70973,0.0429829,284.054,-364.292,368.633,82,81,64,80
36,-0.540011,1.74875,0.0414975,270.637,-361.854,368.364,76,83,64,80
37,-0.516173,1.72233,0.0528942,253.456,-361.033,368.48,76,83,64,80
38,-0.517832,1.71749,0.0475825,236.588,-359.701,368.787,76,83,64,80
39,-0.53263,1.74997,0.0440077,220.416,-358.217,368.158,76,83,64,80
40,-1.80062,-0.706933,2.39271,178.003,-305.547,374.529,76,83,64,80
41,-1.81587,-0.714576,2.38277,159.138,-303.228,375.248,69,83,64,80
