Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
110,-0.00791373,0.00805675,0.0680617,-220.0,-1317,542,64,128,64
111,0.0115783,0.0106203,0.0671991,-223.5,-1310,538,64,128,64
112,0.0170889,0.0123984,0.0676232,-227.0,-1303,534,64,128,64
113,0.0235366,0.017559,0.0687342,-230.5,-1296,530,64,128,64
114,0.025734,0.019473,0.0667952,-234.0,-1289,526,64,128,64
115,0.0314222,0.0236852,0.0676661,-237.5,-1282,522,64,128,64
116,0.032828,0.0244246,0.0669559,-241.0,-1275,518,64,128,64
117,0.0316632,0.0304116,0.067081,-244.5,-1268,514,64,128,64
118,0.0174603,0.033052,0.0670859,-248.0,-1261,510,64,128,64
119,-0.00230163,0.0406076,0.0639078,-251.5,-1254,506,64,128,64
120,-0.0232049,0.0479187,0.0617746,-255.0,-1247,502,64,128,64
121,-0.0402144,0.0541517,0.0609474,-258.5,-1240,498,64,128,64
122,-0.0511482,0.0550204,0.0588889,-262.0,-1233,494,64,128,64
123,-0.0573505,0.0540543,0.0591355,-265.5,-1226,490,64,128,64
124,-0.0594091,0.0528239,0.0593215,-269.0,-1219,486,64,128,64
125,-0.0608073,0.054152,0.0579583,-272.5,-1212,482,64,128,64
126,-0.0609447,0.0525463,0.0583296,-276.0,-1205,478,64,128,64
127,-0.0594149,0.0548978,0.0578535,-279.5,-1198,474,64,128,64
128,-0.0588799,0.0520909,0.0573266,-283.0,-1191,470,64,128,64
129,-0.0581809,0.0540907,0.0558796,-286.5,-1184,466,64,128,64
130,-0.0580785,0.0512223,0.0558077,-290.0,-1177,462,64,128,64
131,-0.0597842,0.0542161,0.0558921,-293.5,-1170,458,64,128,64
132,-0.0607038,0.0540266,0.0555927,-297.0,-1163,454,64,128,64
133,-0.0617826,0.052624,0.0554465,-300.5,-1156,450,64,128,64
134,-0.0640959,0.0514029,0.0542547,-304.0,-1149,446,64,128,64
135,-0.0635102,0.0516264,0.0550646,-307.5,-1142,442,64,128,64
136,-0.0634581,0.0520499,0.0535712,-311.0,-1135,438,64,128,64
137,-0.0636662,0.0522405,0.0541114,-314.5,-1128,434,64,128,64
138,-0.0629398,0.0516894,0.0541314,-318.0,-1121,430,64,128,64
139,-0.0637004,0.0484283,0.054905,-321.5,-1114,426,64,128,64
140,-0.0632886,0.0509572,0.0551226,-325.0,-1107,422,64,128,64
141,-0.0610798,0.0519539,0.0554517,-328.5,-1100,418,64,128,64
142,-0.0613741,0.0491006,0.0559131,-332.0,-1093,414,64,128,64
143,-0.0576497,0.0491511,0.054726,-335.5,-1086,410,64,128,64
144,-0.055875,0.0507268,0.0546766,-339.0,-1079,406,64,128,64
145,-0.0557498,0.0492785,0.0542494,-342.5,-1072,402,64,128,64
146,-0.0552404,0.0493302,0.0535178,-346.0,-1065,398,64,128,64
147,-0.0560095,0.0469844,0.0540247,-349.5,-1058,394,64,128,64
148,-0.0554515,0.0458535,0.0523636,-353.0,-1051,390,64,128,64
149,-0.0540774,0.0474714,0.0517963,-356.5,-1044,386,64,128,64
150,-0.0537201,0.0457348,0.0507945,-360.0,-1037,382,64,128,64
151,-0.0527983,0.0475397,0.0503857,-363.5,-1030,378,64,128,64
152,-0.0517187,0.0464684,0.0495274,-367.0,-1023,374,64,128,64
153,-0.0508773,0.0447209,0.0488991,-370.5,-1016,370,64,128,64
154,-0.0495251,0.0445004,0.0480598,-374.0,-1009,366,64,128,64
155,-0.0479132,0.0445285,0.0475658,-377.5,-1002,362,64,128,64
156,-0.0470675,0.0442541,0.0474273,-381.0,-995,358,64,128,64
157,-0.0451471,0.0448178,0.047328,-384.5,-988,354,64,128,64
158,-0.0428448,0.0414213,0.0524358,-388.0,-981,350,64,128,64
159,-0.0425564,0.0442096,0.0514048,-391.5,-974,346,64,128,64
160,-0.0412999,0.0443031,0.052788,-395.0,-967,342,64,128,64
161,-0.0413799,0.0457928,0.0533514,-398.5,-960,338,64,128,64
162,-0.0394304,0.0489812,0.0524801,-402.0,-953,334,64,128,64
163,-0.0423652,0.0432143,0.0529818,-405.5,-946,330,64,128,64
164,-0.0392415,0.0468099,0.0475886,-409.0,-939,326,64,128,64
165,-0.0378248,0.0475742,0.0492564,-412.5,-932,322,64,128,64
166,-0.0364812,0.043427,0.0486808,-416.0,-925,318,64,128,64
167,-0.0325265,0.048389,0.0477965,-419.5,-918,314,64,128,64
168,-0.0273294,0.0483075,0.0491158,-423.0,-911,310,64,128,64
169,-0.0242185,0.0477362,0.0501919,-426.5,-904,306,64,128,64
170,-0.0248462,0.037403,0.0503751,-430.0,-897,302,64,128,64
