Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
1,0,3.17509,-0.430941,0.205076,-879.241,404.889,-48.6872,64,104,64
2,0,3.17523,-0.432513,0.206544,-879.183,404.88,-48.6916,64,104,64
3,0,3.17515,-0.431999,0.205953,-879.187,404.89,-48.6997,64,104,64
4,0,3.17494,-0.432145,0.204886,-879.216,404.897,-48.6732,64,104,64
5,0,3.17517,-0.432482,0.205588,-879.179,404.938,-48.6916,64,104,64
6,0,3.17517,-0.432077,0.206406,-879.205,404.9,-48.6961,64,104,64
7,0,3.17509,-0.431975,0.205886,-879.2,404.89,-48.7071,64,104,64
8,0,3.17488,-0.431951,0.206162,-879.206,404.89,-48.7095,64,104,64
9,0,3.17479,-0.432068,0.206396,-879.187,404.907,-48.7031,64,104,64
10,0,3.17488,-0.431867,0.205734,-879.197,404.9,-48.6902,64,104,64
11,0,3.17513,-0.432524,0.204791,-879.186,404.957,-48.7049,64,104,64
12,0,3.17511,-0.432396,0.204762,-879.212,404.901,-48.6829,64,104,64
13,0,3.17501,-0.431734,0.206156,-879.199,404.896,-48.7042,64,104,64
14,0,3.17488,-0.431819,0.205621,-879.165,404.939,-48.7181,64,104,64
15,0,3.17486,-0.431731,0.205149,-879.191,404.92,-48.7162,64,104,64
16,0,3.17498,-0.432197,0.206051,-879.17,404.924,-48.7031,64,104,64
17,0,3.17501,-0.432123,0.205799,-879.18,404.949,-48.7147,64,104,64
18,0,3.17507,-0.432782,0.206258,-879.177,404.913,-48.7054,64,104,64
19,0,3.17485,-0.432132,0.205609,-879.193,404.909,-48.7005,64,104,64
20,0,3.17517,-0.4325,0.205314,-879.186,404.936,-48.6864,64,104,64
21,0,3.17484,-0.432199,0.20507,-879.188,404.932,-48.7073,64,104,64
22,0,3.17489,-0.431616,0.205072,-879.215,404.89,-48.6977,64,104,64
23,0,3.17508,-0.43217,0.205764,-879.199,404.924,-48.7004,64,104,64
24,0,3.17526,-0.431649,0.205123,-879.215,404.937,-48.6897,64,104,64
25,0,3.17506,-0.432004,0.206515,-879.207,404.895,-48.6997,64,104,64
26,0,3.17508,-0.432322,0.20633,-879.196,404.918,-48.714,64,104,64
27,0,3.17515,-0.431867,0.206221,-879.191,404.915,-48.6924,64,104,64
28,0,3.17532,-0.432289,0.206633,-879.204,404.917,-48.7275,64,104,64
29,0,3.17481,-0.432017,0.205864,-879.19,404.938,-48.7229,64,104,64
30,0,3.17509,-0.432281,0.204172,-879.195,404.926,-48.7024,64,104,64
31,0,3.17516,-0.432099,0.20538,-879.187,404.921,-48.6965,64,104,64
