potX,potY,potZ,potRot,duration
64,64,64,64,10
64,64,64,68,10
64,64,64,72,10
64,64,64,76,10
64,64,64,80,10
64,64,64,84,10
64,64,64,88,10
64,64,64,92,10
64,64,64,96,10
64,64,64,100,10
64,64,64,104,10
64,64,64,108,10
64,64,64,112,10
64,64,64,116,10
64,64,64,120,10
64,64,64,124,10
64,64,64,128,10
64,64,64,124,10
64,64,64,120,10
64,64,64,116,10
64,64,64,112,10
64,64,64,108,10
64,64,64,104,10
64,64,64,100,10
64,64,64,96,10
64,64,64,92,10
64,64,64,88,10
64,64,64,84,10
64,64,64,80,10
64,64,64,76,10
64,64,64,72,10
64,64,64,68,10
