Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.434454,-1.11378,-0.128108,63.7519,305.253,1066.03
2,0,-0.435981,-1.10216,-0.122754,63.0738,301.682,1061.69
3,0,-0.425999,-1.08948,-0.12639,63.2031,298.56,1056.92
4,0,-0.43278,-1.08736,-0.122455,62.6944,295.385,1052.58
5,0,-0.429666,-1.07925,-0.121062,62.2251,292.071,1047.83
6,0,-0.438331,-1.10174,-0.124025,62.3274,289.967,1043.23
7,0,-0.444396,-1.11638,-0.121361,61.9656,286.839,1038.4
8,0,-0.441271,-1.10892,-0.12341,61.876,283.942,1033.95
9,0,-0.437463,-1.09706,-0.123767,61.8172,280.676,1029.72
10,0,-0.441552,-1.09717,-0.119825,61.366,277.475,1025.46
11,0,-0.444802,-1.10474,-0.122804,61.2903,274.826,1021.11
12,0,-0.441586,-1.10164,-0.122527,61.2216,271.629,1016.45
13,0,-0.44578,-1.10554,-0.120897,60.8983,268.674,1012.28
14,0,-0.445525,-1.10283,-0.120259,60.7325,265.523,1008.37
15,0,-0.442675,-1.09703,-0.118203,60.44,262.122,1004.04
16,0,-0.449025,-1.10733,-0.119835,60.3276,259.531,1000.07
17,0,-0.45158,-1.11007,-0.119341,60.0899,256.63,996.218
18,0,-0.446108,-1.08913,-0.113769,59.5675,252.737,992.439
19,0,-0.446878,-1.09609,-0.120283,59.9101,250.375,988.932
20,0,-0.448096,-1.09635,-0.118618,59.674,247.41,985.279
21,0,-0.447319,-1.09586,-0.117581,59.589,244.288,981.752
22,0,-0.446038,-1.09215,-0.119462,59.5238,241.461,978.349
23,0,-0.446307,-1.08672,-0.11438,58.9749,238.17,974.889
24,0,-0.449283,-1.09811,-0.116648,59.3904,235.971,972.144
25,0,-0.448732,-1.08709,-0.112899,58.9267,232.698,969.076
26,0,-0.451159,-1.09707,-0.113765,58.9836,230.273,966.177
27,0,-0.453401,-1.10228,-0.116058,59.0482,227.752,963.506
28,0,-0.45649,-1.10305,-0.114115,58.5912,224.912,960.498
29,0,-0.455866,-1.10904,-0.115043,58.9473,222.593,958.109
30,0,-0.455757,-1.11005,-0.114271,58.7245,219.836,955.047
31,0,-0.457232,-1.10719,-0.11412,58.8711,217.349,953.061
32,0,-0.456386,-1.10706,-0.112574,58.7103,214.549,950.443
33,0,-0.454126,-1.10596,-0.114641,58.909,212.112,947.912
34,0,-0.461791,-1.11871,-0.114276,58.8647,210.333,945.353
35,0,-0.45997,-1.09807,-0.11066,58.5873,207.364,943.267
36,0,-0.459086,-1.10106,-0.112512,59.091,205.689,940.938
37,0,0.165022,0.217523,-0.719997,4.82294,120.351,912.888
38,0,0.170114,0.220908,-0.721304,4.72149,118.585,910.527
39,0,0.169293,0.219508,-0.721415,4.73714,117.033,908.441
40,0,0.171901,0.220159,-0.722564,4.67462,115.777,906.233
41,0,0.166836,0.218087,-0.722873,4.6566,114.73,904.352
42,0,0.16978,0.217704,-0.723675,4.54852,114.007,902.121
43,0,0.172741,0.219939,-0.72378,4.54508,113.703,899.927
44,0,0.170723,0.2184,-0.722902,4.39977,113.555,897.984
45,0,0.171168,0.217303,-0.72241,4.39794,113.893,896.057
46,0,0.167773,0.215477,-0.72435,3.91928,114.412,894.262
47,0,0.17459,0.216811,-0.723828,3.79971,115.516,892.08
48,0,0.179368,0.218606,-0.725715,3.39182,116.87,889.88
49,0,0.17972,0.218184,-0.726653,2.99597,118.534,888.088
50,0,0.172995,0.215267,-0.726351,2.48866,120.39,886.676
51,0,0.183922,0.21966,-0.7274,2.00237,122.945,884.447
52,0,0.173041,0.214246,-0.726986,1.26989,125.398,883.369
53,0,0.184287,0.218311,-0.726634,0.604445,128.605,881.181
54,0,0.179611,0.215762,-0.728013,-0.301039,131.923,879.996
55,0,0.182803,0.216229,-0.727171,-1.13757,135.73,878.533
56,0,0.180167,0.21634,-0.726674,-2.24447,139.777,877.432
57,0,0.186352,0.216561,-0.727677,-3.36003,144.316,876.081
58,0,0.181724,0.213068,-0.728151,-4.61898,149.012,875.28
59,0,0.182512,0.214388,-0.727472,-6.17275,154.044,874.234
60,0,0.184487,0.213852,-0.726995,-7.43647,159.593,873.226
61,0,0.181847,0.21203,-0.727845,-9.31622,165.273,872.376
62,0,0.186245,0.214426,-0.726594,-10.9015,171.462,871.289
63,0,0.184839,0.213212,-0.727462,-12.7572,177.937,870.528
64,0,0.189676,0.214291,-0.727062,-14.8033,184.718,869.403
65,0,0.186467,0.212199,-0.726839,-16.9459,191.782,868.775
66,0,0.189508,0.212677,-0.726398,-19.1363,199.217,867.845
67,0,0.189216,0.212138,-0.725938,-21.6163,206.899,867.054
68,0,0.191261,0.212959,-0.727164,-24.1257,215.005,866.195
69,0,0.186286,0.209978,-0.726333,-26.9295,223.289,865.556
70,0,0.190193,0.211824,-0.726098,-29.712,231.985,864.569
71,0,0.187305,0.211079,-0.726189,-32.7241,240.922,863.795
72,0,0.189871,0.210989,-0.727015,-35.9306,250.168,862.789
73,0,0.195165,0.212874,-0.726558,-39.2038,259.753,861.526
74,0,0.190749,0.210621,-0.725819,-42.5989,269.504,860.809
75,0,0.19016,0.210487,-0.725957,-46.1474,279.643,859.945
